repo,source_csv,found,match_name,match_path,default_branch,ref_scanned,match_url,match_sha,match_size_bytes,scan_method,http_status,error_type,error_message,scanned_at_utc,stars,fork,archived,id,name,isFork,commits,branches,releases,forks,mainLanguage,defaultBranch,license,homepage,watchers,stargazers,contributors,size,createdAt,pushedAt,updatedAt,totalIssues,openIssues,totalPullRequests,openPullRequests,blankLines,codeLines,commentLines,metrics,lastCommit,lastCommitSHA,hasWiki,isArchived,isDisabled,isLocked,languages,labels,topics
HKUDS/DeepCode,results.csv,True,SKILL.md,/nanobot/nanobot/skills/cron/SKILL.md,main,main,https://github.com/HKUDS/DeepCode/blob/76d30cdac88217ff5919ddd2b93b5546946ded84/nanobot/nanobot/skills/cron/SKILL.md,c8beecb6f02da69f85091227ff494d44b035ecf9,,code_search,200,none,,2026-02-18T15:44:15Z,14522,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hmbown/Hegelion,results.csv,True,SKILL.md,/skills/hegelion/SKILL.md,main,main,https://github.com/Hmbown/Hegelion/blob/d51a5af594747b2d4e8e89aeb734cf564a449ad7/skills/hegelion/SKILL.md,5a810a8e4aba39e0a034d4a7b628f5af78abf4d2,,code_search,200,none,,2026-02-18T15:47:21Z,115,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ImCa0/just-laws,results.csv,True,SKILL.md,/.claude/skills/addlaws/SKILL.md,master,master,https://github.com/ImCa0/just-laws/blob/23d998cefc6ef2fc883545b594726e7dc47ac458/.claude/skills/addlaws/SKILL.md,68e207a645c75e630aaab15065b90892aa9437c8,,code_search,200,none,,2026-02-18T15:48:24Z,708,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeffallan/claude-skills,results.csv,True,SKILL.md,/skills/cpp-pro/SKILL.md,main,main,https://github.com/Jeffallan/claude-skills/blob/c9616024d961bed5738e45ae56093bd96290dffb/skills/cpp-pro/SKILL.md,79107d0f460c023ced99fe1debc573728dcea4f9,,code_search,200,none,,2026-02-18T15:52:31Z,3095,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-Dense-AI/claude-scientific-skills,results.csv,True,SKILL.md,/scientific-skills/esm/SKILL.md,main,main,https://github.com/K-Dense-AI/claude-scientific-skills/blob/22b0ad54abaf56c60884c19707aa5a03e1355d95/scientific-skills/esm/SKILL.md,35d4b9721f6ea0ba72469403c0d8b774cf85bb42,,code_search,200,none,,2026-02-18T15:54:36Z,8833,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-Dense-AI/claude-scientific-writer,results.csv,True,SKILL.md,/skills/markitdown/SKILL.md,main,main,https://github.com/K-Dense-AI/claude-scientific-writer/blob/2ae9407efbb2991cadadd2163bd94d74705826e4/skills/markitdown/SKILL.md,eb42c4c15edec13157c99a84ad96c939ed0925ea,,code_search,200,none,,2026-02-18T15:54:36Z,811,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGdaasLab/WHartTest,results.csv,True,SKILL.md,/WHartTest_Skills/playwright-skill/SKILL.md,master,master,https://github.com/MGdaasLab/WHartTest/blob/9946c0628f18b419afed61d1b78ae5ad6e90bea9/WHartTest_Skills/playwright-skill/SKILL.md,a6fc84a74b238a6309d47cc6babb65f2af3aca93,,code_search,200,none,,2026-02-18T16:03:53Z,626,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaksimZayats/fastdjango,results.csv,True,SKILL.md,/.claude/skills/docs-reader/SKILL.md,main,main,https://github.com/maksimzayats/fastdjango/blob/727828547f239629df5a46392709f2c7f7db03e9/.claude/skills/docs-reader/SKILL.md,d5fbbb69548d146858b67b46338c004460339f5e,,code_search,200,none,,2026-02-18T16:04:56Z,185,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPC-Worldwide/npcsh,results.csv,True,SKILL.md,/npcsh/npc_team/jinxs/skills/debugging/SKILL.md,main,main,https://github.com/NPC-Worldwide/npcsh/blob/34443499b1ffebf80c98f4a1c449412fe0096936/npcsh/npc_team/jinxs/skills/debugging/SKILL.md,ea6995ae01445db9eefbe36599366fb3fb319786,,code_search,200,none,,2026-02-18T16:13:11Z,217,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenBB-finance/backends-for-openbb,results.csv,True,SKILL.md,/.claude/skills/openbb-app-builder/SKILL.md,main,main,https://github.com/OpenBB-finance/backends-for-openbb/blob/a02df3bcd57d6734950f4e6634db3f55bb5c4652/.claude/skills/openbb-app-builder/SKILL.md,2d13c448be503d70eccba43f05e729a376c0127d,,code_search,200,none,,2026-02-18T16:17:20Z,146,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenSQZ/GTPlanner,results.csv,True,SKILL.md,/.claude/skills/gtplanner/SKILL.md,main,main,https://github.com/OpenSQZ/GTPlanner/blob/e8771e89c85cfca450c4f3e0cf11b33d1a122465/.claude/skills/gtplanner/SKILL.md,00d3053871505e315b5b221893e0e1d2ba2aafbd,,code_search,200,none,,2026-02-18T16:19:23Z,211,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OriNachum/autonomous-intelligence,results.csv,True,SKILL.md,/qq/skills/coding/SKILL.md,main,main,https://github.com/OriNachum/autonomous-intelligence/blob/7e1c9b6f5ecf27613802e9a1705ca0097044a92c/qq/skills/coding/SKILL.md,6c4d6a1a805976f08de308c297d1bf3615252a2b,,code_search,200,none,,2026-02-18T16:19:24Z,211,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OthmanAdi/planning-with-files,results.csv,True,SKILL.md,/skills/planning-with-files/SKILL.md,master,master,https://github.com/OthmanAdi/planning-with-files/blob/4292f000a15ecf07a6d0900ab495b80864de2a15/skills/planning-with-files/SKILL.md,7f4024a5f9c480ef3b6763f2a354bf60ba84ea41,,code_search,200,none,,2026-02-18T16:20:25Z,14060,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pangu-Immortal/hunter-ai-content-factory,results.csv,True,SKILL.md,/src/factory/skills/skill.md,main,main,https://github.com/Pangu-Immortal/hunter-ai-content-factory/blob/21cebd438f668083f7307870bf079ff7f766166d/src/factory/skills/skill.md,198e197e807e90e8dc651be9c290caa6cbc15600,,code_search,200,none,,2026-02-18T16:21:28Z,243,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PleasePrompto/notebooklm-skill,results.csv,True,SKILL.md,/SKILL.md,master,master,https://github.com/PleasePrompto/notebooklm-skill/blob/master/SKILL.md,2be7e1615889f128c87c6938ca2c4f262f861a9a,9442,contents_api,200,none,,2026-02-18T16:23:31Z,3581,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saik0s/mcp-browser-use,results.csv,True,SKILL.md,/skills/browser-use/SKILL.md,main,main,https://github.com/Saik0s/mcp-browser-use/blob/03e0dad7f429568f922e0cc09b72849472cb867c/skills/browser-use/SKILL.md,2a13f7151b86ea5f868480067193aa3fb442b417,,code_search,200,none,,2026-02-18T16:32:49Z,893,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SterlingChin/marvin-template,results.csv,True,SKILL.md,/skills/start/SKILL.md,main,main,https://github.com/SterlingChin/marvin-template/blob/b7e37f2981cf778ef850f3f37a7801edb38ef1b6/skills/start/SKILL.md,09d491568579ca0e97e703692519a6f5de8d9436,,code_search,200,none,,2026-02-18T16:38:00Z,883,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuperClaude-Org/SuperClaude_Framework,results.csv,True,SKILL.md,/skills/confidence-check/SKILL.md,master,master,https://github.com/SuperClaude-Org/SuperClaude_Framework/blob/55c658c77f88c538cf9d90a3736c1b24f8f64f44/skills/confidence-check/SKILL.md,cd64d562509b574b6733dc18789c640f5cfc4c2e,,code_search,200,none,,2026-02-18T16:39:01Z,20854,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheCraigHewitt/seomachine,results.csv,True,SKILL.md,/.claude/skills/form-cro/SKILL.md,main,main,https://github.com/TheCraigHewitt/seomachine/blob/f40d9f6de5e36f336161b314292a300a95989a7b/.claude/skills/form-cro/SKILL.md,31cd48e67a420120565bd0d0bc918e33ed88d643,,code_search,200,none,,2026-02-18T16:43:10Z,349,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurixAI/TuriX-CUA,results.csv,True,SKILL.md,/OpenCLaw_TuriX_skill/SKILL.md,main,main,https://github.com/TurixAI/TuriX-CUA/blob/fff3ba3cdaa706b788cdf3336ebd0f14edcb7f24/OpenCLaw_TuriX_skill/SKILL.md,e0a6e8b3c14e73ccec1f476c15bbff70cbf19e17,,code_search,200,none,,2026-02-18T16:46:16Z,620,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaloog/kanban-tui,results.csv,True,SKILL.md,/src/kanban_tui/assets/SKILL.md,main,main,https://github.com/Zaloog/kanban-tui/blob/b1a8b3d926933ebcf0adecdea068fa6438a95bfb/src/kanban_tui/assets/SKILL.md,fef38ad23835f50a349d37f4b8e0423c5b4237d4,,code_search,200,none,,2026-02-18T16:56:36Z,198,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZhuoZhuoCrayon/throttled-py,results.csv,True,SKILL.md,/.claude/skills/pre-release/SKILL.md,main,main,https://github.com/ZhuoZhuoCrayon/throttled-py/blob/b5a1cfd6acaebebb8d501ad97e9c6e5c05178d65/.claude/skills/pre-release/SKILL.md,4e8bf0ae71ebf40a0c469cee0e40e33071a838b3,,code_search,200,none,,2026-02-18T16:57:38Z,614,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abracadabra50/claude-code-voice-skill,results.csv,True,SKILL.md,/SKILL.md,main,main,https://github.com/abracadabra50/claude-code-voice-skill/blob/main/SKILL.md,0531a48cf07181b46891757ebc4503d7a7f72a17,2713,contents_api,200,none,,2026-02-18T17:00:44Z,155,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ace-step/ACE-Step-1.5,results.csv,True,SKILL.md,/.claude/skills/acestep/SKILL.md,main,main,https://github.com/ace-step/ACE-Step-1.5/blob/816825b121c50c6aec547a5bbd0e34cbd21561c5/.claude/skills/acestep/SKILL.md,9967e54ba4fabd39fdb569ae4b0153edd7ced098,,code_search,200,none,,2026-02-18T17:01:46Z,5808,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adithya-s-k/manim_skill,results.csv,True,SKILL.md,/skills/manim-composer/SKILL.md,main,main,https://github.com/adithya-s-k/manim_skill/blob/cef045011722d285692e3381d12d4d637da56e18/skills/manim-composer/SKILL.md,aefb1fd04f557ee19b84a96d50494a5fedd750a0,,code_search,200,none,,2026-02-18T17:05:53Z,596,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aeromomo/claw-compactor,results.csv,True,SKILL.md,/SKILL.md,main,main,https://github.com/aeromomo/claw-compactor/blob/main/SKILL.md,c431129b26329dd7fbaabbec825b3bde06c9b0f9,7993,contents_api,200,none,,2026-02-18T17:05:54Z,772,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentic-mcp-tools/memora,results.csv,True,SKILL.md,/.claude/skills/memora/SKILL.md,main,main,https://github.com/agentic-mcp-tools/memora/blob/902f364de5ee16d33cd6cd2d457ff8396e1cc72d/.claude/skills/memora/SKILL.md,f7be85dcdd0504dc66aefc72e14fece43f49943e,,code_search,200,none,,2026-02-18T17:06:56Z,286,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aiming-lab/SimpleMem,results.csv,True,SKILL.md,/SKILL/simplemem-skill/SKILL.md,main,main,https://github.com/aiming-lab/SimpleMem/blob/a4f707d9329bb88c1a9291df18ba73f3dabce1b4/SKILL/simplemem-skill/SKILL.md,64907da416c7647f7a991ae8e119ba670d5f95c2,,code_search,200,none,,2026-02-18T17:11:04Z,2947,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aitytech/agentkits-marketing,results.csv,True,SKILL.md,/.claude/skills/form-cro/SKILL.md,main,main,https://github.com/aitytech/agentkits-marketing/blob/5bd154681d112eb4f33939f533f770c23f153974/.claude/skills/form-cro/SKILL.md,5cb2c1030a5d02bd47d029b79ce3fd2fe2f43b10,,code_search,200,none,,2026-02-18T17:12:06Z,295,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albumentations-team/albumentations_examples,results.csv,True,SKILL.md,/.cursor/skills/notebook-metadata/SKILL.md,main,main,https://github.com/albumentations-team/albumentations_examples/blob/d43a0435cd49be4b770a6d4edea55f852c5c985b/.cursor/skills/notebook-metadata/SKILL.md,38cacf70d207f046f388989feeb320031a6b5afa,,code_search,200,none,,2026-02-18T17:15:11Z,445,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alirezarezvani/ClaudeForge,results.csv,True,SKILL.md,/skill/SKILL.md,dev,dev,https://github.com/alirezarezvani/ClaudeForge/blob/e7512689c18cf78b0421e778852f0089ed20bab6/skill/SKILL.md,a1a23bb8f76ac8b5304d1f0ae67136501db80900,,code_search,200,none,,2026-02-18T17:19:20Z,152,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alirezarezvani/claude-skills,results.csv,True,SKILL.md,/ra-qm-team/capa-officer/SKILL.md,main,main,https://github.com/alirezarezvani/claude-skills/blob/0bea02d2b6ab9647300dc10d71e4336ddd61c68c/ra-qm-team/capa-officer/SKILL.md,4acf62e38b7b99e79d7699d86a79b03282285b92,,code_search,200,none,,2026-02-18T17:19:20Z,1855,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alonw0/web-asset-generator,results.csv,True,SKILL.md,/skills/web-asset-generator/SKILL.md,main,main,https://github.com/alonw0/web-asset-generator/blob/c6d56dc54ab86eae4eeb1393d9c8cdc71ae8d1a8/skills/web-asset-generator/SKILL.md,923f281083a293cf1b550eede1293ed2c214d97e,,code_search,200,none,,2026-02-18T17:20:22Z,184,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alvarobartt/hf-mem,results.csv,True,SKILL.md,/SKILL.md,main,main,https://github.com/alvarobartt/hf-mem/blob/main/SKILL.md,25d7495274c040febb4ce9f84206d239bb0f187c,1264,contents_api,200,none,,2026-02-18T17:21:23Z,740,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambient-code/agentready,results.csv,True,SKILL.md,/.skills-proposals/setup-claude-md/SKILL.md,main,main,https://github.com/ambient-code/agentready/blob/5c684f9d602fba5967b1d64e6ad5669d67236c6e/.skills-proposals/setup-claude-md/SKILL.md,f3f1b3506dc44a4702b6f95c1e1cd6cfacbb43f2,,code_search,200,none,,2026-02-18T17:21:25Z,112,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amszuidas/mini-opencode,results.csv,True,SKILL.md,/skills/skill-creator/SKILL.md,main,main,https://github.com/amszuidas/mini-opencode/blob/d09f3e96eca1ac3fb40f7e9ab3740ef67daedc86/skills/skill-creator/SKILL.md,7ae68a43e117f11d9757d92df53faad3c2879ee1,,code_search,200,none,,2026-02-18T17:23:28Z,110,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrewm4894/anomstack,results.csv,True,SKILL.md,/.claude/skills/debug-demo-instance/SKILL.md,main,main,https://github.com/andrewm4894/anomstack/blob/08d38ffef33f7728bc2b46515506ff6962a8b230/.claude/skills/debug-demo-instance/SKILL.md,80b438dcc7456825de43d734251c38cb40d74aac,,code_search,200,none,,2026-02-18T17:25:32Z,107,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asklokesh/claudeskill-loki-mode,results.csv,True,SKILL.md,/SKILL.md,main,main,https://github.com/asklokesh/loki-mode/blob/main/SKILL.md,0b9b8c1c7a98066a17a31fea895b72ff977f029f,10745,contents_api,200,none,,2026-02-18T17:36:54Z,634,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
athola/claude-night-market,results.csv,True,SKILL.md,/plugins/imbue/skills/catchup/SKILL.md,master,master,https://github.com/athola/claude-night-market/blob/d9d89b507f2afda65e3892bd89485e7f2d429858/plugins/imbue/skills/catchup/SKILL.md,2a722d4a19bff3ea9dad22e81c7f5b2676211a43,,code_search,200,none,,2026-02-18T17:40:00Z,174,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banteg/takopi,results.csv,True,SKILL.md,/.codex/skills/takopi-release/SKILL.md,master,master,https://github.com/banteg/takopi/blob/3e85848292a5137093974e4ab69bac248f93ce94/.codex/skills/takopi-release/SKILL.md,ba5bd2d48f2bf9ae8623e2ab0c6eb4f923376cb7,,code_search,200,none,,2026-02-18T17:48:15Z,746,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basnijholt/agent-cli,results.csv,True,SKILL.md,/agent_cli/dev/skill/SKILL.md,main,main,https://github.com/basnijholt/agent-cli/blob/7b5a8704b250b1c88f43373148c45eff965d4ac2/agent_cli/dev/skill/SKILL.md,9c4e52f55d5185d3cd16059e6a66ae785d560ed1,,code_search,200,none,,2026-02-18T17:49:18Z,113,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blueman82/ai-counsel,results.csv,True,SKILL.md,/.claude/skills/adapter-factory/SKILL.md,main,main,https://github.com/blueman82/ai-counsel/blob/a3c69af3698f5ca9f9185017a97ff07c920c5225/.claude/skills/adapter-factory/SKILL.md,e323ad701104f3203739eef314e1b20f46b1ede7,,code_search,200,none,,2026-02-18T18:03:46Z,186,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boringdata/boring-semantic-layer,results.csv,True,SKILL.md,/docs/md/doc/query-agent-skill.md,main,main,https://github.com/boringdata/boring-semantic-layer/blob/47d5718c2b779ab302eb0ead48057787b4fb18cd/docs/md/doc/query-agent-skill.md,f36101f34cc464f34d05620c9af5d18b2449dd93,,code_search,200,none,,2026-02-18T18:05:50Z,398,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-use/browser-use,results.csv,True,SKILL.md,/skills/browser-use/SKILL.md,main,main,https://github.com/browser-use/browser-use/blob/1e4cfcef652d09f831109b1f75f01b290b2eaf2e/skills/browser-use/SKILL.md,5203041ac86aeb3efa5feae9118782bc57c0ad1f,,code_search,200,none,,2026-02-18T18:09:58Z,78511,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmpnd-ai/dspy-cli,results.csv,True,SKILL.md,/.claude/skills/tmux/SKILL.md,main,main,https://github.com/cmpnd-ai/dspy-cli/blob/2b59513400a2e67cf7fd2de3b9f3490bbc57af16/.claude/skills/tmux/SKILL.md,5e80e032caabbd76677ece4f02662e2729fcb039,,code_search,200,none,,2026-02-18T18:33:43Z,117,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coleam00/context-engineering-intro,results.csv,True,SKILL.md,/use-cases/build-with-agent-team/SKILL.md,main,main,https://github.com/coleam00/context-engineering-intro/blob/38113371a1ac8d3f8ca1e586ec402e6d7c47370d/use-cases/build-with-agent-team/SKILL.md,e08220949211ccdfc35c8522666ea6fdc856a583,,code_search,200,none,,2026-02-18T18:36:49Z,12513,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coleam00/ottomator-agents,results.csv,True,SKILL.md,/claude-skill-archon/.claude/skills/archon/SKILL.md,main,main,https://github.com/coleam00/ottomator-agents/blob/2be20d5737fc49aa0f665a012f3ffde283d26d54/claude-skill-archon/.claude/skills/archon/SKILL.md,03ff4b23c0c5671d8b30a0fb9616781db8099297,,code_search,200,none,,2026-02-18T18:36:50Z,5353,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conorluddy/ios-simulator-skill,results.csv,True,SKILL.md,/ios-simulator-skill/SKILL.md,main,main,https://github.com/conorluddy/ios-simulator-skill/blob/afcf21f5f8f69978f350cae942ac23cadedc1b65/ios-simulator-skill/SKILL.md,4a93a1d2f301da908a266a8feb4bb2c286af6d1f,,code_search,200,none,,2026-02-18T18:39:56Z,494,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daaain/claude-code-log,results.csv,True,SKILL.md,/.claude/skills/tool-renderer/SKILL.md,main,main,https://github.com/daaain/claude-code-log/blob/70bb2e044aed9e7655d8c96b0df40d5d4e368bcf/.claude/skills/tool-renderer/SKILL.md,d5b4315336d61ead162951cb35385ac5fae369f7,,code_search,200,none,,2026-02-18T18:50:15Z,735,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daymade/claude-code-skills,results.csv,True,SKILL.md,/qa-expert/SKILL.md,main,main,https://github.com/daymade/claude-code-skills/blob/38f96d78e1bb21b12766ae57eb905e2b35730e77/qa-expert/SKILL.md,8554a09d59826a3f105352c017791174a44b3ec8,,code_search,200,none,,2026-02-18T18:57:29Z,588,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dmitriiweb/extract-emails,results.csv,True,SKILL.md,/.codex/skills/skill-creator/SKILL.md,main,main,https://github.com/dmitriiweb/extract-emails/blob/1f2bb4008e0231784fd78b4140780a2992f5c851/.codex/skills/skill-creator/SKILL.md,b7f86598b002c99a6be96026443217b6af3c561d,,code_search,200,none,,2026-02-18T19:13:00Z,108,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
droidrun/droidrun,results.csv,True,SKILL.md,/SKILL.md,main,main,https://github.com/droidrun/droidrun/blob/main/SKILL.md,07ede51c8354068d4e5370eceefb539bb5c2f8df,3766,contents_api,200,none,,2026-02-18T19:18:10Z,7682,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elevenlabs/skills,results.csv,True,SKILL.md,/music/SKILL.md,main,main,https://github.com/elevenlabs/skills/blob/21a3e2fcd68448e3c1620b26a0a2cc3b4601b7d7/music/SKILL.md,8339b9100bb78a6ef1fb139aceb2426c5ff3568c,,code_search,200,none,,2026-02-18T19:26:26Z,110,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
femto/minion,results.csv,True,SKILL.md,/examples/skills/code-review/SKILL.md,main,main,https://github.com/femto/minion/blob/1d45cfa4706f84945863f18a9901bc8bb545659c/examples/skills/code-review/SKILL.md,e6de882c25c3ce192f5800f55f198029e3392b44,,code_search,200,none,,2026-02-18T19:50:11Z,120,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
