repo,source_csv,found,match_name,match_path,default_branch,ref_scanned,match_url,match_sha,match_size_bytes,scan_method,http_status,error_type,error_message,scanned_at_utc,stars,fork,archived,id,name,isFork,commits,branches,releases,forks,mainLanguage,defaultBranch,license,homepage,watchers,stargazers,contributors,size,createdAt,pushedAt,updatedAt,totalIssues,openIssues,totalPullRequests,openPullRequests,blankLines,codeLines,commentLines,metrics,lastCommit,lastCommitSHA,hasWiki,isArchived,isDisabled,isLocked,languages,labels,topics
ArcInstitute/SRAgent,results.csv,True,SKILL.md,/claude-skill/SKILL.md,main,main,https://github.com/ArcInstitute/SRAgent/blob/ba13533302277494949b29e898529957b94c3b65/claude-skill/SKILL.md,980350cc939e2aaa198db4af942467f87aaba7a2,,code_search,200,none,,2026-02-18T15:16:22Z,149,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArtificialAnalysis/Stirrup,results.csv,True,SKILL.md,/skills/data_analysis/SKILL.md,main,main,https://github.com/ArtificialAnalysis/Stirrup/blob/f02a66ba1ab5da76d72814a6e01691fe81e9648d/skills/data_analysis/SKILL.md,bcf67a5c4b186ce087ee7eb2aa66925e99072739,,code_search,200,none,,2026-02-18T15:17:24Z,306,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsyncFuncAI/AsyncReview,results.csv,True,SKILL.md,/skills/asyncreview/SKILL.md,main,main,https://github.com/AsyncFuncAI/AsyncReview/blob/616d9c965151aee5080da1ed4fc47bde9fd8ea9e/skills/asyncreview/SKILL.md,2fc46f6a31816107c160f6ed228c365d95843730,,code_search,200,none,,2026-02-18T15:17:24Z,189,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AvivK5498/The-Claude-Protocol,results.csv,True,SKILL.md,/SKILL.md,main,main,https://github.com/AvivK5498/The-Claude-Protocol/blob/main/SKILL.md,8bab5b946eaab1fe81cff156931f5f2b6c8ed544,8662,contents_api,200,none,,2026-02-18T15:18:25Z,133,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure-Samples/azure-search-openai-demo,results.csv,True,SKILL.md,/.github/skills/github-pr-inline-reply/SKILL.md,main,main,https://github.com/Azure-Samples/azure-search-openai-demo/blob/03c2e2c35d7a1d1cb11a8da33c18a18518f57ccd/.github/skills/github-pr-inline-reply/SKILL.md,3b6b08c18bf564bc3c1afe5c545e799e9574f923,,code_search,200,none,,2026-02-18T15:18:26Z,7571,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BayramAnnakov/claude-reflect,results.csv,True,SKILL.md,/SKILL.md,main,main,https://github.com/BayramAnnakov/claude-reflect/blob/main/SKILL.md,c82175904c103cbffad29e5221d9817f06ea4ff6,2508,contents_api,200,none,,2026-02-18T15:20:29Z,692,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrownFineSecurity/iothackbot,results.csv,True,SKILL.md,/skills/jadx/SKILL.md,master,master,https://github.com/BrownFineSecurity/iothackbot/blob/fdd25f8c2ee3559bfcabb5f231ff9aba512bfeda/skills/jadx/SKILL.md,fba542fc5976c8872e9c506a09275927cf855c61,,code_search,200,none,,2026-02-18T15:21:32Z,639,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chen-zexi/open-ptc-agent,results.csv,True,SKILL.md,/skills/pdf/SKILL.md,main,main,https://github.com/Chen-zexi/open-ptc-agent/blob/425b9575bfdcaf949b0a4053e981cf8070c70e03/skills/pdf/SKILL.md,f6a22ddf88fdc7e7b7603f4c9064cc51bd930ad9,,code_search,200,none,,2026-02-18T15:23:36Z,652,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicklesworthstone/mcp_agent_mail,results.csv,True,SKILL.md,/SKILL.md,main,main,https://github.com/Dicklesworthstone/mcp_agent_mail/blob/main/SKILL.md,63c0da5d891572dfffe16a42420bc1cb0a971a4d,13492,contents_api,200,none,,2026-02-18T15:30:49Z,1695,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FoundationAgents/MetaGPT,results.csv,True,SKILL.md,/metagpt/prompts/generate_skill.md,main,main,https://github.com/FoundationAgents/MetaGPT/blob/11cdf466d042aece04fc6cfd13b28e1a70341b1f/metagpt/prompts/generate_skill.md,e96f8181a6cbf9cba625a5aa36d5e391d169499c,,code_search,200,none,,2026-02-18T15:38:04Z,64276,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
