language,rank,repo,skill_count,stars,forks,commits,contributors
C#,41,MatterHackers/agg-sharp,5,187,75,,
C#,42,dotnet/msbuild,5,5487,1406,,
C#,43,rwjdk/AgentFrameworkToolkit,5,50,5,,
C#,44,EvotecIT/PSPublishModule,4,41,13,,
C#,45,POW-Software/ByteSync,4,149,11,,
C#,46,RicherTunes/Brainarr,4,32,0,,
C#,47,davidortinau/SentenceStudio,4,21,5,,
C#,48,CoplayDev/unity-mcp,3,6241,758,,
C#,49,GitTools/GitVersion,3,3087,664,,
C#,50,LM-Kit/lm-kit-net-samples,3,38,6,,
C#,51,OrchardCMS/OrchardCore,3,8041,2550,,
C#,52,cmdscale/CmdScale.EntityFrameworkCore.TimescaleDB,3,47,6,,
C#,53,davidortinau/MauiBootstrapTheme,3,11,2,,
C#,54,dotnet/sdk,3,3058,1205,,
C#,55,elbruno/elbruno.localembeddings,3,13,0,,
C#,56,jguadagno/jjgnet-broadcast,3,18,4,,
C#,57,microsoft/Generative-AI-for-beginners-dotnet,3,2328,1772,,
C#,58,mono/SkiaSharp.Extended,3,258,73,,
C#,59,AzureAD/microsoft-identity-web,2,771,255,,
C#,60,BloomBooks/BloomDesktop,2,41,18,,
C#,61,ManageXR/claude-unity-bridge,2,17,1,,
C#,62,Redth/AppleDev.Tools,2,51,5,,
C#,63,ThindalTV/BlazorBlocks,2,13,1,,
C#,64,doggy8088/gemini-tts-cli,2,27,3,,
C#,65,dotnet/SqlClient,2,960,322,,
C#,66,dotnet/android,2,2097,568,,
C#,67,ingen084/KyoshinEewViewerIngen,2,170,18,,
C#,68,maddymontaquila/aspirifridays,2,17,5,,
C#,69,microsoft/Agent365-devTools,2,20,11,,
C#,70,quartznet/quartznet,2,7002,1731,,
C#,71,reynj/reynj,2,14,0,,
C#,72,sbroenne/mcp-server-excel,2,52,8,,
C#,73,sheng-jie/learn-cc-csharp,2,33,9,,
C#,74,whuanle/EasyTouch,2,24,6,,
C#,75,yucchiy/UniCli,2,11,0,,
