rank,repo,skill_count,mainLanguage,stars,forks,commits,contributors
1,majiayu000/claude-skill-registry,24175,Python,93,13,,
2,a5c-ai/babysitter,2023,JavaScript,331,15,,
3,sickn33/antigravity-awesome-skills,1272,Python,15406,2833,,
4,davila7/claude-code-templates,707,Python,21293,1989,,
5,mukul975/Anthropic-Cybersecurity-Skills,611,Python,12,2,,
6,melodic-software/claude-code-plugins,499,Python,28,5,,
7,omer-metin/skills-for-antigravity,460,Python,23,5,,
8,GPTomics/bioSkills,426,Python,283,49,,
9,hainamchung/agent-assistant,327,Python,26,11,,
10,danielmiessler/Personal_AI_Infrastructure,317,TypeScript,9174,1260,,
11,rmyndharis/antigravity-skills,305,JavaScript,417,78,,
12,github/awesome-copilot,297,JavaScript,22519,2585,,
13,HoangNguyen0403/agent-skills-standard,281,TypeScript,259,80,,
14,proffesor-for-testing/agentic-qe,272,TypeScript,202,42,,
15,DNYoussef/context-cascade,252,Python,20,6,,
16,x-cmd/skill,246,Python,12,4,,
17,gtmagents/gtm-agents,244,Python,88,13,,
18,datadrivenconstruction/DDC_Skills_for_AI_Agents_in_Construction,221,Python,43,12,,
19,lifangda/claude-plugins,214,Python,26,5,,
20,secondsky/claude-skills,208,TypeScript,63,4,,
21,curiositech/some_claude_skills,195,TypeScript,40,6,,
22,affaan-m/everything-claude-code,191,JavaScript,51861,6427,,
23,ArabelaTso/Skills-4-SE,187,Python,16,2,,
24,xu-xiang/everything-claude-code-zh,185,JavaScript,50,5,,
25,zenobi-us/dotfiles,183,TypeScript,35,7,,
26,malue-ai/dazee-small,174,Python,23,0,,
27,K-Dense-AI/claude-scientific-skills,173,Python,9279,1095,,
28,alirezarezvani/claude-skills,171,Python,1965,236,,
29,microsoft/skills,169,TypeScript,1487,146,,
30,guia-matthieu/clawfu-skills,169,Python,22,4,,
31,terrylica/cc-skills,166,TypeScript,15,2,,
32,CharlesWiltgen/Axiom,165,TypeScript,490,46,,
33,parcadei/Continuous-Claude-v3,160,Python,3563,273,,
34,bobmatnyc/claude-mpm-skills,160,Python,15,5,,
35,yonatangross/orchestkit,158,TypeScript,90,8,,
36,profbernardoj/everclaw-community-branches,148,JavaScript,90,16,,
37,wshobson/agents,146,Python,29356,3213,,
38,CoWork-OS/CoWork-OS,143,TypeScript,126,12,,
39,openakita/openakita,143,Python,720,75,,
40,davepoon/buildwithclaude,139,TypeScript,2492,273,,
41,kriegcloud/beep-effect,138,TypeScript,41,5,,
42,jmagly/aiwg,138,TypeScript,92,12,,
43,OneWave-AI/claude-skills,131,Python,38,6,,
44,zocomputer/skills,131,TypeScript,11,11,,
45,MadAppGang/claude-code,131,TypeScript,235,25,,
46,SimHacker/moollm,127,Python,30,4,,
47,athola/claude-night-market,126,Python,181,18,,
48,cinience/alicloud-skills,125,Python,186,10,,
49,zjunlp/SkillNet,122,Python,64,3,,
50,alsk1992/CloddsBot,121,TypeScript,50,13,,
51,udecode/better-convex,120,TypeScript,362,25,,
52,travisjneuman/.claude,120,TypeScript,12,1,,
53,frumu-ai/tandem,117,Rust,67,7,,
54,gked2121/claude-skills,115,Python,21,6,,
55,LerianStudio/ring,111,Go,113,12,,
56,giuseppe-trisciuoglio/developer-kit,110,Python,113,8,,
57,borghei/Claude-Skills,109,Python,10,3,,
58,moasq/nanowave,104,Go,27,5,,
59,pproenca/dot-skills,100,Python,46,3,,
60,julianobarbosa/claude-code-skills,95,Python,18,0,,
61,TermiX-official/cryptoclaw,91,TypeScript,250,1,,
62,anthropics/knowledge-work-plugins,91,Python,7938,819,,
63,liqiongyu/lenny_skills_plus,88,Python,21,2,,
64,existential-birds/beagle,87,Python,27,4,,
65,OzeroHAX/AssistAgents,86,TypeScript,24,2,,
66,softaworks/agent-toolkit,86,Python,677,53,,
67,adoresever/AGI_Ananans,85,TypeScript,26,1,,
68,openshift-eng/ai-helpers,84,Python,41,207,,
69,Community-Access/accessibility-agents,83,JavaScript,47,4,,
70,christian289/dotnet-with-claudecode,83,C#,12,2,,
71,K-Dense-AI/claude-scientific-writer,81,Python,873,97,,
72,okwinds/skills-runtime-sdk,80,Python,20,1,,
73,elizaOS/eliza,79,TypeScript,17616,5432,,
74,Hack23/cia,79,Java,207,53,,
75,ancoleman/ai-design-components,76,Python,290,44,,
76,nahisaho/MUSUBIX,76,TypeScript,11,2,,
77,charlietlamb/ferix,75,TypeScript,10,0,,
78,Aniket-a14/SRA,75,TypeScript,17,1,,
79,lllooollpp/clawdbot-cn,75,TypeScript,34,6,,
80,mohitmishra786/low-level-dev-skills,74,JavaScript,18,1,,
81,Goldziher/spikard,73,Rust,101,4,,
82,openxjarvis/openclaw-python,70,Python,26,6,,
83,gvkhosla/compound-engineering-pi,70,TypeScript,29,2,,
84,mims-harvard/ToolUniverse,69,Python,1028,162,,
85,williamzujkowski/standards,67,Python,12,0,,
86,NJX-njx/opensoul,67,TypeScript,15,3,,
87,moorestech/moorestech,66,C#,63,7,,
88,Jeffallan/claude-skills,66,Python,3730,225,,
89,catlog22/Claude-Code-Workflow,65,TypeScript,1337,111,,
90,daffy0208/ai-dev-standards,65,TypeScript,17,6,,
91,proffesor-for-testing/sentinel-api-testing,65,Python,34,8,,
92,Anemll/anemllclaw,64,TypeScript,16,2,,
93,neul-labs/openclawMU,64,TypeScript,12,8,,
94,matteocervelli/llms,64,Python,19,2,,
95,zoucdr/unity3d-mcp,64,C#,38,4,,
96,GongLingRui/screen-creative-skills,62,Python,33,19,,
97,deepgram/dglabs-deepclaw,62,TypeScript,21,8,,
98,alishangtian/proteus-ai,62,Python,11,7,,
99,CommanderZed/Physiclaw,61,TypeScript,20,4,,
100,CharlesHoskinson/dancesWithClaws,61,TypeScript,39,16,,
101,johnson7788/BusinessBot,60,Python,43,6,,
102,openclaw/openclaw,60,TypeScript,227954,43653,,
103,YeSongYun/openclaw-cn,60,TypeScript,21,4,,
104,guanyang/antigravity-skills,59,Python,309,62,,
105,AIDotNet/MoYuCode,59,TypeScript,72,15,,
106,OpenClaudia/openclaudia-skills,56,JavaScript,121,1,,
107,mangiapanejohn-dev/Resonix-AG,56,TypeScript,16,0,,
108,outfitter-dev/agents,56,TypeScript,22,0,,
109,wukongrobot/wukongbot,55,TypeScript,14,0,,
110,GenTelLab/trustclaw,55,TypeScript,42,4,,
111,dr-robert-li/cowork-wordpress-expert,54,JavaScript,15,1,,
112,ComposioHQ/openclaw-composio,54,TypeScript,11,3,,
113,hvwin8/ClawX,54,TypeScript,28,3,,
114,dongshuyan/openclaw-zh,54,TypeScript,13,7,,
115,cyrilliu1974/Clawdbot-Next,54,TypeScript,11,2,,
116,ailabs-393/ai-labs-claude-skills,54,Python,309,77,,
117,anthropics/financial-services-plugins,53,Python,928,85,,
118,liteclaw/liteclaw,53,Go,37,8,,
119,go-mizu/mizu,52,Go,44,2,,
120,soimy/atlasify,51,Python,35,5,,
121,adelpro/quran-search-engine,51,Python,12,20,,
122,ShunsukeHayashi/Miyabi,50,TypeScript,16,8,,
123,ninehills/skills,50,Python,163,19,,
124,ZhanlinCui/Agent-Skills-Hunter,49,Python,68,10,,
125,vudovn/antigravity-kit,48,TypeScript,5234,1062,,
126,mukhbit0/Flutter-Theme-Generator,48,TypeScript,47,5,,
127,letta-ai/lettabot,48,TypeScript,228,46,,
128,trohitg/MachinaOS,48,Python,10,1,,
129,bybren-llc/story-systems-template,48,JavaScript,14,3,,
130,leandrosilvaferreira/gitai,47,Python,35,3,,
131,skillcreatorai/Ai-Agent-Skills,47,Python,842,92,,
132,codewithmukesh/dotnet-claude-kit,47,C#,16,2,,
133,diillson/chatcli,47,Go,62,20,,
134,xenitV1/Antigravity-Workflows,46,Python,121,21,,
135,OpenHands/extensions,46,Python,58,13,,
136,LambdaTest/agent-skills,46,Python,32,4,,
137,pr-pm/prpm,46,TypeScript,94,11,,
138,castle-x/skills-x,45,Go,17,1,,
139,bitsoex/bitso-java,45,Java,36,30,,
140,loonghao/auroraview,45,Rust,25,3,,
141,TencentCloudBase/CloudBase-MCP,45,TypeScript,960,114,,
142,sd0xdev/sd0x-dev-flow,45,JavaScript,39,4,,
143,Charles5277/nuxt-supabase-starter,45,TypeScript,36,2,,
144,oaustegard/claude-skills,45,Python,103,3,,
145,pacphi/sindri,45,Rust,10,4,,
146,jkitchin/skillz,44,Python,14,2,,
147,Steffen025/pai-opencode,44,TypeScript,95,10,,
148,thapaliyabikendra/ai-artifacts,44,Python,11,3,,
149,oliver-kriska/claude-elixir-phoenix,43,Python,52,5,,
150,first-fluke/fullstack-starter,43,TypeScript,178,26,,
151,leegonzales/AISkills,43,Python,20,5,,
152,mikeOnBreeze/cc-crossbeam,43,Python,67,25,,
153,Ibrahim-3d/conductor-orchestrator-superpowers,42,Python,230,24,,
154,daymade/claude-code-skills,42,Python,603,82,,
155,SalesforceCommerceCloud/b2c-developer-tooling,42,TypeScript,22,6,,
156,linkerlin/PUAX,42,TypeScript,213,20,,
157,CommandCodeAI/agent-skills,42,Python,20,1,,
158,Heyvhuang/ship-faster,42,TypeScript,233,35,,
159,bahayonghang/my-claude-code-settings,41,Python,10,0,,
160,agent-sh/agnix,41,Rust,60,4,,
161,liwoo/goravel-inertia-tw-starter,41,Go,10,8,,
162,evolving-machines-lab/evolve,40,TypeScript,45,2,,
163,anton-abyzov/specweave,40,TypeScript,79,7,,
164,smallnest/langgraphgo,40,Go,198,30,,
165,rp1-run/rp1,40,TypeScript,10,1,,
166,Besty0728/Unity-Skills,39,C#,189,35,,
167,HAI3org/HAI3,39,TypeScript,28,30,,
168,Fu-Jie/openwebui-extensions,39,Python,79,7,,
169,drn/dots,39,Go,22,4,,
170,ElliotJLT/Claude-Skill-Potions,39,Python,49,2,,
171,Fujigo-Software/f5-framework-claude,38,Python,17,7,,
172,Kilo-Org/kilo-marketplace,38,Python,37,11,,
173,linanwx/nagobot,38,Go,31,4,,
174,WaterplanAI/agentic-config,38,Python,23,4,,
175,Tony363/SuperClaude,38,Python,14,0,,
