month,found,total,prevalence_pct
2025-10,17,7207,0.23588178160122103
2025-11,44,15491,0.28403589180814665
2025-12,73,19360,0.37706611570247933
2026-01,317,28999,1.0931411427980275
2026-02,3048,89693,3.3982585040081164
2026-03,5,144,3.4722222222222223
