language,total,found_count,prevalence_pct,ci_lo,ci_hi,ci_err_lo,ci_err_hi
TypeScript,30422,1244,4.089146012753928,3.8723391276758634,4.317546406994114,0.21680688507806467,0.228400394240186
Python,45285,1118,2.468808656287954,2.3298692170771353,2.6158117075592764,0.13893943921081853,0.14700305127132252
Rust,12453,293,2.352846703605557,2.1009534569277757,2.634128026327177,0.25189324667778124,0.28128132272162
Go,15767,288,1.8265998604680662,1.6290047277362114,2.047663992340212,0.1975951327318548,0.22106413187214558
JavaScript,17364,251,1.4455194655609307,1.2784203799673262,1.6340981220438853,0.16709908559360453,0.18857865648295458
C#,8960,114,1.2723214285714286,1.060245801082948,1.5261631332293226,0.21207562748848052,0.253841704657894
Java,9452,72,0.7617435463393991,0.6053627123556982,0.9581321752913199,0.15638083398370095,0.19638862895192077
PHP,7227,65,0.8994050089940501,0.7063238979928662,1.1446584274946676,0.19308111100118386,0.24525341850061755
C++,9057,38,0.4195649773655736,0.30584220246745963,0.5753298069847308,0.11372277489811394,0.15576482961915722
C,4893,21,0.4291845493562232,0.2808898348963063,0.6552564353853382,0.14829471445991688,0.226071886029115
(unknown),14,0,0.0,0.0,21.531701192718142,0.0,21.531701192718142
