rank,repo,python_all_labeled_skill_count,python_all_sdlc_skill_count,python_all_filtered_skill_count,python_all_unclassified_count,python_all_filter_agent_skill_count,python_all_filter_outside_scope_count,python_all_filter_wrong_language_count,skill_count,mainLanguage,stars,forks,commits,contributors
46,vstorm-co/pydantic-deepagents,3,3,0,0,0,0,0,90,Python,452,47,142.0,7.0
47,2025Emma/vibe-coding-cn,1,1,0,0,0,0,0,90,Python,14463,1594,130.0,2.0
48,definableai/definable.ai,2,0,2,0,2,0,0,90,Python,20,2,177.0,2.0
49,Ibrahim-3d/conductor-orchestrator-superpowers,2,2,0,0,0,0,0,84,Python,275,30,18.0,1.0
50,tobihagemann/turbo,1,1,0,0,0,0,0,84,Python,22,1,60.0,1.0
51,VioletCranberry/coco-search,1,1,0,0,0,0,0,72,Python,18,3,1024.0,3.0
52,prowler-cloud/prowler,1,1,0,0,0,0,0,72,Python,13314,2040,7879.0,367.0
53,sfc-gh-dflippo/snowflake-dbt-demo,2,2,0,0,0,0,0,68,Python,31,8,301.0,2.0
54,sammcj/agentic-coding,1,1,0,0,0,0,0,68,Python,108,18,370.0,3.0
55,dp-archive/archive,1,0,1,0,0,0,1,68,Python,1111,97,195.0,2.0
56,jd-opensource/JoySafeter,3,1,2,0,1,0,1,66,Python,176,35,219.0,5.0
57,cnoe-io/ai-platform-engineering,2,1,1,0,1,0,0,66,Python,324,47,3223.0,29.0
58,aitytech/agentkits-marketing,1,0,1,0,1,0,0,64,Python,374,44,69.0,4.0
59,deepeshBodh/human-in-loop,1,1,0,0,0,0,0,62,Python,24,1,223.0,1.0
60,Abilityai/cornelius,2,1,1,0,1,0,0,60,Python,74,20,19.0,1.0
61,krzysztofsurdy/code-virtuoso,1,1,0,0,0,0,0,60,Python,13,0,198.0,3.0
62,snyk/agent-scan,2,0,2,0,2,0,0,60,Python,1873,186,376.0,11.0
63,emanueleielo/ciana-parrot,2,0,2,0,2,0,0,54,Python,66,12,70.0,3.0
64,winstonkoh87/Athena-Public,3,2,1,0,1,0,0,52,Python,430,57,485.0,3.0
65,manusco/resonance,2,1,1,0,1,0,0,52,Python,34,6,54.0,2.0
66,rand/cc-polymath,1,1,0,0,0,0,0,52,Python,80,5,158.0,2.0
67,sddevelopment-be/quickstart_agent-augmented-development,1,0,1,0,1,0,0,52,Python,13,3,824.0,2.0
68,TheCraigHewitt/seomachine,2,0,2,0,2,0,0,50,Python,2702,433,15.0,1.0
69,norahe0304-art/30x-seo,1,0,1,0,1,0,0,50,Python,11,5,25.0,1.0
70,WayfinderFoundation/wayfinder-paths-sdk,4,1,3,0,2,1,0,48,Python,14,4,103.0,8.0
71,thinking-machines-lab/tinker-cookbook,1,1,0,0,0,0,0,48,Python,2939,349,274.0,55.0
72,hannesill/m4,2,0,2,0,2,0,0,48,Python,23,10,378.0,11.0
73,dagster-io/erk,1,1,0,0,0,0,0,46,Python,74,7,4089.0,4.0
74,atopile/atopile,1,1,0,0,0,0,0,42,Python,3104,171,2843.0,41.0
75,moshesham/Data-Science-Analytical-Handbook,1,1,0,0,0,0,0,42,Python,46,13,242.0,2.0
76,OriNachum/autonomous-intelligence,2,1,1,0,1,0,0,39,Python,220,15,445.0,2.0
77,langchain-ai/deepagents,2,0,2,0,2,0,0,39,Python,10921,1751,939.0,79.0
78,vishalsachdev/canvas-mcp,1,0,1,0,1,0,0,39,Python,74,29,226.0,9.0
79,ArcaneOrion/Alice-Single,1,0,1,0,1,0,0,38,Python,13,2,75.0,1.0
80,andfanilo/streamlit-echarts,1,1,0,0,0,0,0,36,Python,596,72,128.0,9.0
81,daloopa/investing,1,0,1,0,1,0,0,36,Python,353,81,25.0,3.0
82,adamfilli/happy-simulator,1,1,0,0,0,0,0,34,Python,11,0,364.0,2.0
83,bytedance/deer-flow,1,1,0,0,0,0,0,34,Python,30569,3694,1608.0,124.0
84,opendatahub-io/ai-helpers,1,1,0,0,0,0,0,34,Python,18,30,180.0,16.0
85,Mulily0513/Omni,2,1,1,0,0,1,0,32,Python,15,1,2.0,1.0
86,kilolonion/excelmanus,1,0,1,0,0,0,1,32,Python,25,0,186.0,3.0
87,monaccode/astromesh,2,1,0,1,0,0,0,30,Python,17,1,195.0,1.0
88,Blazemeter/bzm-mcp,1,1,0,0,0,0,0,30,Python,24,4,190.0,7.0
89,MiniMax-AI/Mini-Agent,1,1,0,0,0,0,0,30,Python,1844,278,54.0,12.0
90,Hmbown/rlmagents,1,0,1,0,1,0,0,30,Python,44,2,688.0,58.0
91,nex-agi/NexAU,1,0,1,0,0,1,0,30,Python,50,10,357.0,17.0
92,deepklarity/harness-kit,2,2,0,0,0,0,0,28,Python,22,0,2.0,1.0
93,godmakereth/vibe-coding-tw,1,1,0,0,0,0,0,28,Python,30,3,96.0,4.0
94,Q00/ouroboros,1,0,1,0,1,0,0,28,Python,1284,120,221.0,13.0
95,yaalalabs/agent-kernel,1,0,1,0,1,0,0,28,Python,25,10,272.0,12.0
96,artemiv4nov/fabricator,2,2,0,0,0,0,0,26,Python,12,0,4.0,1.0
97,countbot-ai/CountBot,2,0,2,0,0,0,2,24,Python,208,35,82.0,3.0
98,SpartanLabsXyz/simmer-sdk,1,0,1,0,1,0,0,24,Python,33,10,322.0,4.0
99,microsoft/semantic-link-labs,1,1,0,0,0,0,0,22,Python,482,169,2060.0,28.0
100,selhorys/dataspoke-baseline,1,1,0,0,0,0,0,22,Python,15,0,229.0,2.0
101,Lingyuzhou111/dow-ipad-859,1,0,1,0,0,0,1,22,Python,197,45,178.0,2.0
102,agentscope-ai/CoPaw,1,0,1,0,1,0,0,22,Python,11481,1363,292.0,74.0
103,openbotx/openbotx,1,0,1,0,1,0,0,22,Python,83,17,41.0,1.0
104,hscspring/create-vibe-app,2,2,0,0,0,0,0,20,Python,44,7,14.0,1.0
105,jewbetcha/openflight,2,2,0,0,0,0,0,20,Python,168,17,317.0,4.0
106,celltype/celltype-agent,1,1,0,0,0,0,0,20,Python,211,47,31.0,5.0
107,0verL1nk/PaperSage,1,0,1,0,1,0,0,20,Python,32,7,80.0,2.0
108,kdeldycke/extra-platforms,2,2,0,0,0,0,0,18,Python,20,2,1073.0,7.0
109,HammerGPT/Hyper-Alpha-Arena,1,1,0,0,0,0,0,18,Python,684,199,536.0,7.0
110,ScottRBK/forgetful,1,1,0,0,0,0,0,18,Python,194,16,184.0,2.0
111,dmitriiweb/extract-emails,1,1,0,0,0,0,0,18,Python,108,38,306.0,8.0
112,jenkinsm13/metashape-mcp,1,0,1,0,1,0,0,18,Python,10,1,43.0,1.0
113,dcramer/ash,2,1,1,0,1,0,0,16,Python,59,2,753.0,1.0
114,owid/etl,2,1,1,0,1,0,0,16,Python,138,29,15442.0,35.0
