rank,repo,skill_count,mainLanguage,stars,forks,commits,contributors
96,DotNetAge/mindx,35,Go,15,5,,
97,kivo360/OmoiOS,35,Python,26,1,,
98,hatayama/uLoopMCP,35,C#,164,16,,
99,prowler-cloud/prowler,34,Python,13099,2011,,
100,shoootyou/get-shit-done-multi,34,JavaScript,12,1,,
101,Hidden-History/ai-memory,34,Python,21,4,,
102,lintendo/Axhub-Make,34,JavaScript,20,6,,
103,kasperjunge/agent-resources,34,Python,403,30,,
104,sfc-gh-dflippo/snowflake-dbt-demo,34,Python,28,8,,
105,gannonh/kata-orchestrator,33,TypeScript,88,3,,
106,rivet-dev/rivet,33,Rust,5031,154,,
107,lossyrob/phased-agent-workflow,33,TypeScript,21,5,,
108,aitytech/agentkits-marketing,32,Python,310,33,,
109,PackmindHub/packmind,32,TypeScript,214,7,,
110,taurgis/sfcc-dev-mcp,32,TypeScript,21,7,,
111,yazelin/ching-tech-os,32,Python,19,7,,
112,RtlZeroMemory/Zireael,31,C,30,2,,
113,dotnet/dotnet,31,C#,973,251,,
114,huangrt01/CS-Notes,31,Python,3944,484,,
115,ruvnet/ruv-FANN,30,Rust,313,90,,
116,2025Emma/vibe-coding-cn,30,Python,12670,1407,,
117,Abilityai/cornelius,30,Python,64,18,,
118,vfarcic/dot-ai,30,TypeScript,293,57,,
119,howells/arc,30,TypeScript,10,0,,
120,ParadeTo/vue-tree-list,30,TypeScript,686,126,,
121,tryportal/portal,30,TypeScript,18,3,,
122,vstorm-co/pydantic-deepagents,30,Python,347,36,,
123,definableai/definable.ai,30,Python,12,2,,
124,jd-opensource/JoySafeter,30,Python,136,22,,
125,agent-sh/agentsys,30,JavaScript,484,46,,
126,cin12211/orca-q,29,TypeScript,60,0,,
127,kv0906/pm-kit,29,Python,45,11,,
128,aalmada/BookStore,29,C#,15,0,,
129,oocx/tfplan2md,29,C#,127,7,,
130,ruvnet/marketing,29,TypeScript,31,11,,
131,popup-studio-ai/bkit-gemini,29,JavaScript,30,8,,
132,microbus-io/fabric,29,Go,170,5,,
133,sammcj/agentic-coding,29,Python,95,16,,
134,agenticsorg/hackathon-tv5,28,TypeScript,22,41,,
135,wordflowlab/novelweave,28,TypeScript,51,14,,
136,srbhr/Resume-Matcher,28,TypeScript,26036,4702,,
137,WellApp-ai/Well,28,TypeScript,309,44,,
138,EthanAlgoX/MarketBot,28,TypeScript,41,8,,
139,vfarcic/dot-ai-controller,27,Go,42,5,,
140,sunholo-data/ailang,27,Go,20,2,,
141,emanueleielo/ciana-parrot,27,Python,58,9,,
142,dsifry/goodtogo,27,Python,43,2,,
143,exceptionless/Exceptionless,27,C#,2451,513,,
144,deepeshBodh/human-in-loop,27,Python,21,1,,
145,growupanand/ConvoForm,27,TypeScript,101,32,,
146,yezannnnn/agentGroup,27,Python,31,3,,
147,hhhh124hhhh/godot-mcp,27,TypeScript,19,2,,
148,oedokumaci/gale-shapley-algorithm,26,TypeScript,10,2,,
149,Haaaiawd/Antigravity-Workflow-System,26,Python,82,11,,
150,sgcarstrends/sgcarstrends,26,TypeScript,19,1,,
151,sddevelopment-be/quickstart_agent-augmented-development,26,Python,13,3,,
152,manusco/resonance,26,Python,33,6,,
153,vspo-lab/vspo-portal,26,TypeScript,21,4,,
