language,rank,repo,skill_count,stars,forks,commits,contributors
C,1,RtlZeroMemory/Zireael,31,30,2,,
C,2,edwnh/dqmc,6,16,5,,
C,3,tpn/perfecthash,5,87,15,,
C,4,alex-ilgayev/MCPSpy,4,498,73,,
C,5,OpenSwiftUIProject/DarwinPrivateFrameworks,4,24,3,,
C,6,microsoft/ebpf-for-windows,4,3435,277,,
C,7,M5Fly-kanazawa/stampfly_ecosystem,3,18,0,,
C,8,tdimino/bg3se-macos,3,24,5,,
C,9,d3nd3/sof_buddy,2,14,0,,
C,10,yoanbernabeu/grepai,2,1323,100,,
C,11,wysaid/android-gpuimage-plus,2,1906,478,,
C,12,zfogg/ascii-chat,2,181,8,,
C,13,NativePHP/mobile-air,1,138,24,,
C,14,crosspoint-reader/crosspoint-reader,1,2345,333,,
C,15,cfoust/cy,1,200,8,,
C,16,bouffalolab/bouffalo_sdk,1,457,166,,
C,17,pikasTech/PikaPython,1,1707,164,,
C#,1,moorestech/moorestech,101,63,7,,
C#,2,zoucdr/unity3d-mcp,64,38,4,,
C#,3,baotoq/micro-commerce,41,92,25,,
C#,4,hatayama/uLoopMCP,35,164,16,,
C#,5,dotnet/dotnet,31,973,251,,
C#,6,oocx/tfplan2md,29,127,7,,
C#,7,aalmada/BookStore,29,15,0,,
C#,8,exceptionless/Exceptionless,27,2451,513,,
C#,9,foxminchan/BookWorm,26,475,62,,
C#,10,timdeschryver/Sandbox,22,47,16,,
C#,11,JinFanZheng/kode-sdk-csharp,20,55,16,,
C#,12,vchelaru/Gum,19,428,68,,
C#,13,lofcz/LLMTornado,18,560,92,,
C#,14,doomclouds/LightRAGNet,14,10,3,,
C#,15,mitkox/ai-coding-factory,13,134,52,,
C#,16,dotnet/maui,13,23188,1914,,
C#,17,dotnet/aspire,12,5467,811,,
C#,18,mono/SkiaSharp,12,5273,613,,
C#,19,mitchdenny/hex1b,11,101,5,,
C#,20,rickdotnet/Momus,10,11,0,,
C#,21,DaveSkender/Stock.Indicators,10,1182,265,,
C#,22,Azure/azure-sdk-for-net,9,5939,5118,,
C#,23,umbraco/Umbraco.AI,9,15,9,,
C#,24,recyclarr/recyclarr,8,1860,34,,
C#,25,MarcelMichau/fake-survey-generator,8,86,18,,
C#,26,dotnet/runtime,7,17702,5352,,
C#,27,thangchung/agent-engineering-experiment,7,11,1,,
C#,28,AzureAD/microsoft-authentication-library-for-dotnet,6,1490,395,,
C#,29,VSadov/Satori,6,324,18,,
C#,30,hardkoded/puppeteer-sharp,6,3862,488,,
C#,31,rwjdk/MicrosoftAgentFrameworkSamples,6,177,59,,
C#,32,dotnet/msbuild,5,5487,1406,,
C#,33,DataDog/dd-trace-dotnet,5,544,153,,
C#,34,JasonXuDeveloper/JEngine,5,2181,342,,
C#,35,MatterHackers/agg-sharp,5,187,75,,
C#,36,EvotecIT/PSPublishModule,4,41,13,,
C#,37,RicherTunes/Brainarr,4,32,0,,
C#,38,POW-Software/ByteSync,4,149,11,,
C#,39,davidortinau/SentenceStudio,4,21,5,,
C#,40,mono/SkiaSharp.Extended,3,258,73,,
C#,41,microsoft/Generative-AI-for-beginners-dotnet,3,2328,1772,,
