id,name,isFork,commits,branches,releases,forks,mainLanguage,defaultBranch,license,homepage,watchers,stargazers,contributors,size,createdAt,pushedAt,updatedAt,totalIssues,openIssues,totalPullRequests,openPullRequests,blankLines,codeLines,commentLines,metrics,lastCommit,lastCommitSHA,hasWiki,isArchived,isDisabled,isLocked,languages,labels,topics
501687,antlr/antlr4,false,,,,3429,Java,dev,BSD-3-Clause,http://antlr.org,18771,18771,,70649,2010-02-04T01:36:28Z,2026-02-16T21:29:09Z,2026-03-07T09:03:57Z,1048,1048,,,,,,,2026-02-16T21:29:09Z,,false,false,false,,,,antlr;antlr4;cpp;csharp;dart;golang;grammar;java;javascript;language-recognition;parse;parser-generator;parsing;php;python;swift
7296244,LWJGL/lwjgl3,false,,,,685,Java,master,BSD-3-Clause,https://www.lwjgl.org,5280,5280,,131794,2012-12-23T15:40:04Z,2026-02-27T18:32:43Z,2026-03-07T13:23:44Z,85,85,,,,,,,2026-02-27T18:32:43Z,,false,false,false,,,,bindings;fmod;freetype;glfw;harfbuzz;java;kotlin;lwjgl;openal;opencl;opengl;opengl-es;openxr;vr;vulkan
12731904,cjlin1/libsvm,false,,,,1641,Java,master,BSD-3-Clause,https://www.csie.ntu.edu.tw/~cjlin/libsvm/,4693,4693,,9967,2013-09-10T14:32:07Z,2025-12-29T11:23:20Z,2026-03-06T04:33:15Z,112,112,,,,,,,2025-12-29T11:23:20Z,,true,false,false,,,,
124743561,LinShunKang/MyPerf4J,false,,,,560,Java,develop,BSD-3-Clause,,3564,3564,,1169,2018-03-11T09:58:44Z,2025-11-16T13:23:54Z,2026-02-27T02:25:21Z,4,4,,,,,,,2025-11-16T13:23:54Z,,true,false,false,,,,agent;apm;bytecode;diagnosis;java-agent;jvm-monitor;metrics;microservices;monitor;monitoring;monitoring-tool;observability;performance;performance-analysis;performance-metrics;performance-monitoring;performance-tuning;performance-visualization;profiler;profiling
114649434,NordicSemiconductor/Android-BLE-Library,false,,,,449,Java,main,BSD-3-Clause,,2341,2341,,3124,2017-12-18T14:17:43Z,2026-02-05T09:43:30Z,2026-03-06T05:57:19Z,45,45,,,,,,,2026-02-05T09:43:30Z,,false,false,false,,,,
162236965,controlsfx/controlsfx,false,,,,294,Java,master,BSD-3-Clause,https://controlsfx.org,1691,1691,,27915,2018-12-18T05:52:08Z,2025-12-09T04:56:30Z,2026-03-04T13:21:04Z,510,510,,,,,,,2025-12-09T04:56:30Z,,true,false,false,,,,controlsfx;javafx
27657786,happyfish100/fastdfs-client-java,false,,,,900,Java,master,BSD-3-Clause,,1616,1616,,290,2014-12-07T03:19:50Z,2025-12-19T03:23:06Z,2026-03-03T23:54:41Z,82,82,,,,,,,2025-12-19T03:23:06Z,,true,false,false,,,,
17974460,wakatime/jetbrains-wakatime,false,,,,187,Java,master,BSD-3-Clause,https://wakatime.com/intellij-idea,1223,1223,,6205,2014-03-21T09:20:13Z,2026-02-14T03:14:22Z,2026-03-02T09:30:14Z,42,42,,,,,,,2026-02-14T03:14:22Z,,false,false,false,,,,androidstudio-plugin;appcode-plugin;datagrip-plugin;gogland-plugin;intellij-plugin;phpstorm-plugin;pycharm-plugin;rider-plugin;rubymine-plugin;time-tracking;webstorm-plugin
1546909,Multiverse/Multiverse-Core,false,,,,330,Java,main,BSD-3-Clause,,1082,1082,,30689,2011-03-30T16:18:14Z,2026-02-26T02:47:15Z,2026-03-06T17:41:03Z,22,22,,,,,,,2026-02-26T02:47:15Z,,true,false,false,,,,bukkit;bukkit-plugin;hacktoberfest;java;multiverse;world-manager
17084567,dnsjava/dnsjava,false,,,,259,Java,master,BSD-3-Clause,,1062,1062,,7955,2014-02-22T12:43:49Z,2026-02-28T15:45:13Z,2026-03-04T12:36:23Z,16,16,,,,,,,2026-02-28T15:45:13Z,,false,false,false,,,,dns;dnsjava;dnssec;dnssec-support;java;java-library;library
