id,name,isFork,commits,branches,releases,forks,mainLanguage,defaultBranch,license,homepage,watchers,stargazers,contributors,size,createdAt,pushedAt,updatedAt,totalIssues,openIssues,totalPullRequests,openPullRequests,blankLines,codeLines,commentLines,metrics,lastCommit,lastCommitSHA,hasWiki,isArchived,isDisabled,isLocked,languages,labels,topics
59669326,xoofx/markdig,false,,,,504,C#,main,BSD-2-Clause,http://xoofx.github.io/markdig/,5163,5163,,5614,2016-05-25T14:18:26Z,2026-03-04T20:49:53Z,2026-03-14T03:04:04Z,,126,,,,,,,2026-03-04T20:49:53Z,,false,false,false,,,,commonmark;commonmark-parsing;csharp;dotnet;dotnetcore;gfm;markdown;markdown-flavors;markdown-parser;markdown-processor;markdown-to-html
15785507,sebastienros/jint,false,,,,593,C#,main,BSD-2-Clause,,4570,4570,,25711,2014-01-10T01:51:04Z,2026-03-11T20:30:13Z,2026-03-14T16:44:06Z,,16,,,,,,,2026-03-11T20:30:13Z,,true,false,false,,,,
10025737,PowerShell/PSReadLine,false,,,,323,C#,master,BSD-2-Clause,,4217,4217,,3112,2013-05-13T06:39:28Z,2026-03-11T20:23:22Z,2026-03-13T20:05:36Z,,235,,,,,,,2026-03-11T20:23:22Z,,true,false,false,,,,
50355666,scriban/scriban,false,,,,404,C#,master,BSD-2-Clause,https://scriban.github.io,3825,3825,,2983,2016-01-25T14:26:37Z,2026-03-12T18:47:13Z,2026-03-13T16:15:13Z,,66,,,,,,,2026-03-12T18:47:13Z,,false,false,false,,,,handlebars;liquid;mustache;templating;templating-engine;templating-language;text-templating
890279592,xoofx/ultra,false,,,,19,C#,main,BSD-2-Clause,,1117,1117,,9411,2024-11-18T09:56:16Z,2025-11-05T07:18:25Z,2026-03-13T10:20:05Z,,12,,,,,,,2025-11-05T07:18:25Z,,false,false,false,,,,dotnet;etw;profiler
89966158,xoofx/zio,false,,,,65,C#,main,BSD-2-Clause,,916,916,,804,2017-05-01T21:51:24Z,2026-02-22T15:33:06Z,2026-03-09T14:38:09Z,,18,,,,,,,2026-02-22T15:33:06Z,,false,false,false,,,,dotnet;dotnet-core;filesystem;filesystem-api;vfs
452833426,xoofx/dotnet-releaser,false,,,,28,C#,main,BSD-2-Clause,,753,753,,1326,2022-01-27T20:27:34Z,2026-02-26T08:24:27Z,2026-03-12T14:17:42Z,,17,,,,,,,2026-02-26T08:24:27Z,,false,false,false,,,,dotnet;releaser;tool
195700835,bdovaz/UnityNuGet,false,,,,113,C#,master,BSD-2-Clause,,725,725,,1275,2019-07-07T21:59:02Z,2026-03-01T21:47:47Z,2026-03-13T22:31:17Z,,3,,,,,,,2026-03-01T21:47:47Z,,false,false,false,,,,asp-net-core;dotnet;dotnet-core;nuget;unity;unity3d
146781799,ClassicUO/ClassicUO,false,,,,372,C#,main,BSD-2-Clause,https://www.classicuo.eu,692,692,,144256,2018-08-30T17:14:48Z,2026-03-14T23:50:19Z,2026-03-14T23:46:21Z,,162,,,,,,,2026-03-14T23:50:19Z,,true,false,false,,,,classicuo;cross-platform;directx-11;fna-xna;games;opengl;ultima-online;vulkan
188537475,xoofx/CppAst.NET,false,,,,79,C#,main,BSD-2-Clause,,598,598,,3189,2019-05-25T07:55:35Z,2026-02-10T08:09:38Z,2026-03-11T06:22:08Z,,28,,,,,,,2026-02-10T08:09:38Z,,false,false,false,,,,ast;clang;cplusplus;csharp;dotnet;dotnet-core;libclang;parser
39102051,omansak/libvideo,false,,,,162,C#,master,BSD-2-Clause,,580,580,,4550,2015-07-14T21:47:05Z,2026-02-06T23:56:18Z,2026-03-09T10:44:05Z,,1,,,,,,,2026-02-06T23:56:18Z,,false,false,false,,,,
12050336,hhblaze/DBreeze,false,,,,61,C#,master,BSD-2-Clause,,571,571,,764207,2013-08-12T07:34:47Z,2026-03-13T10:58:52Z,2026-03-13T10:45:13Z,,1,,,,,,,2026-03-13T10:58:52Z,,true,false,false,,,,acid;android;c-sharp;clustering;database;dotnet;embedded;key;net;netcore;netstandard;nosql;search;search-engine;similarity-search;text;transaction;value;vector-database;xamarin
168931002,xoofx/Tomlyn,false,,,,39,C#,main,BSD-2-Clause,https://xoofx.github.io/Tomlyn/,536,536,,1399,2019-02-03T09:54:12Z,2026-03-11T18:36:34Z,2026-03-12T14:17:31Z,,0,,,,,,,2026-03-11T18:36:34Z,,false,false,false,,,,csharp;dotnet;dotnet-core;toml;toml-parser;toml-validation
40348946,lduchosal/ipnetwork,false,,,,100,C#,master,BSD-2-Clause,,520,520,,18456,2015-08-07T08:05:57Z,2026-03-08T14:44:25Z,2026-03-11T19:13:21Z,,1,,,,,,,2026-03-08T14:44:25Z,,false,false,false,,,,cidr;csharp;ipv4;ipv6;netmask;subnet
16162789,MatterHackers/MatterControl,false,,,,189,C#,main,BSD-2-Clause,http://www.mattercontrol.com/,490,490,,103846,2014-01-23T05:01:16Z,2026-03-04T15:04:34Z,2026-03-07T12:10:42Z,,410,,,,,,,2026-03-04T15:04:34Z,,true,false,false,,,,
12663545,LightBDD/LightBDD,false,,,,50,C#,master,BSD-2-Clause,,453,453,,17230,2013-09-07T10:58:46Z,2026-02-02T10:25:45Z,2026-03-14T06:13:28Z,,44,,,,,,,2026-02-02T10:25:45Z,,true,false,false,,,,bdd;bdd-style;fixie;lightbdd;mbunit;mstest;mstestv2;nunit;tdd;test-framework;testframework;xunit
49987133,NLog/NLog.Extensions.Logging,false,,,,149,C#,master,BSD-2-Clause,https://nlog-project.org,402,402,,1833,2016-01-19T22:18:30Z,2026-03-08T12:14:41Z,2026-03-08T12:14:45Z,,2,,,,,,,2026-03-08T12:14:41Z,,true,false,false,,,,csharp;dotnet;logger;logging;logging-library;microsoft-extensions-logging;netcore;netstandard;nlog;structured-logging
99935345,countincognito/Zametek.ProjectPlan,false,,,,51,C#,develop,BSD-2-Clause,,230,230,,4801,2017-08-10T15:02:17Z,2026-03-08T20:34:02Z,2026-03-08T20:34:06Z,,15,,,,,,,2026-03-08T20:34:02Z,,true,false,false,,,,
213947642,curiosity-ai/rocksdb-sharp,false,,,,43,C#,master,BSD-2-Clause,,201,201,,1041,2019-10-09T14:57:48Z,2026-02-07T15:14:52Z,2026-03-04T23:27:22Z,,19,,,,,,,2026-02-07T15:14:52Z,,true,false,false,,,,
16150240,MatterHackers/agg-sharp,false,,,,76,C#,main,BSD-2-Clause,,187,187,,34277,2014-01-22T19:40:51Z,2026-03-14T23:41:00Z,2026-03-14T23:41:07Z,,8,,,,,,,2026-03-14T23:41:00Z,,true,false,false,,,,
35244431,mwilliamson/dotnet-mammoth,false,,,,48,C#,master,BSD-2-Clause,,178,178,,527,2015-05-07T21:28:12Z,2026-03-13T08:21:03Z,2026-03-13T08:21:07Z,,2,,,,,,,2026-03-13T08:21:03Z,,true,false,false,,,,
461297869,7mind/sick,false,,,,7,C#,main,BSD-2-Clause,,162,162,,538,2022-02-19T19:51:43Z,2025-12-15T13:23:20Z,2026-02-24T06:08:02Z,,2,,,,,,,2025-12-15T13:23:20Z,,true,false,false,,,,
1129877946,XenoAtom/XenoAtom.Terminal.UI,false,,,,2,C#,main,BSD-2-Clause,https://xenoatom.github.io/terminal,149,149,,9211,2026-01-07T17:59:01Z,2026-03-14T20:42:04Z,2026-03-14T20:42:04Z,,0,,,,,,,2026-03-14T20:42:04Z,,false,false,false,,,,console;csharp;curses;dotnet;terminal;terminal-application;terminal-ui;tui
734259024,MaKrotos/Music-M,false,,,,7,C#,master,BSD-2-Clause,,139,139,,7452,2023-12-21T08:46:20Z,2026-02-18T16:46:26Z,2026-03-11T10:45:19Z,,5,,,,,,,2026-02-18T16:46:26Z,,true,false,false,,,,music;music-player;vk;vk-music-downloader;vkontakte-api;vkontakte-client;win-ui;winui3
60139468,lunet-io/lunet,false,,,,9,C#,main,BSD-2-Clause,https://lunet.io,128,128,,3590,2016-06-01T02:32:57Z,2026-03-08T15:06:16Z,2026-03-12T06:07:26Z,,0,,,,,,,2026-03-08T15:06:16Z,,false,false,false,,,,dotnet;scriban;site-generator;static-site-generator
911072014,xoofx/AsmArm64,false,,,,9,C#,main,BSD-2-Clause,,123,123,,4526,2025-01-02T07:16:19Z,2026-02-25T06:16:46Z,2026-03-12T13:43:29Z,,1,,,,,,,2026-02-25T06:16:46Z,,false,false,false,,,,arm64;assembler;disassembler;dotnet
754296307,xoofx/TurboXml,false,,,,8,C#,main,BSD-2-Clause,,119,119,,207,2024-02-07T19:20:48Z,2026-03-13T20:12:19Z,2026-03-13T20:12:23Z,,1,,,,,,,2026-03-13T20:12:19Z,,false,false,false,,,,csharp;dotnet;xml
449978995,MyShiLingStar/ACNHPokerCore,false,,,,19,C#,main,BSD-2-Clause,https://myshilingstar.github.io/GetAzure/,117,117,,7077,2022-01-20T06:20:25Z,2026-03-04T03:01:03Z,2026-03-11T17:57:30Z,,48,,,,,,,2026-03-04T03:01:03Z,,true,false,false,,,,
1363914,GeertBellekens/Enterprise-Architect-Toolpack,false,,,,41,C#,master,BSD-2-Clause,https://bellekens.com/product/bellekens-enterprise-architect-toolpack/,111,111,,58143,2011-02-14T04:11:17Z,2026-03-05T12:30:35Z,2026-03-05T12:24:25Z,,51,,,,,,,2026-03-05T12:30:35Z,,true,false,false,,,,
1027547900,RetroC64/RetroC64,false,,,,2,C#,main,BSD-2-Clause,https://retroc64.github.io,93,93,,2131,2025-07-28T07:13:47Z,2025-11-16T08:38:59Z,2026-03-02T20:49:02Z,,3,,,,,,,2025-11-16T08:38:59Z,,false,false,false,,,,6502;6502-assembly;6510-assembly;c64;debugger;dotnet
1361625,GeertBellekens/Enterprise-Architect-Add-in-Framework,false,,,,47,C#,master,BSD-2-Clause,http://geertbellekens.github.com/Enterprise-Architect-Add-in-Framework/,82,82,,9336,2011-02-13T12:37:29Z,2026-03-05T12:12:32Z,2026-03-05T12:12:37Z,,6,,,,,,,2026-03-05T12:12:32Z,,true,false,false,,,,
312332068,xoofx/Broslyn,false,,,,2,C#,master,BSD-2-Clause,,77,77,,139,2020-11-12T16:23:16Z,2026-01-13T21:25:28Z,2026-01-13T21:18:00Z,,2,,,,,,,2026-01-13T21:25:28Z,,false,false,false,,,,dotnet;roslyn
84001534,adospace/litedbpad,false,,,,19,C#,master,BSD-2-Clause,,67,67,,9439,2017-03-05T20:55:05Z,2025-12-29T16:31:44Z,2026-02-28T18:12:01Z,,2,,,,,,,2025-12-29T16:31:44Z,,true,false,false,,,,
200313688,yanorei32/VRChatRejoinTool,false,,,,7,C#,master,BSD-2-Clause,,64,64,,435,2019-08-03T00:34:26Z,2026-03-15T01:36:27Z,2026-02-17T07:45:20Z,,5,,,,,,,2026-03-15T01:36:27Z,,true,false,false,,,,csharp;dotnet;makefile;vrchat
96204524,TrimbleSolutionsCorporation/TSOpenAPISelfLearningExercises,false,,,,39,C#,master,BSD-2-Clause,,54,54,,133,2017-07-04T10:08:17Z,2026-03-11T12:35:19Z,2026-03-11T12:35:24Z,,0,,,,,,,2026-03-11T12:35:19Z,,true,false,false,,,,
833310457,XenoAtom/XenoAtom.Logging,false,,,,1,C#,main,BSD-2-Clause,https://xenoatom.github.io/logging,50,50,,4798,2024-07-24T19:22:27Z,2026-03-01T15:10:19Z,2026-03-13T12:40:37Z,,0,,,,,,,2026-03-01T15:10:19Z,,false,false,false,,,,logging;terminal;terminal-ui
529320880,Spec-ify/specify,false,,,,6,C#,main,BSD-2-Clause,,50,50,,40670,2022-08-26T15:58:27Z,2026-03-02T15:37:58Z,2026-03-10T06:03:37Z,,17,,,,,,,2026-03-02T15:37:58Z,,true,false,false,,,,
1155174165,SvenGDK/UFS2Tool,false,,,,7,C#,main,BSD-2-Clause,,45,45,,590,2026-02-11T07:54:55Z,2026-02-15T17:02:16Z,2026-03-12T20:52:40Z,,1,,,,,,,2026-02-15T17:02:16Z,,false,false,false,,,,
3171450,ramonsmits/Base64Encoder,false,,,,9,C#,master,BSD-2-Clause,,44,44,,1309,2012-01-13T14:43:02Z,2026-02-15T18:07:56Z,2026-02-15T18:08:00Z,,2,,,,,,,2026-02-15T18:07:56Z,,true,false,false,,,,
1181783207,SvenGDK/RetroMultiTools,false,,,,0,C#,main,BSD-2-Clause,,43,43,,1132,2026-03-14T16:09:26Z,2026-03-14T16:44:10Z,2026-03-15T01:17:48Z,,1,,,,,,,2026-03-14T16:44:10Z,,false,false,false,,,,
824004485,XenoAtom/XenoAtom.Allocators,false,,,,2,C#,main,BSD-2-Clause,,43,43,,572,2024-07-04T07:15:19Z,2026-02-23T06:34:20Z,2026-02-23T06:32:26Z,,1,,,,,,,2026-02-23T06:34:20Z,,false,false,false,,,,allocator;dotnet;tlsf
790358530,ixnas/altcha-dotnet,false,,,,8,C#,main,BSD-2-Clause,,40,40,,120,2024-04-22T18:26:51Z,2025-12-29T10:56:37Z,2026-02-21T23:14:52Z,,0,,,,,,,2025-12-29T10:56:37Z,,false,false,false,,,,altcha;anti-spam;asp-net;asp-net-core;captcha;csharp;dotnet;dotnet-core;dotnet-framework;dotnet-standard;dotnet-standard2;library;nuget;nuget-package;spam;web
75678638,open-dis/open-dis-csharp,false,,,,24,C#,master,BSD-2-Clause,,40,40,,13803,2016-12-06T00:28:02Z,2026-01-22T04:29:57Z,2026-01-25T06:56:49Z,,8,,,,,,,2026-01-22T04:29:57Z,,false,false,false,,,,csharp;dis
1126812737,XenoAtom/XenoAtom.Terminal,false,,,,1,C#,main,BSD-2-Clause,https://xenoatom.github.io/terminal/docs/terminal/,35,35,,853,2026-01-02T16:13:13Z,2026-03-06T22:04:31Z,2026-03-08T08:47:23Z,,0,,,,,,,2026-03-06T22:04:31Z,,false,false,false,,,,dotnet;terminal;terminal-ui
937672591,PlayTazUO/TazUO,false,,,,47,C#,main,BSD-2-Clause,https://TazUO.org,32,32,,218231,2025-02-23T16:28:28Z,2026-03-13T06:09:33Z,2026-03-03T19:33:32Z,,7,,,,,,,2026-03-13T06:09:33Z,,true,false,false,,,,
1125284287,XenoAtom/XenoAtom.Ansi,false,,,,1,C#,main,BSD-2-Clause,https://xenoatom.github.io/terminal/docs/ansi/,30,30,,955,2025-12-30T13:02:43Z,2026-02-14T13:41:01Z,2026-02-25T23:52:32Z,,0,,,,,,,2026-02-14T13:41:01Z,,false,false,false,,,,ansi;console;ecma-48;iso-6429;terminal;vt100
28537386,y-iihoshi/ThScoreFileConverter,false,,,,3,C#,main,BSD-2-Clause,,28,28,,14757,2014-12-27T13:33:27Z,2026-02-27T14:22:28Z,2026-01-10T18:00:47Z,,18,,,,,,,2026-02-27T14:22:28Z,,false,false,false,,,,touhou
199327699,ronnieholm/Ray-tracing-in-one-weekend-CSharp,false,,,,3,C#,master,BSD-2-Clause,,27,27,,1454,2019-07-28T19:17:52Z,2025-11-12T11:06:42Z,2026-03-05T23:00:54Z,,0,,,,,,,2025-11-12T11:06:42Z,,true,false,false,,,,
139882063,Synergex/HarmonyCore,false,,,,14,C#,master,BSD-2-Clause,,26,26,,9118,2018-07-05T17:41:20Z,2025-11-11T20:29:22Z,2025-11-11T18:58:34Z,,83,,,,,,,2025-11-11T20:29:22Z,,true,false,false,,,,asp-net-core;dotnetcore;entity-framework;odata;synergy;webapi-2
