file,dataset,label,count,pct_docs
2026-04-19_CY_Final_Labels_Both_Python.json,CY 2026-04-19 Both Python,commands,11,39.29
2026-04-19_CY_Final_Labels_Both_Python.json,CY 2026-04-19 Both Python,instructive,20,71.43
2026-04-19_CY_Final_Labels_Both_Python.json,CY 2026-04-19 Both Python,descriptive,16,57.14
2026-04-19_CY_Final_Labels_Both_Python.json,CY 2026-04-19 Both Python,reference,15,53.57
2026-04-19_CY_Final_Labels_Both_Python.json,CY 2026-04-19 Both Python,positive-examples,7,25.0
2026-04-19_CY_Final_Labels_Both_Python.json,CY 2026-04-19 Both Python,negative-examples,2,7.14
2026-04-19_MV_Final_Labels_Both_Python.json,MV 2026-04-19 Both Python,commands,14,48.28
2026-04-19_MV_Final_Labels_Both_Python.json,MV 2026-04-19 Both Python,instructive,15,51.72
2026-04-19_MV_Final_Labels_Both_Python.json,MV 2026-04-19 Both Python,descriptive,21,72.41
2026-04-19_MV_Final_Labels_Both_Python.json,MV 2026-04-19 Both Python,reference,14,48.28
2026-04-19_MV_Final_Labels_Both_Python.json,MV 2026-04-19 Both Python,positive-examples,3,10.34
2026-04-19_MV_Final_Labels_Both_Python.json,MV 2026-04-19 Both Python,negative-examples,7,24.14
