project_size_tier,total,found,prevalence_pct
<1 MB,54137,523,0.9660675693148864
1-<10 MB,52218,968,1.8537669003025776
10-<100 MB,34155,881,2.579417362026058
100+ MB,11138,434,3.896570299874304
