term,tfidf_sum
best practices,175.7948445302432
generator generate,74.74975262819164
error handling,57.01347472323887
real time,53.2560113274784
multi agent,50.24844213969146
performance optimization,48.19733023888926
ci cd,48.10415317399787
users want,46.13457906361275
review review,41.876018716412354
mcp server,41.49396367882774
end end,40.00557566352039
react components,39.72237082847788
high quality,39.423231101077064
ai agents,39.390648390138224
pull request,38.65921899516905
pr review,37.75234780336359
state management,35.8914748393975
root cause,35.75312840771644
driven development,34.089465074377834
mcp tools,33.630306322966625
unit tests,33.56908371624992
ui components,33.32717221982234
game development,32.76996539609369
cross platform,32.53168832721481
update existing,32.398705524200736
react js,32.249316284204646
github actions,32.06690255725259
github issues,31.467939386739687
development principles,31.41534784535053
pull requests,31.324823008888767
test coverage,30.34689532032235
browser automation,30.2543477422017
guide effective,28.940497578631053
specialized knowledge,28.91144403668
effective skills,28.558871567202797
knowledge base,28.520276158883778
creator guide,28.514380542690894
tool integrations,28.32566530589659
knowledge workflows,28.100417341743906
workflows tool,28.100417341743906
capabilities specialized,28.091555086810644
integration tests,28.074483803178303
coding standards,27.875300434060918
skills users,27.80021579350528
existing extends,27.670156935813445
agent skills,27.270526804249105
multi step,27.207138801796045
mcp servers,26.954622651256333
triggers include,26.898365519743468
want update,26.893969144173123
writing reviewing,26.710696790965955
openspec change,26.615036806773887
review ui,26.515063386551724
github issue,26.26382932948302
analyzer analyze,26.21286905635279
step step,26.14922059744584
ai powered,26.033918105045913
cli commands,25.456926776112837
builder build,24.740523522797318
social media,24.233777814075967
implementation plan,24.197785508322234
testing patterns,24.140517192301846
agent assistant,24.111961356257908
ui ux,24.07968379084794
search search,23.99538607086212
web pages,23.90539707734925
decision making,23.881197753501368
implementation plans,23.793860226493926
dot ai,23.709184596227313
production grade,23.43365796030297
react native,23.373084967146685
archive change,23.344883705078214
api key,23.33644309952343
claude capabilities,23.260139012203897
acceptance criteria,23.18170513099706
natural language,23.025453615034888
agents md,22.928761559646244
app store,22.925598304254425
claude needs,22.84049834179655
ai agent,22.736526813638747
node js,22.38125673972419
maintenance tasks,22.289908502972324
composition patterns,22.062665786613692
writing tests,21.78865233278535
extends claude,21.714579018125676
rest api,21.500726575889136
github pr,21.326590113736003
md files,21.31557548295504
github release,21.122975670586587
tailwind css,21.095973673901824
review pr,21.061111478378784
asked review,20.791263111139283
test failures,20.789582638779994
implementing features,20.729715181284774
unreal engine,20.57093099359101
e2e tests,20.442100482402317
test driven,20.432709768172952
ring dev,20.31271625688217
patterns including,20.202838496039167
release notes,20.178036110483546
anti patterns,20.02486534374284
shadcn ui,19.722314308532322
production ready,19.57453294059703
supply chain,19.446786612489017
current branch,19.360317534888274
architecture patterns,19.196061701608354
reviewing refactoring,19.163091532126412
claude skills,19.157045665790086
tasks markuplint,19.03832193672723
distinctive production,18.975717369598495
web applications,18.92250914642308
risk assessment,18.907623272442972
implementation complete,18.876038253557585
landing pages,18.848815699058978
model context,18.72204887892015
breaking changes,18.704452328490714
knowledge graph,18.63757528331736
performance patterns,18.620580651019015
architecture decisions,18.614062402315863
style guide,18.610719686224844
review comments,18.374313708689673
wants add,18.30293222510634
validator validate,18.282893867697407
asks build,18.229802448281287
needs work,18.212471227430026
web components,18.15591058067171
build test,17.985238601728753
tasks involving,17.979540011301914
review reviews,17.95192021914431
development workflow,17.941884070917336
web search,17.932786704229105
commit message,17.880760088633533
quality gates,17.84867699165464
claude md,17.593547034184276
systematic debugging,17.55538031498427
git commit,17.376101218529982
react best,17.35085076613905
unit testing,17.347769742485568
spring boot,17.334508493440367
js performance,17.32031753270055
version bump,17.259312147418
triggers tasks,17.214539743787338
generate comprehensive,17.069884540948824
test test,17.051424556095327
security audit,17.042330931224825
expert guidance,17.020893336501
persistent memory,16.99320446766099
patterns triggers,16.993031421277166
creation editing,16.99126729043525
optimization guidelines,16.908443454859636
run tests,16.900686226306476
semantic search,16.888790397081863
context protocol,16.865277463446887
accessibility audit,16.749603539362255
text speech,16.616126128435575
home assistant,16.580370529304428
high performance,16.54798813082191
security review,16.544768147371624
generates creative,16.4868442869859
deep research,16.481677842469765
dependency injection,16.42107241494869
security best,16.38451466305057
review changes,16.284058052922056
components pages,16.176815624380932
users ask,16.063623266315126
commit messages,16.045557658528086
provides comprehensive,16.029034075044258
e2e testing,16.01530358021586
change archive,15.914858037766445
git worktree,15.905084331412102
integration patterns,15.88901659572009
html css,15.774686395030765
frontend interfaces,15.77365186155436
frontend distinctive,15.746305487884673
git worktrees,15.70544054977694
performance improvements,15.702813011172886
generic ai,15.673585782813351
manager manage,15.640902396379065
deep integration,15.635432919811926
bundle optimization,15.612614752726031
web ui,15.605442600140057
grade frontend,15.596763426835453
github pull,15.594314588859584
components js,15.592398326074498
command line,15.573659803602203
ensure optimal,15.461837259448838
smart contract,15.407436351757502
reverse engineering,15.360817915137762
optimization performance,15.326938095481806
tech stack,15.32410969644506
build web,15.212123172126173
health check,15.178766182589104
change artifact,15.11477216675665
vercel react,15.023082709338741
audit review,15.003290747204051
optimal performance,14.980514961744406
openakita skills,14.96244824225105
security testing,14.885418494821792
vercel engineering,14.88470137949476
interfaces high,14.863161780291994
