rank,scripts_file_count,repo,mainLanguage,stars,forks,commits,contributors
625,4,rawwerks/VibeCAD,Python,17,2,25.0,1.0
626,4,gadievron/raptor,Python,1481,188,221.0,14.0
627,4,Royal-lobster/code-explainer,TypeScript,64,6,157.0,1.0
628,4,akiojin/unity-cli,C#,21,1,250.0,4.0
629,4,citywill/pocket-stack,TypeScript,47,9,172.0,1.0
630,4,sopaco/deepwiki-rs,Rust,805,100,266.0,12.0
631,4,sorafujitani/rfmt,Rust,58,1,265.0,2.0
632,4,DaveSkender/Stock.Indicators,C#,1184,266,1274.0,20.0
633,4,srtab/daiv,Python,17,2,1123.0,12.0
634,4,DataDog/lading,Rust,94,14,1481.0,28.0
635,4,vinayakkulkarni/v-offline,TypeScript,378,29,2398.0,7.0
636,4,datadog-labs/pup,Rust,463,36,560.0,35.0
637,4,swaponline/MultiCurrencyWallet,TypeScript,543,486,12994.0,84.0
638,4,tobihagemann/turbo,Python,22,1,60.0,1.0
639,3,davidabeyer/formaltask,Python,13,1,25.0,1.0
640,3,pacaplan/agent-gauntlet,TypeScript,19,1,730.0,2.0
641,3,picsoritdidnthappen/poidh-app,TypeScript,25,45,1905.0,24.0
642,3,DomVinyard/NotMCP,Python,10,1,17.0,1.0
643,3,jkudish/librarium,TypeScript,112,5,55.0,3.0
644,3,sosathegitter/WeChat-tweets-counterattacker,Python,86,1,9.0,2.0
645,3,joyehuang/minimind-notes,Python,67,8,166.0,3.0
646,3,existential-birds/beagle,Python,38,5,83.0,2.0
647,3,sequenzia/agent-alchemy,Python,13,1,272.0,1.0
648,3,zstmfhy/zlibrary-to-notebooklm,Python,1438,167,4.0,1.0
649,3,gtmagents/gtm-agents,Python,115,17,18.0,2.0
650,3,hua-bang/pulse-agent,TypeScript,18,0,459.0,2.0
651,3,igorls/context-builder,Rust,14,1,73.0,1.0
652,3,fjrevoredo/mini-diarium,TypeScript,228,12,48.0,3.0
653,3,AndyShaman/whisk-proxy,JavaScript,11,7,4.0,1.0
654,3,microsoft/waza,Go,14,8,606.0,10.0
655,2,SudoMaker/rEFui,JavaScript,83,2,543.0,1.0
656,2,meridianlabs-ai/inspect_swe,Python,14,16,262.0,12.0
657,2,getstackit/stackit,Go,17,0,1472.0,2.0
658,2,echoVic/blade-code,TypeScript,103,16,447.0,4.0
659,2,go-go-golems/geppetto,Go,83,9,2528.0,4.0
660,2,artsy/positron,TypeScript,85,39,5709.0,79.0
661,2,Mq-b/Lab2QRCode,C++,15,10,138.0,8.0
662,2,yilongmd/zafrida-ui,Java,68,9,136.0,2.0
663,2,go-kratos/blades,Go,736,83,153.0,17.0
664,2,OpenHands/software-agent-sdk,Python,578,173,1243.0,65.0
665,2,zai-org/GLM-Image,Python,815,55,51.0,2.0
666,2,Open-Quant/openquant,Rust,29,3,76.0,1.0
667,2,automagik-dev/genie,TypeScript,256,35,2103.0,17.0
668,2,Array-Ventures/coworker,TypeScript,14,7,105.0,3.0
669,2,NomaDamas/AutoRAG-Research,Python,84,16,120.0,2.0
670,2,fabio-rovai/open-ontologies,Rust,21,3,163.0,1.0
671,2,atlassian/atlassian-mcp-server,JavaScript,437,44,69.0,12.0
672,2,MarketSquare/robotframework-browser,Python,633,140,6015.0,64.0
673,2,HKUSTDial/DeepEar,Python,64,8,68.0,1.0
674,2,mem0ai/mem0,Python,49836,5568,1923.0,260.0
675,2,GoogleCloudPlatform/gke-mcp,Go,130,53,137.0,21.0
