rank,scripts_file_count,repo,mainLanguage,stars,forks,commits,contributors
928,0,SamMorrowDrums/remarkable-mcp,Python,75,14,158.0,3.0
929,0,Sangkwun/sandy,Python,13,1,44.0,1.0
930,0,Sankhya-AI/Dhee,Python,16,1,69.0,2.0
931,0,SawyerHood/middleman,TypeScript,128,14,523.0,2.0
932,0,Scofieldfree/excalidraw-mcp,TypeScript,81,5,45.0,1.0
933,0,ScottRBK/forgetful,Python,194,16,184.0,2.0
934,0,Scottcjn/rustchain-mcp,Python,12,4,14.0,4.0
935,0,ScrapeGraphAI/just-scrape,TypeScript,10,0,58.0,2.0
936,0,Screenly/Playground,TypeScript,28,12,2086.0,14.0
937,0,Shadylukin/Neumann,Rust,73,6,576.0,3.0
938,0,ShapeCrawler/ShapeCrawler,C#,411,77,3686.0,28.0
939,0,ShieldBattery/ShieldBattery,TypeScript,183,30,4738.0,23.0
940,0,ShipSecAI/studio,TypeScript,235,27,1347.0,10.0
941,0,Shopify/flash-list,TypeScript,6980,358,935.0,63.0
942,0,Shopify/hydrogen,TypeScript,1907,386,2591.0,122.0
943,0,Shopify/shopify-app-js,TypeScript,506,210,6575.0,129.0
944,0,SinShine5/aden-hive,Python,34,4,251.0,33.0
945,0,Sitecore/content-sdk,TypeScript,32,27,1117.0,19.0
946,0,Skyscanner/backpack,TypeScript,535,206,8591.0,243.0
947,0,Snowfork/snowbridge,TypeScript,309,149,1374.0,46.0
948,0,SoFriendly/orca,JavaScript,50,3,434.0,5.0
949,0,SocialGouv/egapro,TypeScript,11,11,2582.0,35.0
950,0,SocketDev/socket-sdk-js,TypeScript,45,15,1458.0,16.0
951,0,SolidLao/GenDB,C++,36,2,62.0,1.0
952,0,Soneso/stellar-php-sdk,PHP,40,19,443.0,7.0
953,0,SpecterOps/Nemesis,Python,940,98,1149.0,14.0
954,0,SprocketLab/slop-code-bench,Python,19,2,56.0,1.0
955,0,Srajangpt1/ai_security_crew,Python,36,12,35.0,3.0
956,0,StarlightDamian/seagull,Python,14,4,133.0,1.0
957,0,StepfenShawn/kota,Rust,86,8,48.0,3.0
958,0,SujalXplores/v0.diy,TypeScript,131,72,123.0,4.0
959,0,SukramJ/aiohomematic,Python,163,25,1932.0,20.0
960,0,SumoLogic/sumologic-documentation,TypeScript,40,234,5837.0,198.0
961,0,Sunpeak-AI/sunpeak,TypeScript,156,6,466.0,3.0
962,0,Sunshow/droidgear,TypeScript,62,6,313.0,3.0
963,0,Sunwood-ai-labs/SourceSage,Python,72,1,558.0,4.0
964,0,Suvitruf/gamedev-links,Python,24,0,33.0,1.0
965,0,Svtoo/atk,Python,11,2,140.0,1.0
966,0,SwitchbackTech/compass,TypeScript,214,52,2191.0,24.0
967,0,Synerise/synerise-design,TypeScript,95,17,10421.0,57.0
968,0,THUDM/slime,Python,4758,633,1335.0,121.0
969,0,TabbyML/pochi,TypeScript,90,46,3975.0,21.0
970,0,Tahanima/playwright-java-test-automation-architecture,Java,106,92,91.0,3.0
971,0,TalAter/annyang,TypeScript,6666,1044,807.0,38.0
972,0,TaloDev/backend,TypeScript,86,9,2374.0,6.0
973,0,TanStack/cli,TypeScript,1211,152,926.0,89.0
974,0,TanStack/db,TypeScript,3650,187,828.0,59.0
975,0,TanStack/intent,TypeScript,204,5,148.0,7.0
976,0,TanStack/router,TypeScript,13858,1592,5992.0,695.0
977,0,Tencent/tdesign-react,TypeScript,938,358,5238.0,241.0
978,0,TencentBlueKing/bk-weweb,TypeScript,10,3,45.0,2.0
979,0,TencentCloudBase/CloudBase-MCP,TypeScript,973,121,930.0,11.0
980,0,TentacleOpera/switchboard,TypeScript,103,6,12.0,1.0
981,0,Teslemetry/hass-teslemetry,Python,17,8,104750.0,5158.0
982,0,ThalesGroup/fred,Python,42,15,952.0,22.0
983,0,Thank-you-Linus/Linus-Dashboard,TypeScript,180,5,449.0,3.0
984,0,The-Vibe-Company/companion,TypeScript,2192,275,434.0,16.0
985,0,TheCraigHewitt/seomachine,Python,2702,433,15.0,1.0
986,0,TheOrcDev/8bitcn-ui,TypeScript,1725,105,545.0,37.0
987,0,TheSoftwareHouse/copilot-collections,TypeScript,151,4,237.0,16.0
988,0,ThindalTV/BlazorBlocks,C#,13,1,77.0,2.0
989,0,Thinkmill/sydjs-keystatic,TypeScript,12,6,188.0,12.0
990,0,ThirdKeyAI/Symbiont,Rust,34,7,180.0,4.0
991,0,Thislu13/NewsPilot,Python,39,3,19.0,3.0
992,0,TiendaNube/nimbus-design-system,TypeScript,27,5,671.0,20.0
993,0,Tiendil/donna,Python,11,2,49.0,1.0
994,0,TippingGame/F8Framework,C#,840,130,421.0,4.0
995,0,TippingGame/F8FrameworkDemo,C#,38,10,155.0,1.0
996,0,TomerFi/switcher_webapi,Python,13,10,1612.0,16.0
997,0,Topdu/OpenOCR,Python,1285,111,303.0,19.0
998,0,Trac-Systems/intercom,JavaScript,15,292,91.0,1.0
999,0,TrainProtocol/app,JavaScript,24,1,433.0,6.0
1000,0,TryGhost/Ghost,JavaScript,52041,11382,44400.0,807.0
