month,found,total,prevalence_pct
2013-07,1.0,206,0.4854368932038835
2013-08,2.0,184,1.0869565217391304
2013-09,2.0,202,0.9900990099009901
2013-10,1.0,188,0.5319148936170213
2013-11,2.0,211,0.9478672985781991
2013-12,0.0,195,0.0
2014-01,5.0,246,2.032520325203252
2014-02,2.0,234,0.8547008547008547
2014-03,1.0,232,0.43103448275862066
2014-04,3.0,232,1.293103448275862
2014-05,0.0,251,0.0
2014-06,1.0,225,0.4444444444444444
2014-07,1.0,248,0.4032258064516129
2014-08,4.0,266,1.5037593984962405
2014-09,3.0,284,1.056338028169014
2014-10,1.0,260,0.38461538461538464
2014-11,1.0,271,0.36900369003690037
2014-12,0.0,345,0.0
2015-01,3.0,334,0.8982035928143712
2015-02,3.0,289,1.0380622837370241
2015-03,2.0,434,0.4608294930875576
2015-04,5.0,373,1.3404825737265416
2015-05,1.0,364,0.27472527472527475
2015-06,3.0,371,0.8086253369272237
2015-07,3.0,401,0.7481296758104738
2015-08,3.0,368,0.8152173913043478
2015-09,7.0,404,1.7326732673267327
2015-10,3.0,388,0.7731958762886598
2015-11,5.0,414,1.2077294685990339
2015-12,1.0,397,0.2518891687657431
2016-01,7.0,416,1.6826923076923077
2016-02,5.0,450,1.1111111111111112
2016-03,7.0,492,1.4227642276422765
2016-04,1.0,449,0.22271714922049
2016-05,2.0,501,0.3992015968063872
2016-06,4.0,440,0.9090909090909091
2016-07,7.0,433,1.6166281755196306
2016-08,3.0,503,0.5964214711729622
2016-09,5.0,451,1.1086474501108647
2016-10,1.0,491,0.20366598778004075
2016-11,1.0,495,0.20202020202020202
2016-12,5.0,478,1.0460251046025104
2017-01,2.0,510,0.39215686274509803
2017-02,4.0,553,0.7233273056057866
2017-03,5.0,614,0.8143322475570033
2017-04,1.0,541,0.18484288354898337
2017-05,5.0,591,0.8460236886632826
2017-06,8.0,576,1.3888888888888888
2017-07,5.0,561,0.8912655971479501
2017-08,14.0,600,2.3333333333333335
2017-09,7.0,615,1.1382113821138211
2017-10,2.0,656,0.3048780487804878
2017-11,4.0,643,0.6220839813374806
2017-12,1.0,583,0.17152658662092624
2018-01,5.0,675,0.7407407407407407
2018-02,4.0,622,0.6430868167202572
2018-03,6.0,760,0.7894736842105263
2018-04,5.0,661,0.75642965204236
2018-05,10.0,684,1.4619883040935673
2018-06,9.0,658,1.3677811550151975
2018-07,8.0,693,1.1544011544011543
2018-08,8.0,756,1.0582010582010581
2018-09,5.0,696,0.7183908045977011
2018-10,9.0,748,1.2032085561497325
2018-11,10.0,781,1.2804097311139564
2018-12,14.0,668,2.095808383233533
2019-01,8.0,868,0.9216589861751152
2019-02,5.0,768,0.6510416666666666
2019-03,8.0,890,0.898876404494382
2019-04,10.0,843,1.1862396204033214
2019-05,11.0,847,1.2987012987012987
2019-06,6.0,780,0.7692307692307693
2019-07,5.0,816,0.6127450980392157
2019-08,9.0,937,0.96051227321238
2019-09,3.0,856,0.35046728971962615
2019-10,9.0,915,0.9836065573770492
2019-11,11.0,863,1.2746234067207416
2019-12,6.0,904,0.6637168141592921
2020-01,14.0,983,1.4242115971515767
2020-02,9.0,927,0.970873786407767
2020-03,13.0,1126,1.1545293072824157
2020-04,7.0,1261,0.5551149881046789
2020-05,13.0,1228,1.0586319218241043
2020-06,11.0,1084,1.014760147601476
2020-07,9.0,1060,0.8490566037735849
2020-08,10.0,1045,0.9569377990430622
2020-09,16.0,1016,1.5748031496062993
2020-10,15.0,1026,1.4619883040935673
2020-11,12.0,984,1.2195121951219512
2020-12,9.0,1005,0.8955223880597015
2021-01,10.0,1077,0.9285051067780873
2021-02,10.0,1042,0.9596928982725528
2021-03,6.0,1169,0.5132591958939264
2021-04,15.0,1161,1.2919896640826873
2021-05,5.0,1041,0.4803073967339097
2021-06,11.0,1010,1.0891089108910892
2021-07,14.0,950,1.4736842105263157
2021-08,13.0,1062,1.2241054613935969
2021-09,14.0,1016,1.3779527559055118
2021-10,12.0,1056,1.1363636363636365
2021-11,15.0,1057,1.4191106906338695
2021-12,10.0,1054,0.9487666034155597
2022-01,17.0,1160,1.4655172413793103
2022-02,11.0,1108,0.9927797833935018
2022-03,14.0,1164,1.2027491408934707
2022-04,12.0,1133,1.059135039717564
2022-05,13.0,1219,1.066447908121411
2022-06,14.0,1178,1.1884550084889642
2022-07,18.0,1198,1.5025041736227045
2022-08,21.0,1157,1.815038893690579
2022-09,14.0,1181,1.1854360711261642
2022-10,9.0,1240,0.7258064516129032
2022-11,14.0,1188,1.1784511784511784
2022-12,7.0,1069,0.6548175865294668
2023-01,15.0,1261,1.189532117367169
2023-02,14.0,1228,1.1400651465798046
2023-03,11.0,1509,0.7289595758780649
2023-04,15.0,1358,1.1045655375552283
2023-05,20.0,1429,1.3995801259622114
2023-06,17.0,1275,1.3333333333333333
2023-07,20.0,1299,1.539645881447267
2023-08,31.0,1422,2.180028129395218
2023-09,20.0,1295,1.5444015444015444
2023-10,17.0,1369,1.241782322863404
2023-11,22.0,1357,1.621223286661754
2023-12,18.0,1343,1.340282948622487
2024-01,20.0,1489,1.3431833445265278
2024-02,26.0,1466,1.7735334242837653
2024-03,32.0,1537,2.0819778789850356
2024-04,12.0,1453,0.8258774948382657
2024-05,25.0,1556,1.6066838046272494
2024-06,25.0,1441,1.7349063150589867
2024-07,31.0,1565,1.9808306709265175
2024-08,28.0,1489,1.880456682337139
2024-09,26.0,1550,1.6774193548387097
2024-10,29.0,1658,1.7490952955367913
2024-11,37.0,1598,2.3153942428035044
2024-12,36.0,1666,2.1608643457382954
2025-01,40.0,1786,2.2396416573348263
2025-02,41.0,1782,2.3007856341189674
2025-03,74.0,2560,2.890625
2025-04,57.0,2222,2.5652565256525652
2025-05,52.0,2319,2.2423458387235877
2025-06,97.0,2315,4.190064794816415
2025-07,85.0,2397,3.5460992907801416
2025-08,79.0,2296,3.440766550522648
2025-09,72.0,2330,3.0901287553648067
2025-10,126.0,3588,3.511705685618729
2025-11,132.0,3479,3.7941937338315608
2025-12,221.0,3777,5.851204659782897
2026-01,377.0,3944,9.558823529411764
2026-02,518.0,3732,13.879957127545552
2026-03,137.0,1113,12.309074573225516
