rank,skill_count,repo,mainLanguage,stars,forks,commits,contributors
31,1,Jovancoding/Network-AI,TypeScript,20,7,224.0,5.0
32,1,JustasMonkev/mcp-accessibility-scanner,TypeScript,43,11,161.0,4.0
33,1,Kevin7Qi/codex-collab,TypeScript,62,4,60.0,1.0
34,1,KrauseFx/beeper-cli,Go,25,0,5.0,3.0
35,1,LottieFiles/dotlottie-web,TypeScript,467,29,424.0,22.0
36,1,NSHipster/sosumi.ai,TypeScript,348,18,39.0,3.0
37,1,Narcooo/inkos,TypeScript,528,109,104.0,1.0
38,1,Niceck/hhxg-top-hhxg-python,Python,17,3,27.0,1.0
39,1,NikitaDmitryuk/telegram-media-server,Go,16,3,339.0,2.0
40,1,NousResearch/pokemon-agent,Python,25,4,6.0,1.0
41,1,Nova-Hunting/nova-tracer,Python,84,8,27.0,4.0
42,1,OrangeViolin/content-pipeline,TypeScript,40,7,2.0,1.0
43,1,Princeton-AI2-Lab/Avenir-Web,Python,18,0,22.0,2.0
44,1,ProximoSrl/Jarvis.Framework,C#,16,9,1211.0,7.0
45,1,Quintui/depresearch,TypeScript,21,1,12.0,1.0
46,1,Royal-lobster/code-explainer,TypeScript,64,6,157.0,1.0
47,1,SGFGOV/medusa-mcp,TypeScript,51,18,28.0,2.0
48,1,SamMorrowDrums/remarkable-mcp,Python,75,14,158.0,3.0
49,1,Scottcjn/rustchain-mcp,Python,12,4,14.0,4.0
50,1,Snowflake-Labs/polaris-local-forge,Python,16,3,69.0,2.0
51,1,Sunwood-ai-labs/SourceSage,Python,72,1,558.0,4.0
52,1,The-Universal-BRC-20-Extension/Simplicity,Python,11,4,8.0,2.0
53,1,ThirdKeyAI/SchemaPin,Python,13,6,104.0,2.0
54,1,ThirdKeyAI/Symbiont,Rust,34,7,180.0,4.0
55,1,Topdu/OpenOCR,Python,1285,111,303.0,19.0
56,1,Trac-Systems/intercom,JavaScript,15,292,91.0,1.0
57,1,TurixAI/TuriX-CUA,Python,1533,166,188.0,4.0
58,1,VapiAI/mcp-server,TypeScript,37,21,39.0,5.0
59,1,Wolfe-Jam/grok-faf-mcp,TypeScript,16,1,77.0,2.0
60,1,Yehonatan-Bar/ClaUI,TypeScript,14,1,207.0,1.0
61,1,Zhen-Bo/pragmatic-clean-code-reviewer,Python,101,8,4.0,1.0
62,1,ZhenHuangLab/collaborating-with-gemini-cli,Python,20,3,3.0,1.0
63,1,ZhuLinsen/daily_stock_analysis,Python,20078,20715,412.0,52.0
64,1,a-yeyang/AI-researcher,Python,92,9,9.0,1.0
65,1,aallan/vera,Python,40,2,434.0,3.0
66,1,abhi-arya1/wt,TypeScript,35,2,33.0,1.0
67,1,abracadabra50/uk-grocery-cli,TypeScript,11,3,36.0,4.0
68,1,adityamparikh/maven-to-gradle,Python,11,1,9.0,1.0
69,1,aloth/olcli,JavaScript,18,3,22.0,2.0
70,1,altlimit/restruct,Go,15,0,22.0,1.0
71,1,anjor/pltr-cli,Python,16,3,222.0,3.0
72,1,arjunkmrm/recall,Python,110,7,24.0,2.0
73,1,assafelovic/gpt-researcher,Python,25735,3421,2912.0,234.0
74,1,axiaoge2/Apple-Hig-Designer,JavaScript,97,5,41.0,1.0
75,1,axiomhq/gilfoyle,TypeScript,196,10,175.0,5.0
76,1,axtonliu/smart-illustrator,TypeScript,407,57,61.0,1.0
77,1,bendlikeabamboo/barangay,Python,17,5,105.0,1.0
78,1,better-auth/better-icons,TypeScript,593,28,28.0,5.0
79,1,blacktop/mcp-tts,Go,50,13,114.0,4.0
80,1,boshu2/gastown-operator,Go,18,1,309.0,11.0
81,1,bowenliang123/markdown-exporter,Python,190,49,605.0,6.0
82,1,brandonwise/humanizer,JavaScript,21,1,13.0,3.0
83,1,builderz-labs/mission-control,TypeScript,2523,426,235.0,20.0
84,1,buildoak/agent-mux,TypeScript,28,6,28.0,1.0
85,1,buluslan/ecommerce-competitor-analyzer,JavaScript,25,7,23.0,1.0
86,1,caol64/wenyan-cli,TypeScript,81,13,31.0,2.0
87,1,cascade-protocol/sati,TypeScript,16,1,165.0,1.0
88,1,cathrynlavery/repo-atlas,Python,19,2,3.0,1.0
89,1,code-xhyun/disunday,TypeScript,13,0,55.0,1.0
90,1,coinset-org/cli,Rust,16,2,56.0,3.0
91,1,continuedev/next-geo,TypeScript,12,0,8.0,1.0
92,1,corvuslatimer/horus,JavaScript,10,1,54.0,1.0
93,1,crazyguitar/cppcheatsheet,C++,259,49,794.0,7.0
94,1,crazyguitar/pysheeet,Python,8149,1222,1589.0,47.0
95,1,creatify-ai/ad-creative-evaluator,Python,19,0,3.0,1.0
96,1,creatify-ai/video-ad-reverse-engineer,Python,20,0,2.0,1.0
97,1,crosspoint-reader/crosspoint-reader,C,2637,387,598.0,102.0
98,1,cyberash-dev/tg-mtproto-cli,TypeScript,25,0,8.0,1.0
99,1,dannote/figma-use,TypeScript,495,32,310.0,1.0
100,1,danyuchn/fire-planner,Python,10,1,2.0,1.0
101,1,daya0576/beaverhabits,Python,1704,66,554.0,11.0
102,1,debridge-finance/debridge-mcp,TypeScript,29,2,32.0,3.0
103,1,definite-app/ultraplan,Python,24,0,7.0,1.0
104,1,dev-five-git/devup-ui,Rust,354,28,1990.0,17.0
105,1,dev-five-git/vespertide,Rust,18,0,501.0,4.0
106,1,dev-formata-io/stof,Rust,59,4,524.0,2.0
107,1,dgrr/tgcli,Rust,10,2,141.0,1.0
108,1,dirien/minectl,Go,179,9,667.0,10.0
109,1,dorkitude/linctl,Go,112,18,74.0,5.0
110,1,draco-agent/tech-news-digest,Python,36,8,201.0,2.0
111,1,droidrun/droidrun,Python,7945,805,999.0,30.0
112,1,drpedapati/raycast-script-creator,JavaScript,20,0,2.0,1.0
113,1,ds1sqe/type-bridge,Python,18,4,416.0,3.0
114,1,dwzhu-pku/PaperBanana,Python,5100,337,28.0,8.0
115,1,ecomfe/tempad-dev,TypeScript,448,34,662.0,10.0
116,1,erikvullings/slimdown-js,TypeScript,15,0,111.0,3.0
117,1,ethereum-optimism/actions,TypeScript,22,5,1266.0,8.0
118,1,fastapi/fastapi,Python,96206,8859,6922.0,891.0
119,1,finas/browser-cli,JavaScript,32,3,2.0,1.0
120,1,firestoned/bindy,Rust,19,2,98.0,2.0
121,1,fr33d3m0n/threat-modeling,Python,200,25,19.0,1.0
122,1,geminimir/stripemeter,TypeScript,22,6,197.0,3.0
123,1,goldk3y/mastra-system-check,JavaScript,10,0,8.0,1.0
124,1,guidupuy/screenwright,TypeScript,12,1,107.0,1.0
125,1,hackmdio/hackmd-cli,TypeScript,134,10,163.0,7.0
126,1,hah23255/adb-android-control,Python,79,8,8.0,1.0
127,1,heavy3-ai/code-audit,Python,41,14,16.0,1.0
128,1,heleninsights-dot/phd-deepread-workflow,Python,11,0,13.0,1.0
129,1,hokupod/sitepanda,Go,10,0,24.0,2.0
130,1,hydro13/tandem-browser,TypeScript,33,4,636.0,2.0
131,1,igorls/context-builder,Rust,14,1,73.0,1.0
132,1,imsatoshi/GeneTrader,Python,177,57,234.0,4.0
133,1,itsfabioroma/transcribee,TypeScript,175,17,18.0,2.0
134,1,iurysza/android-use,TypeScript,12,1,29.0,1.0
135,1,jackwener/bilibili-cli,Python,455,47,81.0,3.0
136,1,jackwener/discord-cli,Python,55,9,40.0,1.0
137,1,jackwener/tg-cli,Python,162,16,45.0,1.0
138,1,jackwener/twitter-cli,Python,1854,157,114.0,4.0
139,1,jackwener/xhs-cli,Python,362,34,57.0,1.0
140,1,jacob-bd/notebooklm-cli,Python,146,19,53.0,1.0
141,1,jamesbrooksco/karakeep-semantic-search,TypeScript,23,4,9.0,1.0
142,1,jamierpond/yapi,Go,109,2,414.0,2.0
143,1,jcfischer/supertag-cli,TypeScript,35,5,350.0,2.0
144,1,jkitchin/litdb,Python,74,9,330.0,4.0
145,1,jkudish/librarium,TypeScript,112,5,55.0,3.0
146,1,jmandel/request-my-ehi,TypeScript,10,0,99.0,2.0
147,1,joeseesun/anything-to-notebooklm,Python,539,71,7.0,1.0
148,1,joeseesun/qiaomu-mondo-poster-design,Python,460,42,7.0,1.0
149,1,joyehuang/minimind-notes,Python,67,8,166.0,3.0
150,1,justinabrahms/frm,Go,11,0,33.0,2.0
151,1,jzOcb/context-doctor,Python,103,3,3.0,1.0
152,1,kalibr-ai/kalibr-sdk-python,Python,24,2,80.0,3.0
153,1,kayac/ecspresso,Go,1059,103,1857.0,67.0
154,1,kerim/zotero-code-execution,Python,39,3,7.0,1.0
155,1,kfastov/tgcli,JavaScript,35,17,78.0,1.0
156,1,klever-io/mcp-klever-vm,TypeScript,30,3,42.0,2.0
157,1,kornia/bubbaloop,Rust,11,8,159.0,3.0
158,1,kortix-ai/lss,Python,11,2,32.0,2.0
159,1,kridaydave/File-Organizer-MCP,TypeScript,32,2,91.0,1.0
160,1,lchrennew/es-fetch-api,JavaScript,17,0,89.0,2.0
161,1,liyingsong99/AIBridge,C#,49,5,19.0,2.0
162,1,llama-farm/corral,TypeScript,13,1,36.0,2.0
163,1,lochie/web-haptics,TypeScript,2156,71,141.0,4.0
164,1,lucasygu/redbook,TypeScript,175,13,50.0,1.0
165,1,luispedro/jug,Python,460,62,1005.0,21.0
166,1,magicseek/nblm,Python,25,2,152.0,3.0
167,1,magpie-lang/magpie,Rust,48,3,62.0,2.0
168,1,mathiaschu/google-ads-analyzer,Python,35,11,3.0,1.0
169,1,mattzzz/rick-voice,Python,14,0,5.0,1.0
170,1,microsoft/DataFactory.MCP,C#,11,8,477.0,12.0
171,1,microsoft/azure-devops-rust-api,Rust,73,25,689.0,17.0
172,1,mitkox/megacode,Python,74,18,2.0,1.0
173,1,mitsuhiko/gh-issue-sync,Go,126,8,76.0,1.0
174,1,mj1618/swarm-cli,Go,12,2,297.0,2.0
175,1,neurodatascience/dFC,Python,31,8,469.0,5.0
176,1,nilenso/context-viewer,TypeScript,56,2,190.0,2.0
177,1,ninja7v/TopoptComec,Python,11,1,158.0,1.0
178,1,notoriouslab/doc-cleaner,Python,106,15,7.0,3.0
179,1,offgrid-ing/arp,Rust,52,6,66.0,2.0
180,1,openguardrails/moltguard,TypeScript,14,4,23.0,2.0
181,1,openkash/sap-odata-explorer,TypeScript,17,0,2.0,1.0
182,1,originsec/praxis,Rust,28,8,29.0,2.0
183,1,patrickfreyer/apple-mail-mcp,Python,47,18,50.0,3.0
184,1,peteromallet/desloppify,Python,2345,134,739.0,13.0
185,1,philschmid/mcp-cli,TypeScript,1000,103,30.0,2.0
186,1,picsoritdidnthappen/poidh-app,TypeScript,25,45,1905.0,24.0
187,1,ploi/ploi-php-sdk,PHP,77,27,208.0,19.0
188,1,quailyquaily/aqua,Go,244,14,55.0,1.0
189,1,qxkjsoft/ginfast,Go,87,27,118.0,3.0
190,1,raphaelsalaja/userinterface-wiki,TypeScript,319,20,250.0,2.0
191,1,redf0x1/camofox-mcp,TypeScript,34,4,61.0,1.0
192,1,remorses/critique,TypeScript,1086,29,413.0,8.0
193,1,ricardodantas/ratatui-themes,Rust,27,1,26.0,4.0
194,1,richkuo/go-trader,Python,58,18,179.0,5.0
195,1,robtaylor/excalidraw-diagrams,Python,20,3,37.0,1.0
196,1,robzolkos/web-recap,Go,25,3,3.0,2.0
197,1,rokoss21/swarm-iosm,Python,33,4,12.0,2.0
198,1,s87343472/backlink-pilot,JavaScript,54,9,7.0,1.0
199,1,sailscastshq/pellicule,JavaScript,65,4,68.0,1.0
200,1,saxenauts/syke,Python,13,1,226.0,1.0
201,1,second-state/qwen3_asr_rs,Rust,189,14,55.0,2.0
202,1,sem-technology/gtm-copilot,Python,19,1,20.0,2.0
203,1,seojoonkim/prompt-guard,Python,125,23,74.0,9.0
204,1,seolcoding/nonstop-agent,Python,11,2,16.0,1.0
205,1,shaniidev/bug-reaper,Python,23,4,7.0,1.0
206,1,sinzin91/search-sessions,Rust,15,0,22.0,4.0
207,1,sivulich/mqttasgi,Python,40,16,91.0,9.0
208,1,slice-so/erc8128,TypeScript,21,1,157.0,3.0
209,1,sodadata/messydata,Python,23,1,31.0,1.0
210,1,solana-foundation/connectorkit,TypeScript,57,12,117.0,4.0
211,1,sosathegitter/WeChat-tweets-counterattacker,Python,86,1,9.0,2.0
212,1,srod/node-minify,TypeScript,516,50,5116.0,37.0
213,1,strangeadvancedmarketing/Adam,Python,31,5,81.0,3.0
214,1,swaponline/MultiCurrencyWallet,TypeScript,543,486,12994.0,84.0
215,1,teng-lin/notebooklm-py,Python,5690,702,567.0,11.0
216,1,tf4fun/watchcow,Go,149,11,56.0,1.0
217,1,timf34/arxiv2md,Python,111,9,76.0,3.0
218,1,trsoliu/mini-wiki,Python,46,1,29.0,1.0
219,1,ubermenchh/anki-cli,Python,18,2,34.0,2.0
220,1,udaybandaru/code-archaeologist,Python,10,0,2.0,1.0
221,1,umami-software/react-zen,TypeScript,46,7,650.0,5.0
222,1,upstash/qstash-js,TypeScript,257,29,691.0,22.0
223,1,upstash/ratelimit-js,TypeScript,2022,47,328.0,26.0
224,1,upstash/redis-js,TypeScript,924,90,448.0,32.0
225,1,upstash/search-js,TypeScript,21,5,57.0,5.0
226,1,upstash/vector-js,TypeScript,70,12,309.0,14.0
227,1,upstash/workflow-js,TypeScript,148,23,201.0,12.0
228,1,veithly/climux,TypeScript,17,1,8.0,1.0
229,1,viames/pair,PHP,10,2,500.0,3.0
230,1,vibeforge1111/vibeship-spark-intelligence,Python,114,31,984.0,7.0
231,1,vinceglakas/receipt-pattern,TypeScript,19,0,4.0,1.0
232,1,vnxfsc/solana-bpf-reverse,Python,17,29,3.0,1.0
233,1,wavyrai/tmux-ide,JavaScript,122,13,2.0,1.0
234,1,webrpc/webrpc,Go,824,48,517.0,19.0
235,1,webzler/agentMemory,TypeScript,14,3,3.0,2.0
236,1,wevm/incur,TypeScript,357,9,87.0,7.0
237,1,wgzhao/Addax,Java,1405,331,1977.0,34.0
238,1,wingedpig/trellis,Go,12,1,40.0,1.0
239,1,wjgoarxiv/antigravity-swarm,Python,104,13,35.0,2.0
240,1,wjt0321/china-stock-analyst,Python,10,4,18.0,2.0
241,1,wxkingstar/SpecFusion,TypeScript,12,2,40.0,2.0
242,1,xAgent-AI/xagent,TypeScript,11,1,555.0,7.0
243,1,xdevplatform/xurl,Go,463,47,87.0,8.0
244,1,xeophon/beam,Python,16,0,5.0,1.0
245,1,xiaou61/Code-Nest,Java,786,21,155.0,1.0
246,1,yfe404/web-scraper,TypeScript,21,4,4.0,1.0
247,1,youware-labs/figma-pilot,TypeScript,78,9,29.0,1.0
248,1,ythx-101/antigravity-bridge,Python,55,11,7.0,1.0
249,1,ythx-101/ask-search,Python,199,18,8.0,3.0
250,1,zstmfhy/annas-to-notebooklm,Python,199,22,6.0,2.0
251,1,zstmfhy/zlibrary-to-notebooklm,Python,1438,167,4.0,1.0
252,2,0bmario/askman,Rust,13,0,20.0,1.0
253,2,0xPolygon/polygon-agent-cli,TypeScript,17,4,184.0,5.0
254,2,1Password/SCAM,Python,96,4,9.0,1.0
255,2,1amageek/swift-skeleton,C,14,0,14.0,1.0
256,2,3spky5u-oss/HandsOn,Python,28,0,11.0,1.0
257,2,403errors/repomind,TypeScript,218,34,152.0,4.0
258,2,4ier/notion-cli,Go,64,6,41.0,5.0
259,2,6529-Collections/6529seize-frontend,TypeScript,10,3,2015.0,12.0
260,2,6551Team/opennews-mcp,Python,671,116,10.0,3.0
261,2,6551Team/opentwitter-mcp,Python,385,89,8.0,2.0
262,2,708u/twig,Go,20,0,406.0,1.0
263,2,AI-Nate/Cut-AI,Python,20,4,2.0,1.0
264,2,AIDotNet/OpenDeepWiki,C#,2900,374,908.0,37.0
265,2,AMD-AGI/Magpie,Python,45,5,63.0,2.0
266,2,AMOS144/ZeroToken,Python,220,9,46.0,1.0
267,2,AdityaKodez/gridly,TypeScript,38,3,71.0,2.0
268,2,AdsPower/adspower-browser,TypeScript,48,8,25.0,3.0
269,2,AhmedElTabarani/hadith-checker-extension,JavaScript,66,6,88.0,3.0
270,2,Alan-512/AI-vision-studio,TypeScript,11,2,113.0,2.0
271,2,AlexsJones/llmfit,Rust,16665,947,351.0,36.0
272,2,Algiras/rusty-pageindex,Rust,11,1,41.0,1.0
273,2,AliyunContainerService/terway,Go,600,162,1825.0,51.0
274,2,AnySoftKeyboard/AnySoftKeyboard,Java,3252,905,8822.0,165.0
275,2,AppAndFlow/react-native-ease,TypeScript,330,1,38.0,2.0
276,2,Apra-Labs/ApraPipes,C++,33,36,398.0,25.0
277,2,ArchiveBox/abx-dl,Python,99,4,133.0,2.0
278,2,ArtificialAnalysis/Stirrup,Python,325,31,46.0,5.0
279,2,ArtificialAnalysis/StirrupJS,TypeScript,14,0,22.0,2.0
280,2,AryaLabsHQ/bunli,TypeScript,47,4,198.0,2.0
281,2,AsharibAli/whatsapp-me,TypeScript,14,2,3.0,1.0
282,2,AstraBert/scpr,Go,10,3,13.0,1.0
283,2,AsyncFuncAI/AsyncReview,Python,306,27,43.0,1.0
284,2,Ataraxy-Labs/agent-electrobun,TypeScript,13,1,2.0,1.0
285,2,Axinom/mosaic-frontend-samples,TypeScript,16,0,140.0,15.0
286,2,AxonFramework/AxonFramework,Java,3562,836,17015.0,254.0
287,2,AzurIce/ranim,Rust,568,33,564.0,3.0
288,2,Azure-Samples/azure-search-openai-demo,Python,7601,5267,894.0,112.0
289,2,Azure-Samples/functions-markdown-agent,Python,27,8,44.0,2.0
290,2,Azure-Samples/image-search-aisearch,Python,27,10,184.0,3.0
291,2,Azure-Samples/interview-coach-agent-framework,C#,33,22,17.0,3.0
292,2,Azure/autorest.python,Python,101,62,2460.0,36.0
293,2,Azure/autorest.typescript,TypeScript,184,81,2677.0,50.0
294,2,Azure/azqr,Go,747,135,991.0,23.0
295,2,Azure/azure-sdk-for-go,Go,1800,965,9242.0,274.0
296,2,Azure/kubelogin,Go,562,117,312.0,65.0
297,2,Azure/typespec-azure,TypeScript,26,71,1762.0,57.0
298,2,Azure99/BlossomData,Python,28,3,179.0,1.0
299,2,AzureCosmosDB/cosmosdb-agent-kit,JavaScript,22,6,64.0,4.0
300,2,BANANASJIM/rdc-cli,Python,47,7,216.0,1.0
301,2,BRO3886/gtasks,Go,137,18,120.0,4.0
302,2,BRO3886/healthsync,Go,35,3,52.0,2.0
303,2,BRO3886/rem,Go,28,1,53.0,1.0
304,2,BV-Venky/excalidraw-architect-mcp,Python,73,4,46.0,3.0
305,2,Bengerthelorf/pikpaktui,Rust,10,0,193.0,1.0
306,2,BetterStacks/unrag,TypeScript,14,0,118.0,2.0
307,2,Bigsy/mcpmu,Go,51,1,70.0,2.0
308,2,Bin-Huang/camoufox-cli,Python,138,10,46.0,1.0
309,2,Blankeos/crabcode,Rust,12,1,98.0,1.0
310,2,CURRENTF/Sparse-vLLM,Python,30,3,21.0,1.0
311,2,Cambly/syntax,TypeScript,12,12,638.0,29.0
312,2,CatKang/catkang.github.io,JavaScript,26,11,222.0,2.0
313,2,CellixJs/cellixjs,TypeScript,16,0,812.0,8.0
314,2,ChicagoHAI/OpenAIReview,Python,43,4,73.0,6.0
315,2,ChristopherKahler/carl,Python,208,23,33.0,1.0
316,2,ChurchCRM/CRM,PHP,830,520,13788.0,87.0
317,2,Claudate/project-multilevel-index,JavaScript,93,4,45.0,1.0
318,2,Codennnn/Green-Wall,TypeScript,793,43,443.0,8.0
319,2,Conectate/ct-elements,TypeScript,15,3,287.0,1.0
320,2,Consensys/linea-monorepo,Go,113,132,3371.0,74.0
321,2,ConstantineB6/comfy-pilot,Python,131,26,47.0,2.0
322,2,CoolBanHub/aggo,Go,21,1,103.0,2.0
323,2,CopilotKit/llmock,TypeScript,92,4,104.0,3.0
324,2,CoreWCF/CoreWCF,C#,1763,312,689.0,97.0
325,2,Cranot/roam-code,Python,417,37,190.0,3.0
326,2,D4Vinci/Scrapling,Python,29644,2248,1235.0,11.0
327,2,DanConwayDev/ngit-cli,Rust,49,6,886.0,6.0
328,2,DangJin/pdf2video,TypeScript,370,31,5.0,1.0
329,2,DataDog/saluki,Rust,33,9,1057.0,26.0
330,2,DerstedtCasper/vcp-code-2.0,TypeScript,25,4,31948.0,884.0
331,2,Dimillian/CodexMonitor,TypeScript,3107,297,936.0,70.0
332,2,EtienneLescot/n8n-as-code,TypeScript,485,65,715.0,4.0
333,2,FRCTeam1073-TheForceTeam/viper,JavaScript,19,9,1449.0,12.0
334,2,FaberSober/fa-antd-admin,TypeScript,20,3,717.0,2.0
335,2,Fannon/u-he-preset-randomizer,TypeScript,24,3,167.0,3.0
336,2,FishPiOffical/tiaoom,TypeScript,17,13,455.0,7.0
337,2,ForLoopCodes/contextplus,TypeScript,1463,93,80.0,7.0
338,2,Forget-C/Jellyfish,TypeScript,104,12,37.0,2.0
339,2,FunnyWolf/agentic-soc-platform,Python,604,79,199.0,1.0
340,2,G-Core/gcore-go,Go,35,1,745.0,7.0
341,2,G-Core/gcore-python,Python,40,2,731.0,9.0
342,2,G4brym/workers-qb,TypeScript,386,25,212.0,9.0
343,2,GGPrompts/TFE,Go,12,1,233.0,1.0
344,2,GigabrainGG/HyPaper,TypeScript,17,5,15.0,1.0
345,2,GitHamza0206/simba,TypeScript,1438,104,437.0,7.0
346,2,GoPlusSecurity/agentguard,TypeScript,354,54,18.0,2.0
347,2,GoogleChromeLabs/web-ai-demos,JavaScript,288,67,510.0,13.0
348,2,GoogleCloudPlatform/db-context-enrichment,Go,24,5,86.0,7.0
349,2,GoogleCloudPlatform/scion,Go,17,3,1690.0,2.0
350,2,GraflowAI/graflow,Python,36,0,419.0,1.0
351,2,HKUSTDial/DeepEar,Python,64,8,68.0,1.0
352,2,HSn0918/kubernetes-mcp,Go,29,3,89.0,3.0
353,2,Harmeet10000/AgentNexus-LangChain-FastAPI,Python,21,4,46.0,1.0
354,2,HathorNetwork/hathor-wallet-lib,TypeScript,22,14,871.0,14.0
355,2,Hmbown/Hegelion,Python,137,12,264.0,5.0
356,2,Hmbown/aleph,Python,176,19,114.0,3.0
357,2,HolmesGPT/holmesgpt,Python,1972,258,1256.0,53.0
358,2,HuangShengZeBlueSky/MLP_AutoResearch,Python,32,0,8.0,1.0
359,2,ITISFoundation/osparc-simcore,Python,51,31,5448.0,24.0
360,2,IceHugh/btc-connect,TypeScript,18,7,73.0,1.0
361,2,IgorGanapolsky/trading,Python,23,4,7542.0,19.0
362,2,InstalabsAI/instagit,TypeScript,14,2,14.0,3.0
363,2,ItMeDiaTech/rag-cli,Python,34,5,117.0,3.0
364,2,ItsWendell/palot,TypeScript,55,3,196.0,4.0
365,2,IvanMurzak/ReflectorNet,C#,12,2,593.0,4.0
366,2,JQR-crbf/memory-system,Python,10,0,2.0,1.0
367,2,Jacke/doradura,Rust,21,2,599.0,1.0
368,2,JaredStewart/coderlm,Rust,186,16,14.0,1.0
369,2,JarvusInnovations/hologit,JavaScript,20,2,1068.0,3.0
370,2,JetBrains/teamcity-cli,Go,46,4,254.0,5.0
371,2,JianYang-Lab/gsMap,Python,197,16,491.0,9.0
372,2,JohanBlome/encapp,Java,25,17,1100.0,12.0
373,2,JordanCoin/codemap,Go,474,43,106.0,5.0
374,2,JosXa/opencode-snippets,TypeScript,37,2,120.0,4.0
375,2,JoshKarpel/counterweight,Python,18,2,269.0,4.0
376,2,KASAHARA-Kyohei/vikokoro,TypeScript,33,6,41.0,1.0
377,2,Kesin11/actions-timeline,TypeScript,328,7,576.0,5.0
378,2,Kevandrew/sophia,Go,17,0,913.0,1.0
379,2,Klavis-AI/klavis,Python,5663,539,1287.0,40.0
380,2,L-Blondy/up-fetch,TypeScript,1386,17,1008.0,4.0
381,2,LF-Decentralized-Trust-labs/chaindeploy,Go,12,3,40.0,2.0
382,2,LSTM-Kirigaya/Tiphareth,TypeScript,24,1,67.0,2.0
383,2,LazyAGI/LazyLLM,Python,3747,364,934.0,43.0
384,2,Leeroo-AI/kapso,Python,81,6,183.0,7.0
385,2,Lianggs8/auto-survey-agent,Python,10,0,9.0,1.0
386,2,LocalKinAI/ollamadiffuser,Python,13,3,30.0,2.0
387,2,Lombiq/Open-Source-Orchard-Core-Extensions,C#,55,21,15139.0,36.0
388,2,LunaDeerMC/Dominion,Java,108,24,1018.0,11.0
389,2,MDA2AV/Http11Probe,C#,13,5,219.0,4.0
390,2,MTES-MCT/dossierfacile-backend,Java,23,10,2255.0,15.0
391,2,Maksandre/w3wallets,TypeScript,73,14,51.0,4.0
392,2,MarsonShine/Books,C#,49,10,982.0,7.0
393,2,Martian-Engineering/volt,TypeScript,176,18,9342.0,743.0
394,2,McShelby/hugo-theme-relearn,JavaScript,586,233,3180.0,131.0
395,2,MervinPraison/PraisonAI,Python,5665,778,2945.0,31.0
396,2,MeteoraAg/meteora-invent,TypeScript,30,31,330.0,10.0
397,2,Michaelliv/cc-dejavu,TypeScript,19,3,19.0,2.0
398,2,Michaelliv/psst,TypeScript,101,7,68.0,2.0
399,2,MigoXLab/coderio,TypeScript,89,10,9.0,4.0
400,2,MisterClean/chicago-crashes-pipeline,Python,21,0,158.0,2.0
401,2,MohtashamMurshid/md-to-docx,TypeScript,61,16,84.0,8.0
402,2,Mq-b/Lab2QRCode,C++,15,10,138.0,8.0
403,2,Mr-Leshiy/shell-cell,Rust,14,0,153.0,1.0
404,2,Muneerali199/Draftdeckai,TypeScript,44,134,877.0,60.0
405,2,MystenLabs/walrus,Rust,339,107,2042.0,50.0
406,2,NVIDIA-NeMo/Gym,Python,723,85,358.0,44.0
407,2,NVIDIA/OSMO,TypeScript,107,19,421.0,16.0
408,2,NVIDIA/multi-storage-client,Python,60,13,638.0,14.0
