rank,skill_count,repo,mainLanguage,stars,forks,commits,contributors
1,1,00xLazy/TradeOS,TypeScript,18,1,27.0,1.0
2,1,0range-x/triple-layer-memory,Python,12,0,7.0,1.0
3,1,0xNyk/xint,TypeScript,51,3,86.0,1.0
4,1,ALBEDO-TABAI/video-copy-analyzer,Python,108,8,8.0,3.0
5,1,Agent-Field/SWE-AF,Python,435,64,149.0,7.0
6,1,AgentConnect/awiki-agent-id-message,Python,10,2,111.0,2.0
7,1,Agents365-ai/video-podcast-maker,TypeScript,175,18,116.0,1.0
8,1,AndyShaman/whisk-proxy,JavaScript,11,7,4.0,1.0
9,1,ArcInstitute/SRAgent,Python,159,32,366.0,1.0
10,1,Assangejulian/screen_cotrol_for_Ubuntu,Python,21,0,4.0,1.0
11,1,AytuncYildizli/reprompter,JavaScript,19,3,76.0,4.0
12,1,BayramAnnakov/synthetic-market-research,Python,22,3,4.0,1.0
13,1,BuildGreatProducts/plaid,JavaScript,17,3,33.0,2.0
14,1,CaliCastle/seedhub-cli,Python,63,5,3.0,1.0
15,1,CryptoLabInc/rune,Python,13,2,45.0,3.0
16,1,DenisSergeevitch/youtube-poop-video-maker,Python,28,0,5.0,1.0
17,1,DomVinyard/NotMCP,Python,10,1,17.0,1.0
18,1,EisonMe/newspaper-brief,Python,37,4,6.0,1.0
19,1,EmZod/Speak-Turbo,Python,16,1,32.0,1.0
20,1,Evan-XYZ/YMOS,Python,49,9,18.0,1.0
21,1,EvoMap/evolver,JavaScript,1546,173,229.0,7.0
22,1,GuDaStudio/collaborating-with-codex,Python,120,11,5.0,2.0
23,1,GuDaStudio/collaborating-with-gemini,Python,12,3,6.0,2.0
24,1,Helweg/opencode-codebase-index,TypeScript,18,4,145.0,3.0
25,1,Higangssh/ghostmeet,Python,12,0,16.0,1.0
26,1,Higangssh/homebutler,Go,28,6,138.0,4.0
27,1,Hulupeep/Specflow,JavaScript,24,4,96.0,2.0
28,1,Hyaxia/blogwatcher,Go,81,14,32.0,1.0
29,1,IanShaw027/wemp-operator,JavaScript,54,15,3.0,1.0
30,1,JinHo-von-Choi/memento-mcp,JavaScript,74,13,162.0,1.0
