rank,references_file_count,repo,mainLanguage,stars,forks,commits,contributors
134,28,gqy20/IssueLab,Python,10,6,438.0,7.0
135,28,starmode-base/neon-testing,TypeScript,20,2,181.0,2.0
136,28,weapp-vite/weapp-vite,TypeScript,284,15,2721.0,8.0
137,27,davidabeyer/formaltask,Python,13,1,25.0,1.0
138,27,doodledood/manifest-dev,Python,60,7,112.0,3.0
139,27,hdkiller/coach,TypeScript,41,5,3547.0,7.0
140,27,module-federation/core,JavaScript,2469,396,3674.0,194.0
141,26,DaveSkender/Stock.Indicators,C#,1184,266,1274.0,20.0
142,26,zylos-ai/zylos-core,JavaScript,735,67,367.0,9.0
143,25,LeCheenaX/WordFlow-Tracker,TypeScript,25,2,397.0,1.0
144,25,antvis/L7,TypeScript,3976,661,5444.0,77.0
145,25,davidvkimball/obsidian-astro-composer,TypeScript,23,5,142.0,4.0
146,25,davidvkimball/obsidian-bases-cms,TypeScript,48,2,78.0,1.0
147,25,forcedotcom/salesforcedx-vscode,TypeScript,994,435,5013.0,143.0
148,25,hoangsonww/PetSwipe-Match-App,TypeScript,18,11,179.0,2.0
149,25,opensesh/OS_design-directory,TypeScript,10,2,549.0,1.0
150,25,thc1006/nephoran-intent-operator,Go,16,3,1013.0,5.0
151,24,JinFanZheng/kode-sdk-csharp,C#,56,18,32.0,3.0
152,24,Joncik91/ucai,JavaScript,27,2,91.0,2.0
153,24,NguyenSiTrung/Conductor-Beads,Python,20,4,26.0,3.0
154,24,TenureAI/PhD-Zero,Python,39,2,47.0,3.0
155,24,bikeshaving/crank,TypeScript,2788,80,2240.0,32.0
156,24,hoangsonww/AI-Gov-Content-Curator,TypeScript,24,11,426.0,3.0
157,24,rnw-community/rnw-community,TypeScript,76,28,889.0,20.0
158,24,vercel/turborepo,Rust,29999,2290,9158.0,642.0
159,23,Knuckles-Team/servicenow-api,Python,16,2,500.0,5.0
160,23,j5ik2o/okite-ai,Python,73,2,248.0,2.0
161,23,kazukinagata/shinkoku,Python,308,29,157.0,2.0
162,23,sonofmagic/weapp-tailwindcss,TypeScript,1758,97,3628.0,12.0
163,22,Shadylukin/Neumann,Rust,73,6,576.0,3.0
164,22,garden-co/jazz,TypeScript,2498,109,10096.0,75.0
165,22,laborany/laborany,TypeScript,50,4,244.0,5.0
166,21,AytuncYildizli/reprompter,JavaScript,19,3,76.0,4.0
167,21,antvis/GPT-Vis,TypeScript,673,82,231.0,30.0
168,21,miroapp/miro-ai,TypeScript,72,7,52.0,6.0
169,21,open-mercato/open-mercato,TypeScript,1084,179,1823.0,68.0
170,21,sandbox0-ai/sandbox0,Go,12,0,379.0,2.0
171,21,sledtools/pika,Rust,38,17,1312.0,11.0
172,20,6BNBN/FlowPilot,TypeScript,101,7,169.0,1.0
173,20,asklokesh/loki-mode,Python,728,146,554.0,5.0
174,20,codervisor/lean-spec,TypeScript,200,13,2035.0,5.0
175,20,datapizza-labs/rag-dataset-builder,Python,45,5,14.0,5.0
176,20,getsentry/sentry-python,Python,2153,590,3719.0,302.0
177,20,nucliweb/webperf-snippets,JavaScript,1417,79,332.0,17.0
178,20,prowler-cloud/prowler,Python,13314,2040,7879.0,367.0
179,20,selop/pokebox,TypeScript,34,2,186.0,1.0
180,19,OpenHands/extensions,Python,72,15,101.0,11.0
181,19,kaptinlin/gozod,Go,18,1,113.0,2.0
182,18,Tai-ch0802/arc-like-chrome-extension,JavaScript,35,2,420.0,4.0
183,18,akiojin/unity-cli,C#,21,1,250.0,4.0
184,18,byjg/php-rest-reference-architecture,PHP,17,6,275.0,1.0
185,18,eggent-ai/eggent,TypeScript,219,42,36.0,1.0
186,18,frumu-ai/tandem,Rust,73,7,1206.0,5.0
187,18,gemini-cli-extensions/devops,Go,24,6,85.0,8.0
188,18,gricha/perry,TypeScript,31,5,491.0,2.0
189,18,jongwony/epistemic-protocols,JavaScript,68,7,507.0,2.0
190,18,monaccode/astromesh,Python,17,1,195.0,1.0
191,17,Musenn/finrpa-enterprise,Python,21,1,48.0,1.0
192,17,NoOne-hub/JSReverser-MCP,TypeScript,97,27,90.0,1.0
193,17,bretzel-app/crumbs,TypeScript,18,1,345.0,4.0
194,17,daangn/seed-design,TypeScript,841,49,3069.0,25.0
195,17,hairyf/hairylib,TypeScript,12,5,595.0,4.0
196,17,jewbetcha/openflight,Python,168,17,317.0,4.0
197,17,lorehq/lore,Go,22,2,92.0,1.0
198,17,moshesham/Data-Science-Analytical-Handbook,Python,46,13,242.0,2.0
199,17,oceanbase/oceanbase-design,TypeScript,50,23,2299.0,20.0
200,17,quan0715/QJudge,TypeScript,27,0,524.0,3.0
201,17,ramo4040/olyx-ui,TypeScript,15,1,264.0,3.0
202,16,Alex-Rachel/TEngine,C#,2002,489,1512.0,30.0
203,16,Evan-XYZ/YMOS,Python,49,9,18.0,1.0
204,16,Pouryaak/LokulMem,TypeScript,16,0,275.0,5.0
205,16,aklofas/kicad-happy,Python,51,5,15.0,2.0
206,16,asteroid-belt/skulto,Go,27,0,96.0,4.0
207,16,callstackincubator/voltra,TypeScript,614,20,213.0,13.0
208,16,ginlix-ai/LangAlpha,Python,52,7,699.0,7.0
209,16,guendev/vue3-apollo,TypeScript,12,1,376.0,2.0
210,16,jwilger/eventcore,Rust,11,1,384.0,3.0
211,16,noemuch/bridge,JavaScript,50,2,18.0,1.0
212,16,nuclia/frontend,TypeScript,55,18,2632.0,29.0
213,16,redf0x1/camofox-browser,TypeScript,20,3,60.0,1.0
214,16,supabase/supabase,TypeScript,98968,11799,35098.0,1859.0
215,15,D4Vinci/Scrapling,Python,29644,2248,1235.0,11.0
216,15,EthanAlgoX/MarketBot,Python,55,9,322.0,1.0
217,15,GoogleChrome/webstatus.dev,Go,228,47,1645.0,16.0
218,15,Kurarion/Genshin-Calc,TypeScript,72,8,370.0,2.0
219,15,OthmanAdi/planning-with-files,Python,16064,1476,155.0,22.0
220,15,chongdashu/phaserjs-oakwoods,TypeScript,55,26,2.0,1.0
221,15,fabriqaai/specs.md,TypeScript,76,7,708.0,5.0
222,15,kokonut-labs/kokonutui,TypeScript,1810,109,403.0,9.0
223,15,merill/msgraph,Go,35,0,42.0,2.0
224,15,rejot-dev/fragno,TypeScript,41,3,898.0,6.0
225,15,synapticore-io/marimo-flow,Python,11,1,113.0,4.0
226,14,Alenryuichi/openmemory-plus,TypeScript,17,1,70.0,1.0
227,14,OriNachum/autonomous-intelligence,Python,220,15,445.0,2.0
228,14,coveo/ui-kit,TypeScript,65,42,6665.0,103.0
229,14,exceptionless/Exceptionless,C#,2453,512,5811.0,36.0
230,14,i2y/castella,Python,39,1,331.0,1.0
231,14,iOfficeAI/AionUi,TypeScript,18771,1469,2966.0,57.0
232,14,lvndry/jazz,TypeScript,44,7,336.0,4.0
233,14,microsoft/fabric-cli,Python,91,35,110.0,16.0
234,14,tidbcloud/tidbcloud-cli,Go,10,3,298.0,8.0
235,14,timeplus-io/proton,C++,2163,106,84483.0,1322.0
236,14,wanikua/become-ceo,TypeScript,39,5,72.0,3.0
237,14,weaviate/weaviate-cli,Python,32,20,334.0,27.0
238,13,ChicagoHAI/NeuriCo,Python,28,2,146.0,4.0
239,13,Uniswap/uniswap-ai,Python,172,25,81.0,5.0
240,13,WebMCP-org/npm-packages,TypeScript,34,5,433.0,5.0
241,13,XueHua-s/fast-md5-web,TypeScript,95,9,59.0,4.0
242,13,aatrooox/imgx,TypeScript,118,8,233.0,1.0
243,13,alpic-ai/skybridge,TypeScript,744,41,613.0,22.0
244,13,bouffalolab/bouffalo_sdk,C,459,168,29.0,3.0
245,13,cmer81/open-meteo-mcp,TypeScript,36,14,88.0,3.0
246,13,dmmulroy/overseer,Rust,222,13,97.0,3.0
247,13,eser/aya.is,Go,59,24,971.0,15.0
248,13,google/adk-docs,Python,1216,894,746.0,228.0
249,13,kaivyy/kabot,Python,21,6,343.0,4.0
250,13,openclix/openclix,TypeScript,31,1,50.0,2.0
251,13,pinax-network/substreams-svm,Rust,14,0,230.0,4.0
252,13,resend/resend-cli,TypeScript,233,24,224.0,7.0
253,13,udayvunnam/xng-breadcrumb,TypeScript,246,66,317.0,17.0
254,13,vana-com/data-connect,TypeScript,21,3,662.0,10.0
255,13,vivid-planet/comet,TypeScript,45,9,7927.0,61.0
256,12,Kilo-Org/kilo-marketplace,Python,53,16,211.0,31.0
257,12,Minh-Tam-Solution/tinysdlc,TypeScript,10,8,40.0,1.0
258,12,OniReimu/Ageaf,TypeScript,11,0,166.0,1.0
259,12,STUkh/sparq-assistant,JavaScript,17,3,4.0,1.0
260,12,a-yeyang/AI-researcher,Python,92,9,9.0,1.0
261,12,adoresever/AGI_Ananas,TypeScript,148,21,37.0,4.0
262,12,assafelovic/gpt-researcher,Python,25735,3421,2912.0,234.0
263,12,co-r-e/dexcode,TypeScript,13,1,57.0,1.0
264,12,daveroverts/bmac,PHP,11,13,2147.0,9.0
265,12,fjrevoredo/mini-diarium,TypeScript,228,12,48.0,3.0
266,12,hiero-ledger/hiero-cli,TypeScript,41,33,432.0,16.0
267,12,hoangsonww/AI-RAG-Assistant-Chatbot,TypeScript,34,9,275.0,2.0
268,12,mathiaschu/google-ads-analyzer,Python,35,11,3.0,1.0
269,12,mxtommy/Kip,TypeScript,118,61,1460.0,18.0
270,12,n4ze3m/page-share-app,TypeScript,16,7,25.0,1.0
271,12,prillcode/start-work,JavaScript,10,2,8.0,1.0
272,12,specula-org/Specula,Python,99,15,459.0,5.0
273,12,stripe/ai,TypeScript,1361,221,296.0,30.0
274,12,tambo-ai/tambo,TypeScript,11088,553,5277.0,57.0
275,12,webrenew/memories,TypeScript,19,2,588.0,4.0
276,12,wjllance/standx-cli,Rust,17,3,263.0,9.0
277,12,xarray/osgverse,C,238,47,938.0,14.0
278,12,yoopta-editor/Yoopta-Editor,TypeScript,2927,208,842.0,15.0
279,11,LetPeopleWork/Lighthouse,TypeScript,12,1,4060.0,5.0
280,11,OrangeViolin/content-pipeline,TypeScript,40,7,2.0,1.0
281,11,TheSoftwareHouse/copilot-collections,TypeScript,151,4,237.0,16.0
282,11,aliyun/alibabacloud-adb-mysql-mcp-server,Python,26,19,14.0,5.0
283,11,arjunrajlaboratory/NimbusImage,TypeScript,18,6,2633.0,15.0
284,11,hairyf/overlastic,TypeScript,72,14,378.0,7.0
285,11,lintendo/Axhub-Make,TypeScript,26,9,64.0,2.0
286,11,liza-mas/liza,Go,76,18,567.0,3.0
287,11,loro-dev/loro,Rust,5426,133,2043.0,25.0
288,11,maestromaximo/codex-local-sdk-python,Python,13,1,20.0,1.0
289,11,spboyer/sensei,TypeScript,20,4,50.0,3.0
290,11,storybookjs/react-native,TypeScript,1268,179,25323.0,1160.0
291,11,vasu31dev/playwright-ts-lib,TypeScript,24,3,106.0,3.0
292,11,zard-ui/zardui,TypeScript,919,80,357.0,29.0
293,10,AdsPower/adspower-browser,TypeScript,48,8,25.0,3.0
294,10,AryaLabsHQ/bunli,TypeScript,47,4,198.0,2.0
295,10,actionbook/actionbook,TypeScript,1417,101,641.0,8.0
296,10,buzzer-re/Rikugan,Python,339,35,158.0,1.0
297,10,codemod/codemod,Rust,962,62,1868.0,50.0
298,10,dmitriiweb/extract-emails,Python,108,38,306.0,8.0
299,10,dotnet/razor,C#,707,236,19993.0,215.0
300,10,dotnet/roslyn,C#,20286,4234,132515.0,1005.0
301,10,four-meme-community/four-meme-ai,JavaScript,11,5,8.0,1.0
302,10,hannesill/m4,Python,23,10,378.0,11.0
303,10,huajian123/ng-antd-admin,TypeScript,706,171,819.0,4.0
304,10,hzqst/metamod-fallguys,C++,16,5,581.0,3.0
305,10,kilolonion/excelmanus,Python,25,0,186.0,3.0
306,10,marcus/sidecar,Go,839,63,1221.0,15.0
307,10,marigold-ui/marigold,TypeScript,137,11,4605.0,27.0
308,10,mikkelkrogsholm/ai-laegens-bord,JavaScript,37,3,5.0,1.0
309,10,ml-explore/mlx-swift,C++,1645,162,410.0,42.0
310,10,nilenso/context-viewer,TypeScript,56,2,190.0,2.0
311,10,snyk/studio-recipes,Python,11,2,48.0,5.0
312,9,AndurilCode/mcp-apps-kit,TypeScript,13,2,229.0,7.0
313,9,BetterStacks/unrag,TypeScript,14,0,118.0,2.0
314,9,GCWing/BitFun,TypeScript,451,47,305.0,11.0
315,9,OTRF/ThreatHunter-Playbook,Python,4496,850,477.0,18.0
316,9,ProgrammerAnthony/Anything-Extract,Python,133,26,25.0,1.0
317,9,TanStack/db,TypeScript,3650,187,828.0,59.0
318,9,alibaba/higress,Go,7770,1029,1601.0,165.0
319,9,apollographql/apollo-mcp-server,Rust,272,66,1567.0,41.0
320,9,awslabs/mcp,Python,8454,1352,1381.0,245.0
321,9,bitovi/superconnect,JavaScript,23,0,237.0,3.0
322,9,careerhackeralex/visualize,JavaScript,54,12,124.0,1.0
323,9,dagger/dagger,Go,15542,851,11034.0,312.0
324,9,deepnote/deepnote,TypeScript,2732,176,242.0,16.0
325,9,dyoshikawa/rulesync,TypeScript,891,82,2982.0,50.0
326,9,eggjs/egg,TypeScript,19009,1816,1534.0,237.0
327,9,huggingface/kernels,Python,498,52,314.0,19.0
328,9,isala404/forge,Rust,63,2,177.0,2.0
