license,all_repos,skill_md_repos,all_pct,skill_md_pct
MIT,107051,2518,68.0,69.8
Apache-2.0,41787,1018,26.5,28.2
BSD-3-Clause,6841,56,4.3,1.6
BSD-2-Clause,1732,13,1.1,0.4
No license,1,0,0.0,0.0
