rank,repo,skill_count,mainLanguage,stars,forks,commits,contributors,html_url
1,hainamchung/agent-assistant,780,Python,36,14,13.0,1.0,https://github.com/hainamchung/agent-assistant
2,nWave-ai/nWave,726,Python,256,30,68.0,7.0,https://github.com/nWave-ai/nWave
3,gtmagents/gtm-agents,682,Python,115,17,18.0,2.0,https://github.com/gtmagents/gtm-agents
4,sequenzia/agent-alchemy,636,Python,13,1,272.0,1.0,https://github.com/sequenzia/agent-alchemy
5,eddiebelaval/squire,600,Python,14,3,13.0,1.0,https://github.com/eddiebelaval/squire
6,malue-ai/dazee-small,522,Python,30,0,193.0,9.0,https://github.com/malue-ai/dazee-small
7,DNYoussef/context-cascade,504,Python,22,6,238.0,1.0,https://github.com/DNYoussef/context-cascade
8,hzqst/CS2_VibeSignatures,348,Python,22,2,666.0,3.0,https://github.com/hzqst/CS2_VibeSignatures
9,giuseppe-trisciuoglio/developer-kit,336,Python,161,11,380.0,3.0,https://github.com/giuseppe-trisciuoglio/developer-kit
10,CraftOS-dev/CraftBot,326,Python,55,5,494.0,4.0,https://github.com/CraftOS-dev/CraftBot
11,elophanto/EloPhanto,298,Python,34,5,277.0,3.0,https://github.com/elophanto/EloPhanto
12,openakita/openakita,292,Python,1219,150,1312.0,7.0,https://github.com/openakita/openakita
13,wshobson/agents,292,Python,31239,3426,242.0,41.0,https://github.com/wshobson/agents
14,existential-birds/beagle,282,Python,38,5,83.0,2.0,https://github.com/existential-birds/beagle
15,SimHacker/moollm,254,Python,34,4,2287.0,3.0,https://github.com/SimHacker/moollm
16,LerianStudio/ring,222,Python,135,15,1834.0,16.0,https://github.com/LerianStudio/ring
17,kagenti/kagenti,208,Python,110,59,2395.0,45.0,https://github.com/kagenti/kagenti
18,xuiltul/animaworks,207,Python,161,22,1944.0,11.0,https://github.com/xuiltul/animaworks
19,matteocervelli/llms,192,Python,20,2,26.0,1.0,https://github.com/matteocervelli/llms
20,openshift-eng/ai-helpers,172,Python,52,214,836.0,88.0,https://github.com/openshift-eng/ai-helpers
21,cwinvestments/memstack,154,Python,45,3,120.0,1.0,https://github.com/cwinvestments/memstack
22,ancoleman/ai-design-components,152,Python,310,48,81.0,2.0,https://github.com/ancoleman/ai-design-components
23,kaivyy/kabot,136,Python,21,6,343.0,4.0,https://github.com/kaivyy/kabot
24,williamzujkowski/standards,134,Python,13,0,176.0,2.0,https://github.com/williamzujkowski/standards
25,bytedance/agentkit-samples,132,Python,247,46,453.0,28.0,https://github.com/bytedance/agentkit-samples
26,causify-ai/helpers,132,Python,142,130,851.0,29.0,https://github.com/causify-ai/helpers
27,davidlee/spec-driver,132,Python,15,2,785.0,2.0,https://github.com/davidlee/spec-driver
28,proffesor-for-testing/sentinel-api-testing,130,Python,36,9,144.0,2.0,https://github.com/proffesor-for-testing/sentinel-api-testing
29,mikeOnBreeze/cc-crossbeam,129,Python,145,53,69.0,1.0,https://github.com/mikeOnBreeze/cc-crossbeam
30,vasilyu1983/AI-Agents-public,124,Python,41,9,26.0,1.0,https://github.com/vasilyu1983/AI-Agents-public
31,j5ik2o/okite-ai,120,Python,73,2,248.0,2.0,https://github.com/j5ik2o/okite-ai
