language,rank,repo,skill_count,stars,forks,commits,contributors
C,1,RtlZeroMemory/Zireael,93,36,3,114.0,2.0
C,2,edwnh/dqmc,12,16,4,176.0,2.0
C,3,zzxyb/wlframe,12,11,2,99.0,4.0
C,4,tpn/perfecthash,10,88,15,1180.0,2.0
C,5,DeusData/codebase-memory-mcp,8,666,69,95.0,5.0
C,6,OpenSwiftUIProject/DarwinPrivateFrameworks,8,24,4,127.0,2.0
C,7,alex-ilgayev/MCPSpy,8,504,74,93.0,4.0
C,8,microsoft/ebpf-for-windows,8,3446,285,2462.0,63.0
C,9,M5Fly-kanazawa/stampfly_ecosystem,6,19,1,814.0,1.0
C,10,nature-lang/nature,6,2247,64,1214.0,12.0
C,11,tdimino/bg3se-macos,6,27,5,196.0,2.0
C,12,chemicallang/chemical,4,24,2,4608.0,1.0
C,13,d3nd3/sof_buddy,4,15,0,150.0,1.0
C,14,ionide/tree-sitter-fsharp,4,90,25,327.0,14.0
C,15,wysaid/android-gpuimage-plus,4,1911,478,561.0,12.0
C,16,xarray/osgverse,4,238,47,938.0,14.0
C,17,yoanbernabeu/grepai,4,1453,113,185.0,27.0
C,18,zfogg/ascii-chat,4,184,8,8022.0,9.0
C,19,1amageek/swift-skeleton,2,14,0,14.0,1.0
C,20,bouffalolab/bouffalo_sdk,2,459,168,29.0,3.0
C,21,cfoust/cy,2,201,8,1682.0,6.0
C,22,pikasTech/PikaPython,2,1708,166,6364.0,92.0
C,23,crosspoint-reader/crosspoint-reader,1,2637,387,598.0,102.0
C#,1,moorestech/moorestech,315,63,7,9821.0,15.0
C#,2,Nethereum/Nethereum,116,2244,743,2539.0,101.0
C#,3,TippingGame/F8Framework,98,840,130,421.0,4.0
C#,4,TippingGame/F8FrameworkDemo,98,38,10,155.0,1.0
C#,5,exceptionless/Exceptionless,90,2453,512,5811.0,36.0
C#,6,managedcode/Storage,84,130,28,271.0,18.0
C#,7,baotoq/micro-commerce,82,93,25,1271.0,2.0
C#,8,oocx/tfplan2md,58,148,8,2528.0,5.0
C#,9,seiggy/lucia-dotnet,58,38,5,214.0,3.0
C#,10,lofcz/LLMTornado,54,573,95,1743.0,24.0
C#,11,I-Synergy/I-Synergy.Framework,52,10,2,1574.0,4.0
C#,12,foxminchan/BookWorm,52,477,62,562.0,7.0
C#,13,fpindej/netrock,52,205,21,340.0,3.0
C#,14,vchelaru/Gum,50,434,68,5285.0,43.0
C#,15,timdeschryver/Sandbox,44,55,17,309.0,5.0
C#,16,Cratis/Chronicle,42,38,8,15832.0,16.0
C#,17,JinFanZheng/kode-sdk-csharp,40,56,18,32.0,3.0
C#,18,aalmada/BookStore,38,15,0,416.0,3.0
C#,19,akiojin/unity-cli,36,21,1,250.0,4.0
C#,20,dotnet/efcore,36,14603,3363,17779.0,439.0
C#,21,mitchdenny/hex1b,33,114,8,546.0,6.0
C#,22,dotnet/maui,26,23210,1926,19232.0,690.0
C#,23,mitkox/ai-coding-factory,26,138,55,10.0,2.0
C#,24,mono/SkiaSharp,26,5297,616,3306.0,101.0
C#,25,dotnet/msbuild,22,5493,1410,10860.0,383.0
C#,26,DaveSkender/Stock.Indicators,20,1184,266,1274.0,20.0
C#,27,rickdotnet/Momus,20,11,0,18.0,1.0
C#,28,umbraco/Umbraco.AI,20,17,10,1872.0,7.0
C#,29,DotNetLabX/dotnet-microservices,18,11,4,8.0,1.0
C#,30,filiptrivan/spiderly,18,51,18,529.0,6.0
C#,31,rwjdk/MicrosoftAgentFrameworkSamples,18,202,68,176.0,4.0
C#,32,thangchung/agent-engineering-experiment,18,12,1,23.0,1.0
C#,33,MarcelMichau/fake-survey-generator,16,86,18,4052.0,7.0
C#,34,adamgell/IntuneCommander,16,21,0,683.0,6.0
C#,35,doomclouds/LightRAGNet,14,12,4,14.0,1.0
C#,36,microsoft/winappCli,14,919,37,418.0,14.0
C#,37,AzureAD/microsoft-authentication-library-for-dotnet,12,1494,395,4268.0,125.0
C#,38,christianhelle/refitter,12,381,63,3617.0,52.0
C#,39,hardkoded/puppeteer-sharp,12,3867,489,1653.0,88.0
C#,40,sbroenne/mcp-server-excel,12,76,12,329.0,4.0
C#,41,Alex-Rachel/TEngine,10,2002,489,1512.0,30.0
C#,42,DataDog/dd-trace-dotnet,10,546,154,6355.0,114.0
C#,43,JasonXuDeveloper/JEngine,10,2186,341,1166.0,18.0
C#,44,MatterHackers/agg-sharp,10,187,76,5391.0,20.0
C#,45,thefrederiksen/cc-director,10,83,10,281.0,2.0
C#,46,CoplayDev/unity-mcp,9,7039,843,1004.0,43.0
C#,47,elbruno/elbruno.localembeddings,9,19,0,188.0,3.0
C#,48,microsoft/Generative-AI-for-beginners-dotnet,9,2372,1812,913.0,34.0
C#,49,Devolutions/UniGetUI,8,21846,737,7743.0,100.0
C#,50,EvotecIT/PSPublishModule,8,41,13,2079.0,5.0
C#,51,POW-Software/ByteSync,8,151,10,187.0,2.0
C#,52,RicherTunes/Brainarr,8,32,0,1005.0,6.0
C#,53,dotnet/razor,8,707,236,19993.0,215.0
C#,54,microsoft/vstest,8,953,346,3341.0,149.0
C#,55,unoplatform/uno,8,9852,844,42806.0,341.0
C#,56,GitTools/GitVersion,6,3093,663,7581.0,375.0
C#,57,LM-Kit/lm-kit-net-samples,6,38,7,173.0,1.0
C#,58,ThindalTV/BlazorBlocks,6,13,1,77.0,2.0
C#,59,cmdscale/CmdScale.EntityFrameworkCore.TimescaleDB,6,49,6,135.0,6.0
C#,60,dotnet/android,6,2101,566,6303.0,135.0
C#,61,dotnet/extensions,6,3126,858,2462.0,134.0
C#,62,dotnet/roslyn,6,20286,4234,132515.0,1005.0
C#,63,dotnet/sdk,6,3070,1217,112073.0,979.0
C#,64,jguadagno/jjgnet-broadcast,6,18,4,563.0,7.0
C#,65,jihadkhawaja/Egroo,6,175,32,883.0,5.0
C#,66,maddymontaquila/aspirifridays,6,17,6,154.0,9.0
C#,67,microsoft/aitour26-WRK541-real-world-code-migration-with-github-copilot-agent-mode,6,406,67,104.0,12.0
C#,68,mono/SkiaSharp.Extended,6,259,73,355.0,19.0
C#,69,mthalman/dredge,6,44,5,257.0,3.0
C#,70,yucchiy/UniCli,6,124,9,296.0,4.0
C#,71,AzureAD/microsoft-identity-web,4,773,254,1810.0,94.0
C#,72,BloomBooks/BloomDesktop,4,41,18,23996.0,38.0
C#,73,Kyome22/RunCat365,4,9934,814,444.0,31.0
C#,74,MoaidHathot/Zakira.Imprint,4,15,3,24.0,2.0
C#,75,doggy8088/gemini-tts-cli,4,27,4,86.0,3.0
C#,76,dotnet/SqlClient,4,959,323,1788.0,102.0
C#,77,dotnet/winforms,4,4758,1086,11028.0,299.0
C#,78,ingen084/KyoshinEewViewerIngen,4,171,18,1626.0,8.0
C#,79,microsoft/PowerToys,4,130508,7775,8955.0,607.0
C#,80,neronotte/Greg.Xrm.Command,4,138,12,428.0,6.0
C#,81,openai/openai-dotnet,4,2530,374,392.0,49.0
C#,82,quartznet/quartznet,4,7005,1727,2034.0,195.0
C#,83,reynj/reynj,4,15,0,176.0,3.0
C#,84,rubrikinc/rubrik-powershell-sdk,4,17,11,618.0,12.0
C#,85,sheng-jie/learn-cc-csharp,4,50,11,4.0,1.0
C#,86,AIDotNet/OpenDeepWiki,2,2900,374,908.0,37.0
C#,87,Azure-Samples/interview-coach-agent-framework,2,33,22,17.0,3.0
C#,88,CoreWCF/CoreWCF,2,1763,312,689.0,97.0
C#,89,IvanMurzak/ReflectorNet,2,12,2,593.0,4.0
C#,90,Lombiq/Open-Source-Orchard-Core-Extensions,2,55,21,15139.0,36.0
C#,91,MDA2AV/Http11Probe,2,13,5,219.0,4.0
C#,92,MarsonShine/Books,2,49,10,982.0,7.0
C#,93,PowerShell/PowerShell,2,51866,8221,11380.0,543.0
C#,94,ProjectMagma/Magma,2,112,1,409.0,3.0
C#,95,Redth/Maui.Gtk,2,85,2,149.0,1.0
C#,96,Redth/MauiDevFlow,2,43,8,221.0,6.0
C#,97,ShapeCrawler/ShapeCrawler,2,411,77,3686.0,28.0
C#,98,ZenoxZX/trello-cli,2,18,2,21.0,3.0
C#,99,altasoft/DomainPrimitives,2,60,2,250.0,6.0
C#,100,craigktreasure/SlnUp,2,12,0,440.0,2.0
C++,1,dartsim/dart,36,1062,298,6631.0,75.0
C++,2,rvdbreemen/OTGW-firmware,36,176,39,2407.0,20.0
C++,3,AztecProtocol/aztec-packages,32,430,598,21880.0,149.0
C++,4,spiriMirror/libuipc,28,238,40,973.0,18.0
C++,5,SolidLao/GenDB,24,36,2,62.0,1.0
C++,6,sirius-db/sirius,22,894,77,701.0,34.0
C++,7,alibaba/neug,18,54,8,29.0,7.0
C++,8,timeplus-io/proton,18,2163,106,84483.0,1322.0
C++,9,yahoo/proxy-verifier,18,46,26,323.0,10.0
C++,10,hzqst/metamod-fallguys,12,16,5,581.0,3.0
C++,11,j-r-beckett/SpeedReader,12,10,1,677.0,1.0
C++,12,laoshanxi/app-mesh,12,211,28,1730.0,11.0
C++,13,OpenXiangShan/GEM5,10,129,71,21094.0,414.0
C++,14,d2learn/xlings,10,572,44,364.0,4.0
C++,15,owent/libatapp,10,23,15,482.0,3.0
C++,16,zilliztech/knowhere,10,328,130,1330.0,50.0
C++,17,asklar/lvt,9,17,0,58.0,2.0
C++,18,getsentry/sentry-unreal,8,160,51,1153.0,33.0
C++,19,ossrs/srs,8,28617,5657,8923.0,150.0
C++,20,stillwater-sc/universal,8,488,71,4280.0,33.0
C++,21,alibaba/MNN,6,14539,2236,2802.0,163.0
C++,22,intel/confidential-computing-zoo,6,349,66,566.0,33.0
C++,23,invergent-ai/surogate,6,114,3,490.0,3.0
C++,24,llnl/smith,6,226,36,11038.0,32.0
C++,25,microsoft/WindowsAppSDK,6,4457,423,1861.0,126.0
C++,26,owent/libatbus,6,234,69,702.0,9.0
C++,27,pigweed-project/pigweed,6,473,113,15601.0,389.0
C++,28,rakytap/sequential-quantum-gate-decomposer,6,41,12,2235.0,18.0
C++,29,relytcloud/pg_ducklake,6,53,3,85.0,1.0
C++,30,This-Is-Captain-Code/monagotchi,4,14,1,23.0,2.0
C++,31,facebookincubator/velox,4,4076,1472,12695.0,654.0
C++,32,grafana/pyroscope-dotnet,4,35,11,6556.0,126.0
C++,33,ispc/ispc,4,2847,343,7739.0,145.0
C++,34,lynx-family/skity,4,62,18,237.0,8.0
C++,35,onicai/llama_cpp_canister,4,76,14,127.0,2.0
C++,36,owent/atframe_utils,4,85,31,1276.0,6.0
C++,37,vanillapdf/vanillapdf,4,13,1,2686.0,3.0
C++,38,wysaid/CameraCapture,4,101,17,354.0,4.0
C++,39,Apra-Labs/ApraPipes,2,33,36,398.0,25.0
C++,40,Mq-b/Lab2QRCode,2,15,10,138.0,8.0
C++,41,PlayFab/gsdk,2,165,118,217.0,35.0
C++,42,apache/tvm-ffi,2,361,64,481.0,36.0
C++,43,ecubus/EcuBus-Pro,2,735,197,1316.0,14.0
C++,44,electron/electron,2,120476,17046,30120.0,1563.0
C++,45,ezEngine/ezEngine,2,1914,234,6808.0,62.0
C++,46,fstark/macflim,2,110,5,395.0,4.0
C++,47,hsaliak/std_slop,2,13,1,960.0,3.0
C++,48,j3soon/ros2-essentials,2,40,11,888.0,6.0
C++,49,kvcache-ai/Mooncake,2,4920,599,963.0,158.0
C++,50,matajoh/libnpy,2,26,4,48.0,2.0
C++,51,mcpp-community/mcpp-style-ref,2,31,2,14.0,3.0
C++,52,ml-explore/mlx-swift,2,1645,162,410.0,42.0
C++,53,openharmony/graphic_graphic_2d,2,12,5,47422.0,1482.0
C++,54,tenstorrent/tt-llk,2,35,27,1255.0,69.0
C++,55,torch-spyre/torch-spyre,2,37,87,330.0,36.0
C++,56,ztxz16/fastllm,2,4173,416,5075.0,62.0
C++,57,crazyguitar/cppcheatsheet,1,259,49,794.0,7.0
Go,1,moasq/nanowave,345,31,7,49.0,3.0
