rank,repo,skill_count,mainLanguage,stars,forks,commits,contributors,html_url
1,a5c-ai/babysitter,8082,JavaScript,441,24,1028.0,10.0,https://github.com/a5c-ai/babysitter
2,openteams-lab/openteams,1730,Rust,73,5,1781.0,53.0,https://github.com/openteams-lab/openteams
3,danielmiessler/Personal_AI_Infrastructure,1092,TypeScript,9985,1401,575.0,24.0,https://github.com/danielmiessler/Personal_AI_Infrastructure
4,proffesor-for-testing/agentic-qe,861,TypeScript,250,48,1153.0,7.0,https://github.com/proffesor-for-testing/agentic-qe
5,ruvnet/ruflo,798,TypeScript,21050,2318,5960.0,12.0,https://github.com/ruvnet/ruflo
6,hainamchung/agent-assistant,780,Python,36,14,13.0,1.0,https://github.com/hainamchung/agent-assistant
7,nWave-ai/nWave,726,Python,256,30,68.0,7.0,https://github.com/nWave-ai/nWave
8,laraxot/laravelpizza.com,714,PHP,26,22,505.0,2.0,https://github.com/laraxot/laravelpizza.com
9,gtmagents/gtm-agents,682,Python,115,17,18.0,2.0,https://github.com/gtmagents/gtm-agents
10,sequenzia/agent-alchemy,636,Python,13,1,272.0,1.0,https://github.com/sequenzia/agent-alchemy
11,eddiebelaval/squire,600,Python,14,3,13.0,1.0,https://github.com/eddiebelaval/squire
12,yonatangross/orchestkit,558,TypeScript,117,13,339.0,2.0,https://github.com/yonatangross/orchestkit
13,malue-ai/dazee-small,522,Python,30,0,193.0,9.0,https://github.com/malue-ai/dazee-small
14,DNYoussef/context-cascade,504,Python,22,6,238.0,1.0,https://github.com/DNYoussef/context-cascade
15,hivellm/rulebook,459,TypeScript,10,1,423.0,3.0,https://github.com/hivellm/rulebook
16,kriegcloud/beep-effect,441,TypeScript,46,5,7803.0,728.0,https://github.com/kriegcloud/beep-effect
17,jmagly/aiwg,414,TypeScript,97,14,648.0,4.0,https://github.com/jmagly/aiwg
18,Zendevve/Antigravity-Usage,378,TypeScript,32,3,20.0,1.0,https://github.com/Zendevve/Antigravity-Usage
19,udecode/better-convex,360,TypeScript,379,28,393.0,9.0,https://github.com/udecode/better-convex
20,frumu-ai/tandem,351,Rust,73,7,1206.0,5.0,https://github.com/frumu-ai/tandem
21,CharlesWiltgen/Axiom,348,TypeScript,629,52,466.0,1.0,https://github.com/CharlesWiltgen/Axiom
22,hzqst/CS2_VibeSignatures,348,Python,22,2,666.0,3.0,https://github.com/hzqst/CS2_VibeSignatures
23,moasq/nanowave,345,Go,31,7,49.0,3.0,https://github.com/moasq/nanowave
24,senweaver/senweaver-ide,339,TypeScript,15,0,63.0,4.0,https://github.com/senweaver/senweaver-ide
25,giuseppe-trisciuoglio/developer-kit,336,Python,161,11,380.0,3.0,https://github.com/giuseppe-trisciuoglio/developer-kit
26,CraftOS-dev/CraftBot,326,Python,55,5,494.0,4.0,https://github.com/CraftOS-dev/CraftBot
27,Luohaothu/everything-codex,318,JavaScript,11,1,92.0,24.0,https://github.com/Luohaothu/everything-codex
28,moorestech/moorestech,315,C#,63,7,9821.0,15.0,https://github.com/moorestech/moorestech
29,6BNBN/FlowPilot,300,TypeScript,101,7,169.0,1.0,https://github.com/6BNBN/FlowPilot
30,elophanto/EloPhanto,298,Python,34,5,277.0,3.0,https://github.com/elophanto/EloPhanto
31,nirholas/agenti,294,TypeScript,42,12,182.0,4.0,https://github.com/nirholas/agenti
32,openakita/openakita,292,Python,1219,150,1312.0,7.0,https://github.com/openakita/openakita
33,wshobson/agents,292,Python,31239,3426,242.0,41.0,https://github.com/wshobson/agents
