language,artifact,count,skill_md_repo_count,pct_of_skill_md_repos
C,CLAUDE.md,7,21,33.333333333333336
C,AGENTS.md,8,21,38.095238095238095
C,copilot-instructions.md,2,21,9.523809523809524
C,.cursorrules.md,0,21,0.0
C,.instructions.md,0,21,0.0
C,GEMINI.md,0,21,0.0
C#,CLAUDE.md,34,117,29.05982905982906
C#,AGENTS.md,40,117,34.18803418803419
C#,copilot-instructions.md,44,117,37.60683760683761
C#,.cursorrules.md,0,117,0.0
C#,.instructions.md,0,117,0.0
C#,GEMINI.md,1,117,0.8547008547008547
C++,CLAUDE.md,24,52,46.15384615384615
C++,AGENTS.md,17,52,32.69230769230769
C++,copilot-instructions.md,9,52,17.307692307692307
C++,.cursorrules.md,0,52,0.0
C++,.instructions.md,0,52,0.0
C++,GEMINI.md,2,52,3.8461538461538463
Go,CLAUDE.md,137,306,44.77124183006536
Go,AGENTS.md,118,306,38.56209150326797
Go,copilot-instructions.md,44,306,14.379084967320262
Go,.cursorrules.md,0,306,0.0
Go,.instructions.md,0,306,0.0
Go,GEMINI.md,12,306,3.9215686274509802
Java,CLAUDE.md,30,92,32.608695652173914
Java,AGENTS.md,30,92,32.608695652173914
Java,copilot-instructions.md,9,92,9.782608695652174
Java,.cursorrules.md,0,92,0.0
Java,.instructions.md,0,92,0.0
Java,GEMINI.md,3,92,3.260869565217391
JavaScript,CLAUDE.md,79,193,40.932642487046635
JavaScript,AGENTS.md,45,193,23.316062176165804
JavaScript,copilot-instructions.md,7,193,3.626943005181347
JavaScript,.cursorrules.md,0,193,0.0
JavaScript,.instructions.md,0,193,0.0
JavaScript,GEMINI.md,7,193,3.626943005181347
PHP,CLAUDE.md,26,69,37.68115942028985
PHP,AGENTS.md,16,69,23.18840579710145
PHP,copilot-instructions.md,10,69,14.492753623188406
PHP,.cursorrules.md,0,69,0.0
PHP,.instructions.md,0,69,0.0
PHP,GEMINI.md,2,69,2.898550724637681
Python,CLAUDE.md,343,806,42.55583126550869
Python,AGENTS.md,267,806,33.126550868486355
Python,copilot-instructions.md,63,806,7.816377171215881
Python,.cursorrules.md,0,806,0.0
Python,.instructions.md,0,806,0.0
Python,GEMINI.md,29,806,3.598014888337469
Rust,CLAUDE.md,154,308,50.0
Rust,AGENTS.md,138,308,44.8051948051948
Rust,copilot-instructions.md,19,308,6.1688311688311686
Rust,.cursorrules.md,0,308,0.0
Rust,.instructions.md,0,308,0.0
Rust,GEMINI.md,11,308,3.5714285714285716
TypeScript,CLAUDE.md,533,1186,44.94097807757167
TypeScript,AGENTS.md,485,1186,40.89376053962901
TypeScript,copilot-instructions.md,115,1186,9.696458684654301
TypeScript,.cursorrules.md,0,1186,0.0
TypeScript,.instructions.md,0,1186,0.0
TypeScript,GEMINI.md,25,1186,2.1079258010118043
