rank,repo,skill_count,mainLanguage,stars,forks,commits,contributors,html_url
18,Niceck/hhxg-top-hhxg-python,1,Python,17,3,27.0,1.0,https://github.com/Niceck/hhxg-top-hhxg-python
19,NousResearch/pokemon-agent,1,Python,25,4,6.0,1.0,https://github.com/NousResearch/pokemon-agent
20,Nova-Hunting/nova-tracer,1,Python,84,8,27.0,4.0,https://github.com/Nova-Hunting/nova-tracer
21,Princeton-AI2-Lab/Avenir-Web,1,Python,18,0,22.0,2.0,https://github.com/Princeton-AI2-Lab/Avenir-Web
22,SamMorrowDrums/remarkable-mcp,1,Python,75,14,158.0,3.0,https://github.com/SamMorrowDrums/remarkable-mcp
23,Scottcjn/rustchain-mcp,1,Python,12,4,14.0,4.0,https://github.com/Scottcjn/rustchain-mcp
24,Snowflake-Labs/polaris-local-forge,1,Python,16,3,69.0,2.0,https://github.com/Snowflake-Labs/polaris-local-forge
25,Sunwood-ai-labs/SourceSage,1,Python,72,1,558.0,4.0,https://github.com/Sunwood-ai-labs/SourceSage
26,The-Universal-BRC-20-Extension/Simplicity,1,Python,11,4,8.0,2.0,https://github.com/The-Universal-BRC-20-Extension/Simplicity
27,ThirdKeyAI/SchemaPin,1,Python,13,6,104.0,2.0,https://github.com/ThirdKeyAI/SchemaPin
28,Topdu/OpenOCR,1,Python,1285,111,303.0,19.0,https://github.com/Topdu/OpenOCR
29,TurixAI/TuriX-CUA,1,Python,1533,166,188.0,4.0,https://github.com/TurixAI/TuriX-CUA
30,Zhen-Bo/pragmatic-clean-code-reviewer,1,Python,101,8,4.0,1.0,https://github.com/Zhen-Bo/pragmatic-clean-code-reviewer
31,ZhenHuangLab/collaborating-with-gemini-cli,1,Python,20,3,3.0,1.0,https://github.com/ZhenHuangLab/collaborating-with-gemini-cli
32,ZhuLinsen/daily_stock_analysis,1,Python,20078,20715,412.0,52.0,https://github.com/ZhuLinsen/daily_stock_analysis
33,a-yeyang/AI-researcher,1,Python,92,9,9.0,1.0,https://github.com/a-yeyang/AI-researcher
