rank,repo,skill_count,mainLanguage,stars,forks,commits,contributors,html_url
1,00xLazy/TradeOS,1,TypeScript,18,1,27.0,1.0,https://github.com/00xLazy/TradeOS
2,0range-x/triple-layer-memory,1,Python,12,0,7.0,1.0,https://github.com/0range-x/triple-layer-memory
3,0xNyk/xint,1,TypeScript,51,3,86.0,1.0,https://github.com/0xNyk/xint
4,ALBEDO-TABAI/video-copy-analyzer,1,Python,108,8,8.0,3.0,https://github.com/ALBEDO-TABAI/video-copy-analyzer
5,Agent-Field/SWE-AF,1,Python,435,64,149.0,7.0,https://github.com/Agent-Field/SWE-AF
6,AgentConnect/awiki-agent-id-message,1,Python,10,2,111.0,2.0,https://github.com/AgentConnect/awiki-agent-id-message
7,Agents365-ai/video-podcast-maker,1,TypeScript,175,18,116.0,1.0,https://github.com/Agents365-ai/video-podcast-maker
8,AndyShaman/whisk-proxy,1,JavaScript,11,7,4.0,1.0,https://github.com/AndyShaman/whisk-proxy
9,ArcInstitute/SRAgent,1,Python,159,32,366.0,1.0,https://github.com/ArcInstitute/SRAgent
10,Assangejulian/screen_cotrol_for_Ubuntu,1,Python,21,0,4.0,1.0,https://github.com/Assangejulian/screen_cotrol_for_Ubuntu
11,AytuncYildizli/reprompter,1,JavaScript,19,3,76.0,4.0,https://github.com/AytuncYildizli/reprompter
12,BayramAnnakov/synthetic-market-research,1,Python,22,3,4.0,1.0,https://github.com/BayramAnnakov/synthetic-market-research
13,BuildGreatProducts/plaid,1,JavaScript,17,3,33.0,2.0,https://github.com/BuildGreatProducts/plaid
14,CaliCastle/seedhub-cli,1,Python,63,5,3.0,1.0,https://github.com/CaliCastle/seedhub-cli
15,CryptoLabInc/rune,1,Python,13,2,45.0,3.0,https://github.com/CryptoLabInc/rune
16,DenisSergeevitch/youtube-poop-video-maker,1,Python,28,0,5.0,1.0,https://github.com/DenisSergeevitch/youtube-poop-video-maker
17,DomVinyard/NotMCP,1,Python,10,1,17.0,1.0,https://github.com/DomVinyard/NotMCP
