language,total,found_count,prevalence_pct
TypeScript,28965,1313,4.533057137925082
Python,44700,896,2.004474272930649
Rust,12576,338,2.6876590330788805
Go,15598,334,2.141300166688037
JavaScript,16801,209,1.243973573001607
C#,8678,126,1.4519474533302603
Java,8758,107,1.2217401233158256
PHP,7126,75,1.0524838619141172
C++,9084,57,0.6274768824306473
C,4984,23,0.46147672552166935
(unknown),15,0,0.0
