rank,assets_file_count,repo,mainLanguage,stars,forks,commits,contributors
174,2,chu2bard/pinion-os,TypeScript,356,28,175.0,1.0
175,2,thangchung/agent-engineering-experiment,C#,12,1,23.0,1.0
176,2,axone-protocol/contracts,Rust,123,19,2210.0,17.0
177,2,IJONIS/geo-lint,TypeScript,15,1,29.0,1.0
178,2,VoltAgent/voltagent,TypeScript,6723,656,1652.0,61.0
179,2,datascienceworld-kan/vinagent,Python,71,11,186.0,4.0
180,2,WebMCP-org/npm-packages,TypeScript,34,5,433.0,5.0
181,2,goplus/llcppg,Go,29,11,863.0,10.0
182,2,kortix-ai/lss,Python,11,2,32.0,2.0
183,2,UKGovernmentBEIS/inspect_ai,Python,1828,426,4890.0,193.0
184,2,vana-com/data-connect,TypeScript,21,3,662.0,10.0
185,2,meridianlabs-ai/inspect_swe,Python,14,16,262.0,12.0
186,2,Sunwood-ai-labs/SourceSage,Python,72,1,558.0,4.0
187,2,kingbootoshi/codex-orchestrator,TypeScript,231,36,20.0,3.0
188,2,VisActor/VBI,TypeScript,22,5,1870.0,14.0
189,2,lil-id/ajarinaja,TypeScript,11,4,343.0,3.0
190,2,microsoft/aitour26-WRK541-real-world-code-migration-with-github-copilot-agent-mode,C#,406,67,104.0,12.0
191,2,eaplatanios/ryft,Rust,10,1,32.0,1.0
192,1,aallan/vera,Python,40,2,434.0,3.0
193,1,iurysza/android-use,TypeScript,12,1,29.0,1.0
194,1,fr33d3m0n/threat-modeling,Python,200,25,19.0,1.0
195,1,BuildGreatProducts/plaid,JavaScript,17,3,33.0,2.0
196,1,sinzin91/search-sessions,Rust,15,0,22.0,4.0
197,1,goldk3y/mastra-system-check,JavaScript,10,0,8.0,1.0
198,1,0xNyk/xint,TypeScript,51,3,86.0,1.0
199,1,wjt0321/china-stock-analyst,Python,10,4,18.0,2.0
200,1,timf34/arxiv2md,Python,111,9,76.0,3.0
201,1,brandonwise/humanizer,JavaScript,21,1,13.0,3.0
202,1,ubermenchh/anki-cli,Python,18,2,34.0,2.0
203,1,EisonMe/newspaper-brief,Python,37,4,6.0,1.0
204,1,axtonliu/smart-illustrator,TypeScript,407,57,61.0,1.0
205,1,jzOcb/context-doctor,Python,103,3,3.0,1.0
206,0,Azure/autorest.python,Python,101,62,2460.0,36.0
207,0,Azure/autorest.typescript,TypeScript,184,81,2677.0,50.0
208,0,Azure/azqr,Go,747,135,991.0,23.0
209,0,Azure/azure-sdk-for-go,Go,1800,965,9242.0,274.0
210,0,Azure/azure-sdk-for-rust,Rust,868,340,3107.0,196.0
211,0,Azure/contentflow,Python,13,2,35.0,3.0
212,0,Azure/kubelogin,Go,562,117,312.0,65.0
213,0,Azure/typespec-azure,TypeScript,26,71,1762.0,57.0
214,0,Azure99/BlossomData,Python,28,3,179.0,1.0
215,0,AzureAD/microsoft-authentication-library-for-dotnet,C#,1494,395,4268.0,125.0
216,0,AzureAD/microsoft-identity-web,C#,773,254,1810.0,94.0
217,0,AzureCosmosDB/cosmosdb-agent-kit,JavaScript,22,6,64.0,4.0
218,0,BA-CalderonMorales/terminal-jarvis,Rust,122,16,405.0,4.0
219,0,BANANASJIM/rdc-cli,Python,47,7,216.0,1.0
220,0,BRO3886/gtasks,Go,137,18,120.0,4.0
221,0,BRO3886/healthsync,Go,35,3,52.0,2.0
222,0,BRO3886/rem,Go,28,1,53.0,1.0
223,0,BV-Venky/excalidraw-architect-mcp,Python,73,4,46.0,3.0
224,0,BadC-mpany/lilith-zero,Rust,14,1,238.0,3.0
225,0,Balneario-de-Cofrentes/notion-cli-agent,TypeScript,54,8,53.0,6.0
226,0,BauplanLabs/bauplan-mcp-server,Python,11,2,63.0,4.0
227,0,BayramAnnakov/synthetic-market-research,Python,22,3,4.0,1.0
228,0,BellumGens/bellum-gens,TypeScript,11,4,2997.0,9.0
229,0,Bengerthelorf/pikpaktui,Rust,10,0,193.0,1.0
230,0,BetterStacks/unrag,TypeScript,14,0,118.0,2.0
231,0,Bigsy/mcpmu,Go,51,1,70.0,2.0
232,0,Bin-Huang/camoufox-cli,Python,138,10,46.0,1.0
233,0,BitYoungjae/ChalKak,Rust,39,1,52.0,2.0
234,0,Bl4nk44/Audiovault,Python,10,1,302.0,4.0
235,0,Blankeos/crabcode,Rust,12,1,98.0,1.0
236,0,Blazemeter/bzm-mcp,Python,24,4,190.0,7.0
237,0,BlkLeg/CircuitBreaker,JavaScript,177,7,138.0,3.0
238,0,BlocUnited-LLC/mozaiks,Python,13,0,30.0,1.0
239,0,BloomBooks/BloomDesktop,C#,41,18,23996.0,38.0
240,0,BrainBlend-AI/atomic-agents,Python,5759,476,856.0,29.0
241,0,BrownFineSecurity/iothackbot,Python,682,106,8.0,1.0
242,0,BulloRosso/etienne,TypeScript,16,2,409.0,2.0
243,0,CRJFisher/ariadne,TypeScript,16,1,1436.0,3.0
244,0,CURRENTF/Sparse-vLLM,Python,30,3,21.0,1.0
245,0,CaliCastle/seedhub-cli,Python,63,5,3.0,1.0
246,0,Cambly/syntax,TypeScript,12,12,638.0,29.0
247,0,Canner/wren-engine,Java,563,167,1245.0,28.0
248,0,CaoMeiYouRen/caomei-auth,TypeScript,216,15,1178.0,5.0
249,0,CatKang/catkang.github.io,JavaScript,26,11,222.0,2.0
250,0,CellixJs/cellixjs,TypeScript,16,0,812.0,8.0
251,0,CesiumGS/cesium-ai-integrations,TypeScript,24,2,89.0,4.0
252,0,ChainSafe/lodestar,TypeScript,1405,439,11116.0,149.0
253,0,ChaosChain/chaoschain,TypeScript,22,15,199.0,6.0
254,0,CharlesWiltgen/Axiom,TypeScript,629,52,466.0,1.0
255,0,Charlie85270/Dorothy,TypeScript,203,30,161.0,4.0
256,0,Chemaclass/unspent,PHP,14,0,104.0,1.0
257,0,Chen-zexi/open-ptc-agent,Python,693,80,44.0,1.0
258,0,Chia-Network/cadt,JavaScript,39,14,2574.0,29.0
259,0,ChicagoHAI/OpenAIReview,Python,43,4,73.0,6.0
260,0,ChristopherKahler/carl,Python,208,23,33.0,1.0
261,0,ChurchCRM/CRM,PHP,830,520,13788.0,87.0
262,0,CircleCI-Public/chunk-cli,TypeScript,28,2,155.0,10.0
263,0,Claudate/project-multilevel-index,JavaScript,93,4,45.0,1.0
264,0,CloudAI-X/opencode-workflow,TypeScript,183,17,5.0,1.0
265,0,Clyra-AI/gait,Go,11,3,268.0,3.0
266,0,CodSpeedHQ/codspeed,Rust,108,12,580.0,6.0
267,0,Code-MonkeyZhang/mini-agent-ts,TypeScript,10,1,84.0,2.0
268,0,Codename-11/Stash-Downloader,TypeScript,10,2,388.0,2.0
269,0,Codename-Inc/spectre,JavaScript,115,12,212.0,2.0
270,0,Codennnn/Green-Wall,TypeScript,793,43,443.0,8.0
271,0,Cognigy/Extensions,TypeScript,30,59,1773.0,53.0
272,0,CoinStatsHQ/coinstats-cli,TypeScript,13,0,9.0,1.0
273,0,CommonHuman-Lab/hexstrike-ai-community-edition,Python,23,6,73.0,3.0
274,0,Community-Access/accessibility-agents,JavaScript,186,18,217.0,8.0
275,0,ComposioHQ/composio,TypeScript,27376,4483,3310.0,42.0
276,0,Conectate/ct-elements,TypeScript,15,3,287.0,1.0
277,0,Consensys/linea-monorepo,Go,113,132,3371.0,74.0
278,0,ConstantineB6/comfy-pilot,Python,131,26,47.0,2.0
279,0,CoolBanHub/aggo,Go,21,1,103.0,2.0
280,0,CooperAgent/cooper,TypeScript,67,7,583.0,11.0
281,0,CopilotKit/llmock,TypeScript,92,4,104.0,3.0
282,0,CoplayDev/unity-mcp,C#,7039,843,1004.0,43.0
283,0,CoreWCF/CoreWCF,C#,1763,312,689.0,97.0
284,0,Cranot/roam-code,Python,417,37,190.0,3.0
285,0,Creatiwity/siren,Rust,20,1,427.0,5.0
286,0,CryptoLabInc/rune,Python,13,2,45.0,3.0
287,0,D4Vinci/Scrapling,Python,29644,2248,1235.0,11.0
288,0,DGouron/review-flow,TypeScript,27,6,257.0,5.0
289,0,DNYoussef/context-cascade,Python,22,6,238.0,1.0
290,0,DV0x/creative-ad-agent,TypeScript,83,23,21.0,1.0
291,0,DanConwayDev/ngit-cli,Rust,49,6,886.0,6.0
292,0,DanSnow/vue-recaptcha,TypeScript,897,137,2905.0,26.0
293,0,DangJin/pdf2video,TypeScript,370,31,5.0,1.0
294,0,Danm72/mission-control,TypeScript,72,16,24.0,1.0
295,0,DataDog/datadog-agent,Go,3544,1389,32797.0,813.0
296,0,DataDog/dd-trace-dotnet,C#,546,154,6355.0,114.0
297,0,DataDog/dd-trace-java,Java,696,329,16788.0,262.0
298,0,DataDog/saluki,Rust,33,9,1057.0,26.0
299,0,DataRecce/recce,TypeScript,446,25,4766.0,20.0
300,0,DaveSkender/Stock.Indicators,C#,1184,266,1274.0,20.0
301,0,DavidROliverBA/ArchitectKB,JavaScript,16,5,103.0,2.0
302,0,Debbl/shadcn-hooks,TypeScript,50,5,217.0,3.0
303,0,DecapodLabs/decapod,Rust,179,19,1565.0,5.0
304,0,Deepractice/AgentX,TypeScript,82,9,809.0,20.0
305,0,Deepractice/RoleX,TypeScript,33,1,243.0,2.0
306,0,DemonDamon/AgenticX,Python,18,2,1104.0,2.0
307,0,DerstedtCasper/vcp-code-2.0,TypeScript,25,4,31948.0,884.0
308,0,DeusData/codebase-memory-mcp,C,666,69,95.0,5.0
309,0,DevExpGbb/gh-devlake,Go,14,4,103.0,4.0
310,0,Devolutions/UniGetUI,C#,21846,737,7743.0,100.0
311,0,Dimillian/CodexMonitor,TypeScript,3107,297,936.0,70.0
312,0,DoIT-Artificial-Intelligence/youtube-to-docs,Python,34,5,324.0,4.0
313,0,DolbonIn/ultraworker,Python,13,1,9.0,2.0
314,0,DomVinyard/NotMCP,Python,10,1,17.0,1.0
315,0,DomainLang/DomainLang,TypeScript,10,0,536.0,3.0
316,0,DotNetAge/mindx,Go,27,8,42.0,1.0
317,0,DotNetLabX/dotnet-microservices,C#,11,4,8.0,1.0
318,0,Dowwie/tasker,Go,18,1,69.0,1.0
319,0,DwainTR/superpowers-copilot,JavaScript,10,0,2.0,1.0
320,0,DyHex/POMWright,TypeScript,54,8,240.0,5.0
321,0,EasyCorp/EasyAdminBundle,PHP,4271,1095,8194.0,633.0
322,0,Ed1s0nZ/CyberStrikeAI,Go,2831,461,587.0,2.0
323,0,Ekozmaster/Vibe-Reverse-Engineering,Python,12,2,9.0,2.0
324,0,EmZod/Speak-Turbo,Python,16,1,32.0,1.0
325,0,EmaFanClub/EverMemoryArchive,TypeScript,18,9,80.0,15.0
326,0,EnactProtocol/enact,TypeScript,17,3,213.0,2.0
327,0,EthanAlgoX/MarketBot,Python,55,9,322.0,1.0
328,0,EtienneLescot/n8n-as-code,TypeScript,485,65,715.0,4.0
329,0,Evan-XYZ/YMOS,Python,49,9,18.0,1.0
330,0,EvannZhongg/nanobot-desktop,Python,30,12,274.0,39.0
331,0,Eventual-Inc/Daft,Rust,5301,416,4012.0,137.0
332,0,EvotecIT/UltimateHtmlViewer,TypeScript,12,1,171.0,2.0
333,0,Expensify/App,TypeScript,4754,3625,236556.0,2325.0
334,0,FHIR/sql-on-fhir-v2,JavaScript,131,34,826.0,30.0
335,0,FRCTeam1073-TheForceTeam/viper,JavaScript,19,9,1449.0,12.0
336,0,FREEZONEX/Tier0-Edge,JavaScript,161,24,69.0,6.0
337,0,FaberSober/fa-antd-admin,TypeScript,20,3,717.0,2.0
338,0,Fannon/u-he-preset-randomizer,TypeScript,24,3,167.0,3.0
339,0,Feel-ix-343/markdown-oxide,Rust,1991,75,808.0,40.0
340,0,FilipeJesus/lanes,TypeScript,10,1,366.0,3.0
341,0,Finesssee/linear-cli,Rust,49,9,283.0,4.0
342,0,FireRedTeam/FireRed-OpenStoryline,Python,1096,106,29.0,6.0
343,0,FishPiOffical/tiaoom,TypeScript,17,13,455.0,7.0
344,0,Flexasaurusrex/OpenPaw,TypeScript,12,0,14274.0,800.0
345,0,ForLoopCodes/contextplus,TypeScript,1463,93,80.0,7.0
346,0,Forget-C/Jellyfish,TypeScript,104,12,37.0,2.0
347,0,FouadMagdy01/RNCopilot,TypeScript,25,8,23.0,1.0
348,0,FredericMN/Coder-Codex-Gemini,Python,163,18,69.0,2.0
349,0,FunnyWolf/agentic-soc-platform,Python,604,79,199.0,1.0
350,0,G-Core/gcore-go,Go,35,1,745.0,7.0
351,0,G-Core/gcore-python,Python,40,2,731.0,9.0
352,0,G4brym/workers-qb,TypeScript,386,25,212.0,9.0
353,0,GCWing/BitFun,TypeScript,451,47,305.0,11.0
354,0,GGPrompts/TFE,Go,12,1,233.0,1.0
355,0,GGPrompts/TabzChrome,TypeScript,134,10,1074.0,1.0
356,0,Galbaz1/video-research-mcp,Python,15,2,217.0,2.0
357,0,GeminiLight/MindOS,TypeScript,57,0,37.0,1.0
358,0,GeneBO98/tradetally,JavaScript,192,37,907.0,11.0
359,0,Gentleman-Programming/engram,Go,1343,129,114.0,8.0
360,0,GeoloeG-IsT/agents-reverse-engineer,TypeScript,11,4,705.0,1.0
361,0,GigabrainGG/HyPaper,TypeScript,17,5,15.0,1.0
362,0,GitHamza0206/simba,TypeScript,1438,104,437.0,7.0
363,0,GitTools/GitVersion,C#,3093,663,7581.0,375.0
364,0,GoBeromsu/Metadata-Auto-Classifier,TypeScript,49,3,529.0,2.0
365,0,GoBetterAuth/go-better-auth,Go,158,18,109.0,3.0
366,0,GoPlausible/algorand-mcp,TypeScript,41,18,239.0,2.0
367,0,GoPlusSecurity/agentguard,TypeScript,354,54,18.0,2.0
368,0,Goldziher/ai-rulez,Go,93,7,339.0,4.0
369,0,Goldziher/spikard,Rust,101,4,1714.0,3.0
370,0,GoogleChrome/chromium-dashboard,Python,715,488,4636.0,76.0
371,0,GoogleChrome/webstatus.dev,Go,228,47,1645.0,16.0
372,0,GoogleChromeLabs/web-ai-demos,JavaScript,288,67,510.0,13.0
373,0,GoogleCloudPlatform/db-context-enrichment,Go,24,5,86.0,7.0
374,0,GoogleCloudPlatform/scion,Go,17,3,1690.0,2.0
375,0,GraflowAI/graflow,Python,36,0,419.0,1.0
376,0,GreptimeTeam/docs,TypeScript,44,52,1626.0,62.0
377,0,GuDaStudio/collaborating-with-codex,Python,120,11,5.0,2.0
378,0,GuDaStudio/collaborating-with-gemini,Python,12,3,6.0,2.0
379,0,HAI3org/HAI3,TypeScript,27,33,676.0,18.0
380,0,HKUDS/DeepCode,Python,14890,2011,139.0,8.0
381,0,HKUDS/nanobot,Python,33504,5575,1278.0,166.0
382,0,HKUSTDial/DeepEar,Python,64,8,68.0,1.0
383,0,HSn0918/kubernetes-mcp,Go,29,3,89.0,3.0
384,0,Hack23/cia,Java,213,53,17026.0,25.0
385,0,Hacknock/lobsterjs,TypeScript,36,5,101.0,1.0
386,0,HammerGPT/Hyper-Alpha-Arena,Python,684,199,536.0,7.0
387,0,Harmeet10000/AgentNexus-LangChain-FastAPI,Python,21,4,46.0,1.0
388,0,Harryoung/efka,Python,94,17,152.0,1.0
389,0,Harvest-Forged-Code/Analyser,Python,10,0,127.0,1.0
390,0,HathorNetwork/hathor-wallet-lib,TypeScript,22,14,871.0,14.0
391,0,HazelnutParadise/insyra,Go,52,2,1559.0,7.0
392,0,HeadyZhang/agent-audit,Python,107,11,70.0,14.0
393,0,Helweg/opencode-codebase-index,TypeScript,18,4,145.0,3.0
394,0,Heyvhuang/ship-faster,TypeScript,319,54,81.0,3.0
395,0,Hidden-History/ai-memory,Python,24,4,325.0,3.0
396,0,Higangssh/ghostmeet,Python,12,0,16.0,1.0
397,0,Higangssh/homebutler,Go,28,6,138.0,4.0
398,0,Hmbown/Hegelion,Python,137,12,264.0,5.0
399,0,Hmbown/MiniMax-CLI,Rust,10,3,90.0,1.0
400,0,Hmbown/aleph,Python,176,19,114.0,3.0
401,0,Hmbown/rlmagents,Python,44,2,688.0,58.0
402,0,HoangTheQuyen/think-better,Python,58,11,43.0,4.0
403,0,HolmesGPT/holmesgpt,Python,1972,258,1256.0,53.0
404,0,HuangShengZeBlueSky/MLP_AutoResearch,Python,32,0,8.0,1.0
