rank,skill_count,repo,mainLanguage,stars,forks,commits,contributors
92,46,xenitV1/Antigravity-Workflows,Python,129,21,23.0,3.0
93,45,bitsoex/bitso-java,JavaScript,36,30,414.0,17.0
94,45,pacphi/sindri,Rust,11,6,386.0,3.0
95,44,anton-abyzov/specweave,TypeScript,88,9,2579.0,6.0
96,44,davidlee/spec-driver,Python,15,2,785.0,2.0
97,44,drn/dots,Go,23,4,2484.0,3.0
98,43,mikeOnBreeze/cc-crossbeam,Python,145,53,69.0,1.0
99,42,Heyvhuang/ship-faster,TypeScript,319,54,81.0,3.0
100,42,Ibrahim-3d/conductor-orchestrator-superpowers,Python,275,30,18.0,1.0
101,42,daxaur/openpaw,TypeScript,78,2,117.0,2.0
102,42,linkerlin/PUAX,JavaScript,254,21,103.0,2.0
103,42,managedcode/Storage,C#,130,28,271.0,18.0
104,42,pbakaus/impeccable,JavaScript,8226,320,149.0,7.0
105,42,tobihagemann/turbo,Python,22,1,60.0,1.0
106,41,agent-sh/agnix,Rust,95,11,731.0,6.0
107,41,baotoq/micro-commerce,C#,93,25,1271.0,2.0
108,41,langcare/langcare-mcp-fhir,Go,15,2,45.0,1.0
109,41,vllm-project/semantic-router,Go,3393,571,1138.0,75.0
110,40,attilaszasz/sdd-pilot,TypeScript,37,1,135.0,1.0
111,40,j5ik2o/okite-ai,Python,73,2,248.0,2.0
112,40,jabrena/cursor-rules-java,Java,318,56,249.0,2.0
113,40,smallnest/langgraphgo,Go,209,34,328.0,10.0
114,40,xuey490/project,PHP,12,0,773.0,1.0
115,39,Fu-Jie/openwebui-extensions,Python,112,9,802.0,6.0
116,39,s-hiraoku/vscode-sidebar-terminal,TypeScript,12,7,1657.0,6.0
117,38,Finesssee/linear-cli,Rust,49,9,283.0,4.0
118,38,Kilo-Org/kilo-marketplace,Python,53,16,211.0,31.0
119,38,bpowers/simlin,Rust,92,18,2056.0,5.0
120,37,jpoley/flowspec,Python,12,1,1444.0,6.0
121,37,markuplint/markuplint,TypeScript,598,64,7712.0,48.0
122,37,mikeyobrien/rho,TypeScript,325,25,442.0,4.0
123,36,humansys/raise,Python,43,3,2.0,1.0
124,36,lintendo/Axhub-Make,TypeScript,26,9,64.0,2.0
125,36,poteto/noodle,Go,119,6,1396.0,2.0
126,36,prowler-cloud/prowler,Python,13314,2040,7879.0,367.0
127,35,DotNetAge/mindx,Go,27,8,42.0,1.0
128,35,Hidden-History/ai-memory,Python,24,4,325.0,3.0
129,35,justinchuby/flightdeck,TypeScript,11,4,2053.0,5.0
130,35,kivo360/OmoiOS,Python,37,4,701.0,5.0
131,35,lhl/realitycheck,Python,17,0,183.0,1.0
