repo	dir_name	reason	action	in_A	in_B	in_both	present_anywhere
agentscope-ai/agentscope	agentscope-ai__agentscope	name_filter:agent	moved	0	0	0	0
agentscope-ai/agentscope-samples	agentscope-ai__agentscope-samples	name_filter:agent	moved	0	0	0	0
agentset-ai/agentset	agentset-ai__agentset	name_filter:agent	moved	0	0	0	0
aitytech/agentkits-marketing	aitytech__agentkits-marketing	name_filter:agent	moved	0	1	0	1
aitytech/agentkits-memory	aitytech__agentkits-memory	name_filter:agent	moved	0	0	0	0
aldegad/agent-picker	aldegad__agent-picker	name_filter:agent	moved	0	0	0	0
ambient-code/agentready	ambient-code__agentready	name_filter:agent	moved	0	0	0	0
amtiYo/agents	amtiYo__agents	name_filter:agent	moved	0	0	0	0
antdigital-ai/agentic-ui	antdigital-ai__agentic-ui	name_filter:agent	moved	0	0	0	0
arun-gupta/agentic-tictactoe	arun-gupta__agentic-tictactoe	name_filter:agent	moved	0	0	0	0
asheshgoplani/agent-deck	asheshgoplani__agent-deck	name_filter:agent	moved	0	0	0	0
astronomer/agents	astronomer__agents	name_filter:agent	moved	0	0	0	0
avivsinai/agent-message-queue	avivsinai__agent-message-queue	name_filter:agent	moved	0	0	0	0
aws-deadline/deadline-cloud-worker-agent	aws-deadline__deadline-cloud-worker-agent	name_filter:agent	moved	0	0	0	0
aws-samples/sample-strands-agent-with-agentcore	aws-samples__sample-strands-agent-with-agentcore	name_filter:agent	moved	0	0	0	0
basnijholt/agent-cli	basnijholt__agent-cli	name_filter:agent	moved	0	0	0	0
botiverse/agent-vault	botiverse__agent-vault	name_filter:agent	moved	0	0	0	0
buildoak/agent-mux	buildoak__agent-mux	name_filter:agent	moved	0	0	0	0
bytedance/agentkit-samples	bytedance__agentkit-samples	name_filter:agent	moved	1	0	0	1
callstackincubator/agent-device	callstackincubator__agent-device	name_filter:agent	moved	0	0	0	0
cascade-protocol/agentbox	cascade-protocol__agentbox	name_filter:agent	moved	0	0	0	0
celltype/celltype-agent	celltype__celltype-agent	name_filter:agent	moved	0	0	1	1
chrispangg/deepagentsdk	chrispangg__deepagentsdk	name_filter:agent	moved	0	0	0	0
coleam00/ottomator-agents	coleam00__ottomator-agents	name_filter:agent	moved	0	0	0	0
collaborative-deep-research/agent-papers-cli	collaborative-deep-research__agent-papers-cli	name_filter:agent	moved	0	0	0	0
dallay/agentsync	dallay__agentsync	name_filter:agent	moved	0	0	0	0
darrenhinde/OpenAgentsControl	darrenhinde__OpenAgentsControl	name_filter:agent	moved	0	0	0	0
datascienceworld-kan/vinagent	datascienceworld-kan__vinagent	name_filter:agent	moved	0	0	0	0
datht-work/safeai-global-agent	datht-work__safeai-global-agent	name_filter:agent	moved	0	0	0	0
dcSpark/shinkai-local-ai-agents	dcSpark__shinkai-local-ai-agents	name_filter:agent	moved	0	0	0	0
deepagents-ai/agent-backend	deepagents-ai__agent-backend	name_filter:agent	moved	0	0	0	0
deepclause/agentvm	deepclause__agentvm	name_filter:agent	moved	0	0	0	0
different-ai/agent-bank	different-ai__agent-bank	name_filter:agent	moved	0	0	0	0
docker/docker-agent	docker__docker-agent	name_filter:agent	moved	0	0	0	0
dongbeixiaohuo/writing-agent	dongbeixiaohuo__writing-agent	name_filter:agent	moved	0	0	0	0
elliot35/deterministic-agent-control-protocol	elliot35__deterministic-agent-control-protocol	name_filter:agent	moved	0	0	0	0
evalstate/fast-agent	evalstate__fast-agent	name_filter:agent	moved	0	0	0	0
ferdousbhai/investor-agent	ferdousbhai__investor-agent	name_filter:agent	moved	0	0	0	0
ferdousbhai/tasty-agent	ferdousbhai__tasty-agent	name_filter:agent	moved	0	0	0	0
getsentry/dotagents	getsentry__dotagents	name_filter:agent	moved	0	0	0	0
gillkyle/agent-tail	gillkyle__agent-tail	name_filter:agent	moved	0	0	0	0
giosakti/duragent	giosakti__duragent	name_filter:agent	moved	0	0	0	0
goldengrape/Agent-company	goldengrape__Agent-company	name_filter:agent	moved	0	0	0	0
gtmagents/gtm-agents	gtmagents__gtm-agents	name_filter:agent	moved	1	1	1	1
hAcKlyc/MyAgents	hAcKlyc__MyAgents	name_filter:agent	moved	0	0	0	0
hainamchung/agent-assistant	hainamchung__agent-assistant	name_filter:agent	moved	1	1	1	1
hamr0/liteagents	hamr0__liteagents	name_filter:agent	moved	0	0	0	0
hao-ai-lab/research-agent	hao-ai-lab__research-agent	name_filter:agent	moved	0	0	0	0
hemanth/agentu	hemanth__agentu	name_filter:agent	moved	0	0	0	0
hodgesmr/agent-fecfile	hodgesmr__agent-fecfile	name_filter:agent	moved	0	0	0	0
hua-bang/pulse-agent	hua-bang__pulse-agent	name_filter:agent	moved	0	0	0	0
i-am-bee/agentstack	i-am-bee__agentstack	name_filter:agent	moved	1	1	0	1
itz4blitz/agentful	itz4blitz__agentful	name_filter:agent	moved	0	0	0	0
jackby03/agentic-collaboration-standard	jackby03__agentic-collaboration-standard	name_filter:agent	moved	1	0	0	1
jaredpalmer/agentik	jaredpalmer__agentik	name_filter:agent	moved	0	0	0	0
jnarowski/agentcmd	jnarowski__agentcmd	name_filter:agent	moved	0	0	0	0
joelhooks/agent-secrets	joelhooks__agent-secrets	name_filter:agent	moved	0	0	0	0
jonathan-vella/azure-agentic-infraops	jonathan-vella__azure-agentic-infraops	name_filter:agent	moved	0	1	0	1
jonathan-vella/azure-agentic-infraops-accelerator	jonathan-vella__azure-agentic-infraops-accelerator	name_filter:agent	moved	0	1	0	1
kagent-dev/kagent	kagent-dev__kagent	name_filter:agent	moved	0	0	0	0
kagenti/kagenti	kagenti__kagenti	name_filter:agent	moved	1	1	0	1
kasperjunge/agent-resources	kasperjunge__agent-resources	name_filter:agent	moved	0	0	0	0
kayba-ai/agentic-context-engine	kayba-ai__agentic-context-engine	name_filter:agent	moved	0	0	0	0
kevin1chun/robinhood-for-agents	kevin1chun__robinhood-for-agents	name_filter:agent	moved	0	0	0	0
kipeum86/contract-review-agent	kipeum86__contract-review-agent	name_filter:agent	moved	0	0	0	0
kongusen/loom-agent	kongusen__loom-agent	name_filter:agent	moved	0	0	0	0
kyopark2014/strands-agent	kyopark2014__strands-agent	name_filter:agent	moved	0	0	0	0
lambdaclass/eth-agent	lambdaclass__eth-agent	name_filter:agent	moved	0	0	0	0
langchain-ai/deepagents	langchain-ai__deepagents	name_filter:agent	moved	1	1	0	1
langchain-ai/deepagentsjs	langchain-ai__deepagentsjs	name_filter:agent	moved	0	0	0	0
leochiu-a/universal-agents	leochiu-a__universal-agents	name_filter:agent	moved	0	0	0	0
leonardsellem/codex-specialized-subagents	leonardsellem__codex-specialized-subagents	name_filter:agent	moved	0	0	0	0
letta-ai/agent-file	letta-ai__agent-file	name_filter:agent	moved	0	0	0	0
liqiongyu/agentpack	liqiongyu__agentpack	name_filter:agent	moved	0	0	0	0
lossyrob/phased-agent-workflow	lossyrob__phased-agent-workflow	name_filter:agent	moved	0	0	0	0
lsdefine/GenericAgent	lsdefine__GenericAgent	name_filter:agent	moved	0	0	0	0
memgrafter/flatagents	memgrafter__flatagents	name_filter:agent	moved	0	0	0	0
microsoft/Agent365-python	microsoft__Agent365-python	name_filter:agent	moved	0	0	0	0
microsoft/agent-framework	microsoft__agent-framework	name_filter:agent	moved	0	0	0	0
microsoft/aitour26-WRK541-real-world-code-migration-with-github-copilot-agent-mode	microsoft__aitour26-WRK541-real-world-code-migration-with-github-copilot-agent-mode	name_filter:agent	moved	0	0	0	0
microsoft/vscode-agent-lab-soc-ops	microsoft__vscode-agent-lab-soc-ops	name_filter:agent	moved	0	0	0	0
mitsuhiko/agent-stuff	mitsuhiko__agent-stuff	name_filter:agent	moved	0	0	0	0
modelscope/AgentJet	modelscope__AgentJet	name_filter:agent	moved	0	0	0	0
modelscope/ms-agent	modelscope__ms-agent	name_filter:agent	moved	0	0	0	0
motoya0118/pavlok_CLI_agent	motoya0118__pavlok_CLI_agent	name_filter:agent	moved	0	0	0	0
mverab/eGEOagents	mverab__eGEOagents	name_filter:agent	moved	0	0	0	0
neo4j-labs/agent-memory	neo4j-labs__agent-memory	name_filter:agent	moved	0	0	0	0
nerdai/llm-agents-from-scratch	nerdai__llm-agents-from-scratch	name_filter:agent	moved	0	0	0	0
newrelic/newrelic-dotnet-agent	newrelic__newrelic-dotnet-agent	name_filter:agent	moved	0	0	0	0
nirholas/agenti	nirholas__agenti	name_filter:agent	moved	0	0	0	0
njbrake/agent-of-empires	njbrake__agent-of-empires	name_filter:agent	moved	0	0	0	0
okahu-demos/adk-travel-agent	okahu-demos__adk-travel-agent	name_filter:agent	moved	0	0	0	0
omar-A-hassan/medsci-agent	omar-A-hassan__medsci-agent	name_filter:agent	moved	0	0	0	0
onvoyage-ai/voyage-geo-agent	onvoyage-ai__voyage-geo-agent	name_filter:agent	moved	0	0	0	0
open-gitagent/gitagent	open-gitagent__gitagent	name_filter:agent	moved	0	0	0	0
openJiuwen-ai/agent-core	openJiuwen-ai__agent-core	name_filter:agent	moved	0	0	0	0
openai/openai-agents-python	openai__openai-agents-python	name_filter:agent	moved	0	0	0	0
openkruise/agents	openkruise__agents	name_filter:agent	moved	0	0	0	0
oursky/skytest-agent	oursky__skytest-agent	name_filter:agent	moved	0	0	0	0
outfitter-dev/agents	outfitter-dev__agents	name_filter:agent	moved	0	0	0	0
owenliang/deepagent	owenliang__deepagent	name_filter:agent	moved	0	0	0	0
pacaplan/agent-gauntlet	pacaplan__agent-gauntlet	name_filter:agent	moved	0	0	0	0
partarstu/agentic-qa-framework	partarstu__agentic-qa-framework	name_filter:agent	moved	1	0	0	1
paulpreibisch/AgentVibes	paulpreibisch__AgentVibes	name_filter:agent	moved	0	0	0	0
pbakaus/agent-reviews	pbakaus__agent-reviews	name_filter:agent	moved	0	0	0	0
