repo,default_branch,stars,fork,archived,html_url,skill_count,skill_paths,total_files_in_skills,references_file_count,assets_file_count,scripts_file_count,other_file_count,scanned_at_utc,has_CLAUDE,has_AGENTS,has_COPILOT,id,name,isFork,commits,branches,releases,forks,mainLanguage,defaultBranch,license,homepage,watchers,stargazers,contributors,size,createdAt,pushedAt,updatedAt,totalIssues,openIssues,totalPullRequests,openPullRequests,blankLines,codeLines,commentLines,metrics,lastCommit,lastCommitSHA,hasWiki,isArchived,isDisabled,isLocked,languages,labels,topics
ace-step/ACE-Step-1.5,main,2939,false,false,https://github.com/ace-step/ACE-Step-1.5,5,.claude/skills/acestep-docs/SKILL.md;.claude/skills/acestep-lyrics-transcription/SKILL.md;.claude/skills/acestep-simplemv/SKILL.md;.claude/skills/acestep-songwriting/SKILL.md;.claude/skills/acestep/SKILL.md,33,0,0,16,12,2026-02-24T12:47:18Z,0,1,1,95620366,ace-step/ACE-Step-1.5,false,269,32,0,316,Python,main,MIT License,https://acemusic.ai/,28,2939,14,6628,2025-09-04T02:00:07,2026-02-05T11:41:03,2026-02-05T06:12:37,100,71,75,16,10804,223250,6114,"[{""blankLines"":9,""codeLines"":178686,""commentLines"":0,""language"":""Text""},{""blankLines"":5019,""codeLines"":23299,""commentLines"":5877,""language"":""Python""},{""blankLines"":17,""codeLines"":207,""commentLines"":0,""language"":""HTML""},{""blankLines"":33,""codeLines"":153,""commentLines"":8,""language"":""Bourne Shell""},{""blankLines"":0,""codeLines"":4305,""commentLines"":0,""language"":""JSON""},{""blankLines"":5472,""codeLines"":15015,""commentLines"":0,""language"":""Markdown""},{""blankLines"":244,""codeLines"":1492,""commentLines"":220,""language"":""DOS Batch""},{""blankLines"":10,""codeLines"":93,""commentLines"":9,""language"":""TOML""}]",2026-02-05T10:53:31,c36c0f6bdd8be433482705835afde5b0b1d0cd85,false,false,false,false,"{""Python"":1307401,""Batchfile"":56655,""Shell"":4787}",bug;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,
TheCraigHewitt/seomachine,main,319,false,false,https://github.com/TheCraigHewitt/seomachine,25,.claude/skills/ab-test-setup/SKILL.md;.claude/skills/analytics-tracking/SKILL.md;.claude/skills/competitor-alternatives/SKILL.md;.claude/skills/content-strategy/SKILL.md;.claude/skills/copy-editing/SKILL.md;.claude/skills/copywriting/SKILL.md;.claude/skills/email-sequence/SKILL.md;.claude/skills/form-cro/SKILL.md;.claude/skills/free-tool-strategy/SKILL.md;.claude/skills/launch-strategy/SKILL.md;.claude/skills/marketing-ideas/SKILL.md;.claude/skills/marketing-psychology/SKILL.md;.claude/skills/onboarding-cro/SKILL.md;.claude/skills/page-cro/SKILL.md;.claude/skills/paid-ads/SKILL.md;.claude/skills/paywall-upgrade-cro/SKILL.md;.claude/skills/popup-cro/SKILL.md;.claude/skills/pricing-strategy/SKILL.md;.claude/skills/product-marketing-context/SKILL.md;.claude/skills/programmatic-seo/SKILL.md;.claude/skills/referral-program/SKILL.md;.claude/skills/schema-markup/SKILL.md;.claude/skills/seo-audit/SKILL.md;.claude/skills/signup-flow-cro/SKILL.md;.claude/skills/social-content/SKILL.md,57,32,0,0,0,2026-02-24T12:47:16Z,1,0,0,95526652,TheCraigHewitt/seomachine,false,13,1,0,90,Python,main,MIT License,https://seomachine.io,10,319,1,570,2025-10-29T08:50:23,2026-02-02T07:21:54,2026-02-04T11:33:24,7,2,6,2,11605,36342,2524,"[{""blankLines"":2758,""codeLines"":11498,""commentLines"":2422,""language"":""Python""},{""blankLines"":11,""codeLines"":33,""commentLines"":0,""language"":""Text""},{""blankLines"":0,""codeLines"":69,""commentLines"":0,""language"":""JSON""},{""blankLines"":8824,""codeLines"":24625,""commentLines"":67,""language"":""Markdown""},{""blankLines"":12,""codeLines"":117,""commentLines"":35,""language"":""PHP""}]",2026-02-02T07:21:17,f40d9f6de5e36f336161b314292a300a95989a7b,true,false,false,false,"{""Python"":606718,""PHP"":5749}",bug;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,
agentic-mcp-tools/memora,main,269,false,false,https://github.com/agentic-mcp-tools/memora,1,.claude/skills/memora/SKILL.md,1,0,0,0,0,2026-02-24T12:47:26Z,1,0,0,95569072,agentic-mcp-tools/memora,false,189,2,22,29,Python,main,MIT License,,1,269,1,88693,2025-09-19T09:44:12,2026-02-08T05:23:29,2026-02-09T10:58:31,0,0,23,0,2681,11844,3546,"[{""blankLines"":0,""codeLines"":1678,""commentLines"":0,""language"":""JSON""},{""blankLines"":65,""codeLines"":245,""commentLines"":42,""language"":""Bourne Shell""},{""blankLines"":12,""codeLines"":65,""commentLines"":7,""language"":""TOML""},{""blankLines"":2078,""codeLines"":6764,""commentLines"":3391,""language"":""Python""},{""blankLines"":174,""codeLines"":1671,""commentLines"":0,""language"":""HTML""},{""blankLines"":180,""codeLines"":534,""commentLines"":0,""language"":""Markdown""},{""blankLines"":9,""codeLines"":91,""commentLines"":5,""language"":""Lua""},{""blankLines"":163,""codeLines"":796,""commentLines"":101,""language"":""TypeScript""}]",2026-02-05T06:01:29,902f364de5ee16d33cd6cd2d457ff8396e1cc72d,true,false,false,false,"{""Python"":438017,""HTML"":89986,""TypeScript"":30136,""Shell"":10356,""Lua"":3169}",bug;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,
aiming-lab/SimpleMem,main,2866,false,false,https://github.com/aiming-lab/SimpleMem,1,SKILL/simplemem-skill/SKILL.md,21,4,0,1,15,2026-02-24T12:47:27Z,0,0,0,95588284,aiming-lab/SimpleMem,false,54,3,0,279,Python,main,MIT License,,71,2866,11,25440,2026-01-01T11:53:40,2026-02-11T02:36:15,2026-02-14T07:13:43,21,2,14,0,5547,20038,4733,"[{""blankLines"":1861,""codeLines"":4894,""commentLines"":0,""language"":""Markdown""},{""blankLines"":13,""codeLines"":86,""commentLines"":3,""language"":""HTML""},{""blankLines"":11,""codeLines"":323,""commentLines"":0,""language"":""Text""},{""blankLines"":3566,""codeLines"":14220,""commentLines"":4691,""language"":""Python""},{""blankLines"":58,""codeLines"":318,""commentLines"":14,""language"":""CSS""},{""blankLines"":4,""codeLines"":13,""commentLines"":1,""language"":""Bourne Shell""},{""blankLines"":34,""codeLines"":184,""commentLines"":24,""language"":""JavaScript""}]",2026-02-11T02:36:15,a4f707d9329bb88c1a9291df18ba73f3dabce1b4,false,false,false,false,"{""Python"":960053,""CSS"":7190,""JavaScript"":7106,""HTML"":4395,""Shell"":462}",bug;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,
albumentations-team/albumentations_examples,main,440,false,false,https://github.com/albumentations-team/albumentations_examples,1,.cursor/skills/notebook-metadata/SKILL.md,1,0,0,0,0,2026-02-24T12:47:31Z,0,0,0,3691812,albumentations-team/albumentations_examples,false,67,5,0,102,Python,main,MIT License,,7,440,9,230425,2019-11-22T04:49:39,2025-10-14T01:48:26,2025-10-14T01:48:28,17,2,31,0,86,8729,11980,"[{""blankLines"":0,""codeLines"":4288,""commentLines"":0,""language"":""JSON""},{""blankLines"":0,""codeLines"":4032,""commentLines"":11960,""language"":""Jupyter Notebook""},{""blankLines"":6,""codeLines"":33,""commentLines"":0,""language"":""Markdown""},{""blankLines"":4,""codeLines"":90,""commentLines"":0,""language"":""YAML""},{""blankLines"":0,""codeLines"":2,""commentLines"":0,""language"":""Text""},{""blankLines"":61,""codeLines"":181,""commentLines"":6,""language"":""Python""},{""blankLines"":15,""codeLines"":103,""commentLines"":14,""language"":""TOML""}]",2025-10-14T01:48:23,a743ec3d5a7580aec1327f02e538bc2328b5f2fb,true,false,false,false,"{""Python"":7132}",bug;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,
aeromomo/claw-compactor,main,394,false,false,https://github.com/aeromomo/claw-compactor,1,SKILL.md,67,6,1,18,41,2026-02-24T12:47:25Z,0,0,0,95625781,aeromomo/claw-compactor,false,4,1,1,35,Python,main,MIT License,,22,394,0,1006,2026-02-10T12:27:08,2026-02-12T03:08:57,2026-02-14T09:55:49,0,0,0,0,2191,7802,867,"[{""blankLines"":2,""codeLines"":24,""commentLines"":0,""language"":""TOML""},{""blankLines"":1940,""codeLines"":6847,""commentLines"":867,""language"":""Python""},{""blankLines"":249,""codeLines"":931,""commentLines"":0,""language"":""Markdown""}]",2026-02-12T03:08:56,1d0891db76e4d12a5acfa43362c7fd72fa1854ef,true,false,false,false,"{""Python"":329981}",bug;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,
alirezarezvani/ClaudeForge,dev,123,false,false,https://github.com/alirezarezvani/ClaudeForge,1,skill/SKILL.md,17,0,0,0,16,2026-02-24T12:47:38Z,1,0,0,95587671,alirezarezvani/ClaudeForge,false,21,3,0,23,Python,dev,MIT License,,1,123,1,211,2025-11-12T09:46:18,2026-01-13T12:49:46,2026-01-15T12:30:13,1,0,20,1,3534,11676,588,"[{""blankLines"":354,""codeLines"":1409,""commentLines"":427,""language"":""Python""},{""blankLines"":1,""codeLines"":64,""commentLines"":0,""language"":""Text""},{""blankLines"":35,""codeLines"":220,""commentLines"":22,""language"":""PowerShell""},{""blankLines"":59,""codeLines"":313,""commentLines"":37,""language"":""Bourne Shell""},{""blankLines"":301,""codeLines"":1557,""commentLines"":100,""language"":""YAML""},{""blankLines"":2784,""codeLines"":7849,""commentLines"":2,""language"":""Markdown""},{""blankLines"":0,""codeLines"":264,""commentLines"":0,""language"":""JSON""}]",2026-01-07T05:00:46,f52664867d4230fb979bf5d1d8812eeec76ba1bb,true,false,false,false,"{""Python"":81026,""Shell"":13094,""PowerShell"":10727}",bug;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,agentic-ai;agentic-workflow;claude-code;claude-skill;claude-subagents
adithya-s-k/manim_skill,main,406,false,false,https://github.com/adithya-s-k/manim_skill,3,skills/manim-composer/SKILL.md;skills/manimce-best-practices/SKILL.md;skills/manimgl-best-practices/SKILL.md,149,11,0,0,135,2026-02-24T12:47:25Z,0,0,0,95608422,adithya-s-k/manim_skill,false,23,1,0,23,Python,main,MIT License,https://skills.sh/adithya-s-k/manim_skill,0,406,1,331,2026-01-22T08:18:47,2026-01-23T04:30:42,2026-01-26T06:35:11,0,0,0,0,7421,25504,3459,"[{""blankLines"":3214,""codeLines"":9932,""commentLines"":0,""language"":""Markdown""},{""blankLines"":4192,""codeLines"":15529,""commentLines"":3459,""language"":""Python""},{""blankLines"":15,""codeLines"":43,""commentLines"":0,""language"":""Text""}]",2026-01-23T04:30:41,cef045011722d285692e3381d12d4d637da56e18,true,false,false,false,"{""Python"":720650}",bug;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,agent-skills
alvarobartt/hf-mem,main,666,false,false,https://github.com/alvarobartt/hf-mem,1,SKILL.md,18,0,0,0,17,2026-02-24T12:47:51Z,0,0,0,95587558,alvarobartt/hf-mem,false,50,1,14,57,Python,main,MIT License,https://pypi.org/project/hf-mem/,1,666,4,97,2025-12-22T07:04:22,2026-02-04T11:04:36,2026-02-05T10:16:35,5,5,27,2,204,877,47,"[{""blankLines"":7,""codeLines"":34,""commentLines"":0,""language"":""TOML""},{""blankLines"":126,""codeLines"":676,""commentLines"":45,""language"":""Python""},{""blankLines"":22,""codeLines"":87,""commentLines"":1,""language"":""YAML""},{""blankLines"":49,""codeLines"":80,""commentLines"":1,""language"":""Markdown""}]",2026-02-04T11:04:35,a5ec09045bb1f2257609f909166296db7b4c36a1,false,false,false,false,"{""Python"":38326}",bug;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,huggingface;memory-estimation;safetensors
alonw0/web-asset-generator,main,171,false,false,https://github.com/alonw0/web-asset-generator,1,skills/web-asset-generator/SKILL.md,9,1,0,6,1,2026-02-24T12:47:55Z,1,0,0,95520578,alonw0/web-asset-generator,false,12,1,0,12,Python,main,MIT License,,0,171,2,15377,2025-10-21T07:38:30,2026-01-28T09:11:01,2026-01-28T09:11:05,2,1,2,0,856,2841,380,"[{""blankLines"":0,""codeLines"":70,""commentLines"":0,""language"":""JSON""},{""blankLines"":550,""codeLines"":1688,""commentLines"":7,""language"":""Markdown""},{""blankLines"":306,""codeLines"":1083,""commentLines"":373,""language"":""Python""}]",2026-01-28T09:11:01,c6d56dc54ab86eae4eeb1393d9c8cdc71ae8d1a8,true,false,false,false,"{""Python"":62191}",bug;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,
ambient-code/agentready,main,110,false,false,https://github.com/ambient-code/agentready,2,.skills-proposals/implement-type-annotations/SKILL.md;.skills-proposals/setup-claude-md/SKILL.md,2,0,0,0,0,2026-02-24T12:47:57Z,1,0,0,95546686,ambient-code/agentready,false,335,70,93,30,Python,main,MIT License,https://ambient-code.github.io/agentready/,0,110,16,4610,2025-11-21T08:51:33,2026-02-12T08:31:51,2026-02-12T08:31:56,101,5,188,3,42718,161562,10503,"[{""blankLines"":23058,""codeLines"":76441,""commentLines"":318,""language"":""Markdown""},{""blankLines"":322,""codeLines"":1489,""commentLines"":295,""language"":""Bourne Shell""},{""blankLines"":453,""codeLines"":2777,""commentLines"":237,""language"":""YAML""},{""blankLines"":2497,""codeLines"":9766,""commentLines"":92,""language"":""XML""},{""blankLines"":26,""codeLines"":150,""commentLines"":16,""language"":""JavaScript""},{""blankLines"":15,""codeLines"":78,""commentLines"":9,""language"":""make""},{""blankLines"":540,""codeLines"":3010,""commentLines"":15,""language"":""Jinja Template""},{""blankLines"":0,""codeLines"":1342,""commentLines"":0,""language"":""SVG""},{""blankLines"":13,""codeLines"":26,""commentLines"":36,""language"":""Diff""},{""blankLines"":6547,""codeLines"":19992,""commentLines"":198,""language"":""HTML""},{""blankLines"":8,""codeLines"":120,""commentLines"":0,""language"":""Text""},{""blankLines"":8718,""codeLines"":30943,""commentLines"":9022,""language"":""Python""},{""blankLines"":478,""codeLines"":1858,""commentLines"":225,""language"":""CSS""},{""blankLines"":0,""codeLines"":13417,""commentLines"":0,""language"":""JSON""},{""blankLines"":7,""codeLines"":14,""commentLines"":10,""language"":""Containerfile""},{""blankLines"":0,""codeLines"":2,""commentLines"":0,""language"":""CSV""},{""blankLines"":36,""codeLines"":137,""commentLines"":30,""language"":""TOML""}]",2026-02-12T08:31:51,2186475db88020dfeba5bd157287ee948fc1a9ee,false,false,false,false,"{""Python"":1647459,""Jinja"":307249,""HTML"":72609,""Shell"":67685,""JavaScript"":5575,""Makefile"":2913}",automated;bug;dependencies;documentation;duplicate;enhancement;good first issue;help wanted;invalid;python;python:uv;question;released;research;ruby;stale;wontfix,ai-assisted-development;assessment-tool;code-quality;python
amszuidas/mini-opencode,main,108,false,false,https://github.com/amszuidas/mini-opencode,1,skills/skill-creator/SKILL.md,7,2,0,3,1,2026-02-24T12:47:58Z,1,0,0,95608972,amszuidas/mini-opencode,false,105,2,0,33,Python,main,MIT License,,1,108,3,4369,2026-01-14T09:42:43,2026-02-12T07:49:52,2026-02-12T07:49:56,4,0,3,0,925,3048,594,"[{""blankLines"":0,""codeLines"":10,""commentLines"":0,""language"":""JSON""},{""blankLines"":2,""codeLines"":6,""commentLines"":0,""language"":""make""},{""blankLines"":33,""codeLines"":169,""commentLines"":0,""language"":""Text""},{""blankLines"":1,""codeLines"":27,""commentLines"":9,""language"":""YAML""},{""blankLines"":380,""codeLines"":1032,""commentLines"":0,""language"":""Markdown""},{""blankLines"":508,""codeLines"":1781,""commentLines"":585,""language"":""Python""},{""blankLines"":1,""codeLines"":23,""commentLines"":0,""language"":""TOML""}]",2026-02-12T07:49:29,d09f3e96eca1ac3fb40f7e9ab3740ef67daedc86,false,false,false,false,"{""Python"":97793,""Makefile"":163}",bug;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,
andrewm4894/anomstack,main,107,false,false,https://github.com/andrewm4894/anomstack,1,.claude/skills/debug-demo-instance/SKILL.md,1,0,0,0,0,2026-02-24T12:47:59Z,1,0,0,94654689,andrewm4894/anomstack,false,1587,26,19,12,Python,main,MIT License,https://andrewm4894.github.io/anomstack/,1,107,4,21850,2023-06-26T04:02:41,2026-02-01T10:22:19,2026-02-01T10:22:22,42,25,154,9,7177,46165,4704,"[{""blankLines"":25,""codeLines"":466,""commentLines"":40,""language"":""JavaScript""},{""blankLines"":290,""codeLines"":1339,""commentLines"":185,""language"":""Bourne Shell""},{""blankLines"":0,""codeLines"":17,""commentLines"":0,""language"":""Nix""},{""blankLines"":0,""codeLines"":382,""commentLines"":0,""language"":""SVG""},{""blankLines"":19,""codeLines"":97,""commentLines"":16,""language"":""TOML""},{""blankLines"":0,""codeLines"":60,""commentLines"":0,""language"":""Text""},{""blankLines"":128,""codeLines"":1183,""commentLines"":284,""language"":""YAML""},{""blankLines"":3248,""codeLines"":11523,""commentLines"":0,""language"":""Markdown""},{""blankLines"":114,""codeLines"":268,""commentLines"":135,""language"":""make""},{""blankLines"":0,""codeLines"":17719,""commentLines"":0,""language"":""JSON""},{""blankLines"":46,""codeLines"":119,""commentLines"":43,""language"":""Dockerfile""},{""blankLines"":0,""codeLines"":27,""commentLines"":736,""language"":""Jupyter Notebook""},{""blankLines"":91,""codeLines"":1166,""commentLines"":62,""language"":""SQL""},{""blankLines"":3154,""codeLines"":11466,""commentLines"":3174,""language"":""Python""},{""blankLines"":62,""codeLines"":333,""commentLines"":29,""language"":""CSS""}]",2026-02-01T10:22:13,08d38ffef33f7728bc2b46515506ff6962a8b230,true,false,false,false,"{""Python"":585621,""Shell"":60541,""Jupyter Notebook"":26310,""Makefile"":19235,""CSS"":6849,""Nix"":264}",bug;codex;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,anomaly-detection;metrics
aitytech/agentkits-marketing,main,268,false,false,https://github.com/aitytech/agentkits-marketing,32,.claude/skills/ab-test-setup/SKILL.md;.claude/skills/analytics-attribution/SKILL.md;.claude/skills/brand-building/SKILL.md;.claude/skills/competitor-alternatives/SKILL.md;.claude/skills/content-strategy/SKILL.md;.claude/skills/copy-editing/SKILL.md;.claude/skills/copywriting/SKILL.md;.claude/skills/document-skills/docx/SKILL.md;.claude/skills/document-skills/pdf/SKILL.md;.claude/skills/document-skills/pptx/SKILL.md;.claude/skills/document-skills/xlsx/SKILL.md;.claude/skills/email-marketing/SKILL.md;.claude/skills/email-sequence/SKILL.md;.claude/skills/form-cro/SKILL.md;.claude/skills/free-tool-strategy/SKILL.md;.claude/skills/launch-strategy/SKILL.md;.claude/skills/marketing-fundamentals/SKILL.md;.claude/skills/marketing-ideas/SKILL.md;.claude/skills/marketing-psychology/SKILL.md;.claude/skills/onboarding-cro/SKILL.md;.claude/skills/page-cro/SKILL.md;.claude/skills/paid-advertising/SKILL.md;.claude/skills/paywall-upgrade-cro/SKILL.md;.claude/skills/popup-cro/SKILL.md;.claude/skills/pricing-strategy/SKILL.md;.claude/skills/problem-solving/SKILL.md;.claude/skills/programmatic-seo/SKILL.md;.claude/skills/referral-program/SKILL.md;.claude/skills/schema-markup/SKILL.md;.claude/skills/seo-mastery/SKILL.md;.claude/skills/signup-flow-cro/SKILL.md;.claude/skills/social-media/SKILL.md,202,44,0,21,105,2026-02-24T12:47:31Z,1,0,0,95619863,aitytech/agentkits-marketing,false,30,2,7,24,Python,main,MIT License,,5,268,2,2796,2026-01-24T08:44:05,2026-02-10T02:59:33,2026-02-10T02:59:35,1,0,6,0,32209,119099,2233,"[{""blankLines"":50,""codeLines"":19654,""commentLines"":26,""language"":""XSD""},{""blankLines"":6,""codeLines"":13,""commentLines"":0,""language"":""TOML""},{""blankLines"":46,""codeLines"":235,""commentLines"":31,""language"":""PowerShell""},{""blankLines"":202,""codeLines"":1148,""commentLines"":81,""language"":""YAML""},{""blankLines"":5,""codeLines"":25,""commentLines"":0,""language"":""Text""},{""blankLines"":1256,""codeLines"":4356,""commentLines"":1452,""language"":""Python""},{""blankLines"":0,""codeLines"":38,""commentLines"":13,""language"":""SVG""},{""blankLines"":17,""codeLines"":106,""commentLines"":18,""language"":""Bourne Shell""},{""blankLines"":0,""codeLines"":15,""commentLines"":0,""language"":""XML""},{""blankLines"":29885,""codeLines"":81312,""commentLines"":52,""language"":""Markdown""},{""blankLines"":742,""codeLines"":3605,""commentLines"":560,""language"":""JavaScript""},{""blankLines"":0,""codeLines"":8592,""commentLines"":0,""language"":""JSON""}]",2026-02-10T02:59:31,5bd154681d112eb4f33939f533f770c23f153974,true,false,false,false,"{""Python"":350073,""JavaScript"":160160,""PowerShell"":8507,""Shell"":5686}",area: commands;area: training;bug;dependencies;documentation;duplicate;enhancement;github-actions;good first issue;help wanted;invalid;question;released;wontfix,
banteg/takopi,master,706,false,false,https://github.com/banteg/takopi,1,.codex/skills/takopi-release/SKILL.md,1,0,0,0,0,2026-02-24T12:48:12Z,0,1,0,95579924,banteg/takopi,false,359,1,33,75,Python,master,MIT License,https://takopi.dev,4,706,12,1632,2025-12-29T11:10:08,2026-02-10T09:49:51,2026-02-14T05:25:45,48,16,159,22,7890,37543,96,"[{""blankLines"":28,""codeLines"":233,""commentLines"":0,""language"":""TOML""},{""blankLines"":0,""codeLines"":21,""commentLines"":0,""language"":""SVG""},{""blankLines"":4,""codeLines"":30,""commentLines"":0,""language"":""HTML""},{""blankLines"":0,""codeLines"":32,""commentLines"":0,""language"":""Text""},{""blankLines"":5238,""codeLines"":30990,""commentLines"":82,""language"":""Python""},{""blankLines"":59,""codeLines"":304,""commentLines"":4,""language"":""CSS""},{""blankLines"":29,""codeLines"":120,""commentLines"":10,""language"":""JavaScript""},{""blankLines"":1,""codeLines"":7,""commentLines"":0,""language"":""Bourne Shell""},{""blankLines"":2500,""codeLines"":5495,""commentLines"":0,""language"":""Markdown""},{""blankLines"":1,""codeLines"":6,""commentLines"":0,""language"":""make""},{""blankLines"":30,""codeLines"":188,""commentLines"":0,""language"":""YAML""},{""blankLines"":0,""codeLines"":117,""commentLines"":0,""language"":""JSON""}]",2026-02-10T09:49:13,3e85848292a5137093974e4ab69bac248f93ce94,true,false,false,false,"{""Python"":1120225,""Just"":515,""Shell"":201,""Makefile"":97}",bug;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,agent;bridge;claude;codex;opencode;telegram;worktree
basnijholt/agent-cli,main,112,false,false,https://github.com/basnijholt/agent-cli,3,.claude-plugin/skills/agent-cli-dev/SKILL.md;.claude/skills/agent-cli-dev/SKILL.md;agent_cli/dev/skill/SKILL.md,6,0,0,0,3,2026-02-24T12:48:13Z,1,0,0,95438830,basnijholt/agent-cli,false,712,30,137,10,Python,main,MIT License,https://agent-cli.nijho.lt/,2,112,5,106520,2025-06-25T04:35:10,2026-02-13T07:12:56,2026-02-13T07:12:59,17,11,415,23,11945,47245,7976,"[{""blankLines"":0,""codeLines"":182,""commentLines"":0,""language"":""JSON""},{""blankLines"":9,""codeLines"":31,""commentLines"":8,""language"":""Nix""},{""blankLines"":117,""codeLines"":293,""commentLines"":153,""language"":""Dockerfile""},{""blankLines"":0,""codeLines"":3187,""commentLines"":0,""language"":""Text""},{""blankLines"":8833,""codeLines"":33465,""commentLines"":7060,""language"":""Python""},{""blankLines"":0,""codeLines"":5,""commentLines"":1,""language"":""HTML""},{""blankLines"":66,""codeLines"":598,""commentLines"":116,""language"":""YAML""},{""blankLines"":70,""codeLines"":386,""commentLines"":141,""language"":""TOML""},{""blankLines"":18,""codeLines"":85,""commentLines"":13,""language"":""PowerShell""},{""blankLines"":2727,""codeLines"":7546,""commentLines"":388,""language"":""Markdown""},{""blankLines"":95,""codeLines"":572,""commentLines"":96,""language"":""Bourne Shell""},{""blankLines"":10,""codeLines"":895,""commentLines"":0,""language"":""SVG""}]",2026-02-13T07:12:55,de02f14c39123687198ce26fdd83820fd055dc8a,true,false,false,false,"{""Python"":1649526,""Shell"":26591,""Dockerfile"":20273,""PowerShell"":5555,""Nix"":1290,""Just"":895}",automerge;bug;dependencies;documentation;duplicate;enhancement;github_actions;good first issue;help wanted;invalid;no-stale;question;wontfix,
blueman82/ai-counsel,main,180,false,false,https://github.com/blueman82/ai-counsel,6,.claude/skills/adapter-factory/SKILL.md;.claude/skills/config-schema-migrator/SKILL.md;.claude/skills/convergence-debugger/SKILL.md;.claude/skills/decision-graph-analyzer/SKILL.md;.claude/skills/deliberation-tester/SKILL.md;.claude/skills/mcp-server-enhancement/SKILL.md,6,0,0,0,0,2026-02-24T12:48:14Z,1,0,0,95515074,blueman82/ai-counsel,false,579,1,13,18,Python,main,MIT License,,0,180,4,2475,2025-10-13T03:19:30,2026-01-26T12:42:08,2026-01-26T12:42:11,11,10,25,0,11931,39770,8068,"[{""blankLines"":14,""codeLines"":50,""commentLines"":14,""language"":""Bourne Again Shell""},{""blankLines"":29,""codeLines"":436,""commentLines"":130,""language"":""YAML""},{""blankLines"":3,""codeLines"":38,""commentLines"":0,""language"":""INI""},{""blankLines"":7744,""codeLines"":27197,""commentLines"":7918,""language"":""Python""},{""blankLines"":4,""codeLines"":24,""commentLines"":0,""language"":""Text""},{""blankLines"":0,""codeLines"":5,""commentLines"":0,""language"":""JSON""},{""blankLines"":7,""codeLines"":11,""commentLines"":6,""language"":""Dockerfile""},{""blankLines"":4130,""codeLines"":12009,""commentLines"":0,""language"":""Markdown""}]",2026-01-26T12:41:49,7104255e8ff2183d85a53fc2778575e0858b07eb,true,false,false,false,"{""Python"":1598223,""Shell"":2455,""Dockerfile"":547}",bug;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,
boringdata/boring-semantic-layer,main,393,false,false,https://github.com/boringdata/boring-semantic-layer,2,docs/md/skills/claude-code/bsl-model-builder/SKILL.md;docs/md/skills/claude-code/bsl-query-expert/SKILL.md,2,0,0,0,0,2026-02-24T12:48:15Z,0,0,0,95410151,boringdata/boring-semantic-layer,false,512,83,19,29,Python,main,MIT License,,9,393,12,8637,2025-06-13T07:18:19,2026-01-27T03:18:11,2026-01-28T03:03:47,49,9,106,1,11058,62936,8265,"[{""blankLines"":0,""codeLines"":77,""commentLines"":1216,""language"":""Jupyter Notebook""},{""blankLines"":71,""codeLines"":492,""commentLines"":67,""language"":""YAML""},{""blankLines"":1723,""codeLines"":5703,""commentLines"":0,""language"":""Markdown""},{""blankLines"":16,""codeLines"":158,""commentLines"":16,""language"":""make""},{""blankLines"":4,""codeLines"":667,""commentLines"":0,""language"":""Text""},{""blankLines"":1,""codeLines"":31,""commentLines"":0,""language"":""JavaScript""},{""blankLines"":14,""codeLines"":93,""commentLines"":2,""language"":""TOML""},{""blankLines"":37,""codeLines"":319,""commentLines"":41,""language"":""Nix""},{""blankLines"":11,""codeLines"":49,""commentLines"":11,""language"":""SVG""},{""blankLines"":149,""codeLines"":898,""commentLines"":34,""language"":""HTML""},{""blankLines"":8122,""codeLines"":27142,""commentLines"":6746,""language"":""Python""},{""blankLines"":38,""codeLines"":112,""commentLines"":3,""language"":""CSS""},{""blankLines"":5,""codeLines"":19835,""commentLines"":0,""language"":""JSON""},{""blankLines"":867,""codeLines"":7360,""commentLines"":129,""language"":""TypeScript""}]",2026-01-27T12:18:30,47d5718c2b779ab302eb0ead48057787b4fb18cd,true,false,false,false,"{""Python"":1377131,""Nix"":12687,""Makefile"":7395,""Shell"":281}",bug;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,
